dates,cars_sold,y_lag_1_week,y_lag_2_week,y_lag_3_week,y_lag_4_week,y_lag_5_week,y_lag_6_week,y_lag_7_week,y_lag_8_week,cars_online,avg_buyprice,bookmarks,opportunity,contracts
2021-01,117,72,82,92,111,109,80,87,89,1312,11458,2969,11178,740
2021-02,148,117,72,82,92,111,109,80,87,1313,11570,2632,11974,955
2021-03,146,148,117,72,82,92,111,109,80,1319,11751,2815,11948,916
2021-04,122,146,148,117,72,82,92,111,109,1310,11821,3016,12701,980
2021-05,179,122,146,148,117,72,82,92,111,1305,11715,3532,12200,1025
2021-06,159,179,122,146,148,117,72,82,92,1280,11817,3270,12353,959
2021-07,140,159,179,122,146,148,117,72,82,1278,11840,3217,12569,990
2021-08,180,140,159,179,122,146,148,117,72,1304,11967,2725,12486,1085
2021-09,204,180,140,159,179,122,146,148,117,1311,12245,3309,10871,1038
2021-10,160,204,180,140,159,179,122,146,148,1285,12508,3119,11495,1035
2021-11,153,160,204,180,140,159,179,122,146,1301,12876,3840,12267,1027
2021-12,138,153,160,204,180,140,159,179,122,1282,13167,3486,11667,976
2021-13,124,138,153,160,204,180,140,159,179,1276,13425,3084,9958,904
2021-14,105,124,138,153,160,204,180,140,159,1219,13900,3378,9476,829
2021-15,134,105,124,138,153,160,204,180,140,1238,14301,3289,10399,982
2021-16,140,134,105,124,138,153,160,204,180,1256,14404,3601,10298,958
2021-17,145,140,134,105,124,138,153,160,204,1336,14611,3254,10471,1000
2021-18,148,145,140,134,105,124,138,153,160,1381,14760,4210,10715,945
2021-19,125,148,145,140,134,105,124,138,153,1383,14623,3902,10672,998
2021-20,186,125,148,145,140,134,105,124,138,1466,14780,4008,11300,1129
2021-21,146,186,125,148,145,140,134,105,124,1435,15030,4257,11454,1160
2021-22,180,146,186,125,148,145,140,134,105,1453,15081,3593,11103,1147
2021-23,157,180,146,186,125,148,145,140,134,1522,15131,3868,11675,1168
2021-24,158,157,180,146,186,125,148,145,140,1572,15441,3042,11727,1175
2021-25,163,158,157,180,146,186,125,148,145,1622,15766,4280,11765,1242
2021-26,170,163,158,157,180,146,186,125,148,1671,15999,4645,12348,1288
2021-27,180,170,163,158,157,180,146,186,125,1625,16351,4142,11332,1251
2021-28,186,180,170,163,158,157,180,146,186,1538,16611,4100,11182,1237
2021-29,185,186,180,170,163,158,157,180,146,1563,16681,4458,11354,1212
2021-30,162,185,186,180,170,163,158,157,180,1549,16843,4995,12138,1154
2021-31,200,162,185,186,180,170,163,158,157,1609,17110,5221,12082,1217
2021-32,192,200,162,185,186,180,170,163,158,1751,17343,5475,11808,1195
2021-33,195,192,200,162,185,186,180,170,163,1807,17290,5417,12380,1180
2021-34,197,195,192,200,162,185,186,180,170,1948,17568,5613,13741,1321
2021-35,192,197,195,192,200,162,185,186,180,2039,17720,5481,14322,1403
2021-36,242,192,197,195,192,200,162,185,186,2292,17575,5400,14455,1520
2021-37,258,242,192,197,195,192,200,162,185,2432,17554,6369,14849,1616
2021-38,262,258,242,192,197,195,192,200,162,2530,17546,6241,14966,1529
2021-39,267,262,258,242,192,197,195,192,200,2602,17527,6352,15213,1558
2021-40,308,267,262,258,242,192,197,195,192,2787,17636,6752,15325,1656
2021-41,368,308,267,262,258,242,192,197,195,2833,17693,8561,15215,1635
2021-42,319,368,308,267,262,258,242,192,197,3087,17695,9578,15615,1700
2021-43,360,319,368,308,267,262,258,242,192,3192,17756,10290,15588,1653
2021-44,395,360,319,368,308,267,262,258,242,3221,17877,12323,15850,1671
2021-45,384,395,360,319,368,308,267,262,258,3302,18008,10629,15692,1656
2021-46,399,384,395,360,319,368,308,267,262,3288,18113,11359,15964,1685
2021-47,363,399,384,395,360,319,368,308,267,3394,18356,11690,15805,1664
2021-48,359,363,399,384,395,360,319,368,308,3504,18525,10461,16504,1674
2021-49,337,359,363,399,384,395,360,319,368,3537,18714,12352,16107,1623
2021-50,359,337,359,363,399,384,395,360,319,3618,18784,11700,16476,1613
2021-51,257,359,337,359,363,399,384,395,360,3727,18953,10686,14626,1354
2021-52,288,257,359,337,359,363,399,384,395,3702,19065,12987,16241,1335
2022-01,365,288,257,359,337,359,363,399,384,3725,19307,16438,19460,1627
2022-02,426,365,288,257,359,337,359,363,399,3711,19448,15715,20607,1729
2022-03,392,426,365,288,257,359,337,359,363,3479,19625,14938,21035,1803
2022-04,372,392,426,365,288,257,359,337,359,3349,19806,15876,20764,1736
2022-05,387,372,392,426,365,288,257,359,337,3115,20188,13664,19883,1900
2022-06,386,387,372,392,426,365,288,257,359,3126,20252,14225,19344,1810
2022-07,366,386,387,372,392,426,365,288,257,3066,20501,13675,18792,1758
2022-08,385,366,386,387,372,392,426,365,288,3171,20793,13745,18788,1694
2022-09,363,385,366,386,387,372,392,426,365,3181,20846,11726,16943,1621
2022-10,283,363,385,366,386,387,372,392,426,3124,20993,11726,17016,1561
2022-11,308,283,363,385,366,386,387,372,392,3339,21095,12128,17172,1580
2022-12,300,308,283,363,385,366,386,387,372,3501,20893,10898,18018,1559
2022-13,305,300,308,283,363,385,366,386,387,3653,20756,11752,19134,1658
2022-14,354,305,300,308,283,363,385,366,386,3777,20613,12180,19812,1880
2022-15,307,354,305,300,308,283,363,385,366,3903,20426,11857,18440,1683
2022-16,289,307,354,305,300,308,283,363,385,3977,20256,12616,19085,1657
2022-17,383,289,307,354,305,300,308,283,363,4146,19989,12113,20231,1943
2022-18,355,383,289,307,354,305,300,308,283,4272,19687,12713,19839,1949
2022-19,409,355,383,289,307,354,305,300,308,4413,19372,12369,19509,2021
2022-20,379,409,355,383,289,307,354,305,300,4575,18965,12345,19576,2072
2022-21,328,379,409,355,383,289,307,354,305,4571,18486,12332,19762,2207
2022-22,365,328,379,409,355,383,289,307,354,4531,18152,13185,19132,2093
2022-23,347,365,328,379,409,355,383,289,307,4735,17787,13030,20305,2170
2022-24,391,347,365,328,379,409,355,383,289,4828,17459,12357,19588,2185
2022-25,405,391,347,365,328,379,409,355,383,4894,17286,13353,21009,2183
2022-26,436,405,391,347,365,328,379,409,355,5006,17141,13870,21178,2246
