month,bookmarks
2019-01-01,168
2019-02-01,144
2019-03-01,266
2019-04-01,194
2019-05-01,355
2019-06-01,539
2019-07-01,474
2019-08-01,548
2019-09-01,443
2019-10-01,506
2019-11-01,518
2019-12-01,588
2020-01-01,891
2020-02-01,654
2020-03-01,562
2020-04-01,415
2020-05-01,357
2020-06-01,454
2020-07-01,538
2020-08-01,568
2020-09-01,562
2020-10-01,1043
2020-11-01,6404
2020-12-01,10171
2021-01-01,13138
2021-02-01,12619
2021-03-01,14885
2021-04-01,14396
2021-05-01,18138
2021-06-01,16488
2021-07-01,19730
2021-08-01,24483
2021-09-01,25728
2021-10-01,40269
2021-11-01,48547
2021-12-01,51912
2022-01-01,69434
2022-02-01,54320
2022-03-01,50995
2022-04-01,52053
2022-05-01,55825
2022-06-01,56432
2022-07-01,55517
2022-08-01,50699
2022-09-01,52013
2022-10-01,61951
2022-11-01,62930
2022-12-01,66095
2023-01-01,79259
2023-02-01,60772
2023-03-01,65634
2023-04-01,64466
2023-05-01,64492
