ids,price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
AA33373,16890.0,905,2019,57402,1055,4.8,12,388,30,1,5,1,39,12
AA45375,18590.0,650,2017,47448,1056,5.2,6,179,231,1,5,2,73,20
AB05812,11990.0,905,2014,108431,1055,3.8,3,163,177,1,5,2,32,5
AF00679,16423.0,345,2017,90136,1055,6.3,11,335,138,1,8,1,52,25
AG89020,24690.0,285,2019,33394,1055,5.2,6,146,113,1,5,1,82,66
AK73557,13260.0,190,2017,65737,1055,4.6,3,74,56,1,5,1,35,81
AL83215,11850.0,800,2018,87466,1055,3.6,3,144,87,1,4,2,21,22
AV14065,18590.0,285,2018,62182,1055,6.1,2,146,113,2,4,1,62,23
AV47328,29290.0,425,2021,21393,1057,6.5,6,387,178,2,3,1,98,21
AW66895,11890.0,285,2017,80263,1055,4.9,2,63,13,1,10,1,28,33
AY36206,13410.0,285,2018,107721,1055,3.8,2,146,120,2,4,2,43,12
AZ18002,11490.0,800,2014,90794,1055,5.4,6,268,93,2,5,1,45,2
BA11786,6690.0,905,2015,83649,1055,4.5,3,388,8,1,5,1,2,9
BD45443,11890.0,720,2015,93465,1057,3.6,10,96,133,1,8,2,21,25
BF93736,46017.0,060,2019,20429,1056,6.3,6,255,417,2,8,2,112,39
BG42382,12990.0,285,2016,72411,1055,4.7,6,146,13,1,5,1,46,61
BH82700,22990.0,570,2015,77961,1058,6.6,6,87,618,2,4,1,101,6
BK93507,15071.0,285,2018,32182,1055,5.2,2,136,13,1,8,1,46,36
BN24489,22490.0,650,2019,50816,1055,6.1,12,179,115,2,4,1,72,47
BN54554,7390.0,345,2014,112548,1055,4.7,3,379,8,1,12,1,4,12
BP07991,11880.0,905,2013,113881,1055,6.5,1,317,93,1,8,1,45,27
BP41842,19090.0,285,2019,65494,1055,4.5,6,146,241,1,4,2,62,43
BP97538,23990.0,285,2018,27975,1058,9.0,6,200,113,2,8,1,76,30
BT52292,30860.0,570,2018,68701,1057,4.4,11,71,473,2,5,2,90,47
BT58496,15990.0,570,2014,38533,1055,5.9,4,62,452,2,10,1,45,29
BU09732,15390.0,650,2016,89336,1055,5.5,6,179,231,2,4,2,73,7
BU93198,9565.0,194,2015,37305,1055,7.3,3,128,138,1,10,1,16,6
BY41570,17358.0,790,2016,52048,1058,5.9,12,205,202,1,4,1,80,20
BZ70608,20990.0,345,2017,91746,1056,6.5,1,335,232,2,8,2,84,15
BZ89943,16957.0,905,2019,74544,1055,4.1,10,164,177,2,10,2,39,46
CA24520,27990.0,570,2017,54667,1056,6.7,2,30,446,2,5,1,106,34
CB57689,23925.0,860,2021,12175,1057,2.8,10,370,114,2,12,5,40,8
CB66560,13190.0,060,2014,83434,1055,5.3,12,32,88,1,5,1,45,98
CD63183,24990.0,905,2017,68885,1057,6.0,6,54,278,2,5,1,87,46
CE97961,25590.0,905,2019,40461,1055,5.1,11,323,124,1,10,1,62,52
CG96854,9590.0,650,2018,54321,1055,4.3,10,194,8,1,12,1,11,59
CH56127,7450.0,790,2015,27061,1055,4.5,2,217,8,1,5,1,2,29
CJ02160,36550.0,570,2018,49998,1056,7.5,2,154,552,2,8,1,101,77
CJ08358,11599.0,800,2016,98468,1055,4.7,6,144,52,1,12,1,35,17
CL52560,23241.0,130,2018,82652,1056,5.8,3,357,638,2,8,1,55,43
CS61714,20690.0,905,2019,9385,1055,5.1,2,303,30,1,8,1,24,138
CV07953,16490.0,830,2019,1776,1055,4.8,12,177,42,2,5,1,21,34
CV24905,9190.0,650,2016,42735,1055,5.1,2,111,74,1,5,1,21,7
CV48054,9880.0,905,2016,86778,1055,4.1,10,388,8,1,5,1,11,13
CV49225,24389.0,060,2018,43044,1055,4.5,2,35,394,2,5,2,62,38
CX83419,9630.0,800,2016,80727,1055,4.7,10,144,18,1,5,1,11,61
CZ42968,16090.0,060,2018,37658,1055,4.4,6,32,27,1,12,1,24,40
CZ44335,42899.0,905,2017,70528,1055,6.3,12,308,272,2,10,2,98,37
DA50785,19290.0,905,2019,57515,1055,4.1,6,160,177,1,5,2,40,116
DC79921,9990.0,650,2015,53905,1055,4.9,10,111,8,1,12,1,39,43
DD65726,18990.0,285,2016,99015,1056,7.4,6,221,243,2,5,1,116,51
DE29270,10190.0,905,2013,97959,1055,5.3,6,243,52,1,5,1,32,52
DF98400,14790.0,130,2014,86015,1055,5.6,3,4,216,2,5,1,53,13
DH45256,23990.0,905,2018,106460,1058,5.6,2,323,124,2,10,1,62,25
DM46052,32490.0,060,2015,104610,1058,6.2,10,41,359,2,4,2,141,101
DS24117,12690.0,650,2019,54864,1055,5.4,6,111,74,1,5,1,28,44
AA63266,7490.0,720,2015,23637,1055,4.7,12,336,21,1,5,1,7,2
AC62804,23977.0,550,2019,3979,1056,6.7,6,90,224,2,8,1,62,5
AC63381,12190.0,720,2015,65984,1055,5.2,2,105,48,2,5,1,43,13
AH71916,10990.0,580,2013,33270,1055,5.4,12,210,584,1,5,1,26,73
AL91777,17890.0,130,2016,96127,1056,5.9,2,9,341,2,10,1,88,4
AN60238,26990.0,800,2021,4656,1055,5.1,2,230,125,1,4,1,62,2
AP13847,9990.0,194,2017,67562,1055,5.1,6,285,5,1,5,1,21,10
AR37023,31650.0,189,2019,51799,1057,7.4,2,58,278,2,8,1,135,42
AR44373,21490.0,130,2019,32397,1055,5.4,2,4,218,1,5,1,55,74
AR61942,13690.0,800,2017,25592,1055,4.3,6,144,30,1,4,1,24,7
AS76530,19390.0,390,2017,57471,1055,6.2,6,109,82,1,8,1,55,50
AT97346,14100.0,560,2016,29049,1056,5.2,10,377,6,2,5,1,21,19
AW59954,14390.0,550,2014,112899,1056,4.6,12,26,300,2,4,2,76,16
AX72307,6990.0,194,2017,98465,1055,5.2,6,285,8,1,5,1,10,4
BA78274,13403.0,194,2017,61982,1057,4.2,3,128,132,1,10,2,21,13
BB93698,10690.0,345,2019,59015,1055,5.8,6,380,41,1,5,1,11,20
BC49781,20490.0,130,2014,110229,1056,4.6,12,25,421,2,4,2,87,2
BC59163,7590.0,285,2016,42481,1055,5.2,12,145,58,1,5,1,2,3
BC70248,7337.0,720,2014,119867,1055,5.5,12,105,41,1,12,1,10,4
BC84487,23120.0,905,2018,29436,1055,4.8,12,163,124,2,4,1,50,15
BF30085,21990.0,860,2016,111821,1055,5.0,2,260,316,2,8,5,92,14
BG57070,9690.0,280,2016,55550,1056,4.9,2,17,41,1,5,1,7,41
BH27499,43770.0,189,2021,5954,1057,1.9,3,148,101,2,8,5,119,30
BH81169,18590.0,285,2015,49951,1056,6.8,3,146,242,1,5,1,120,8
BH83302,13490.0,130,2013,95433,1055,4.9,2,357,637,1,8,2,57,46
BJ61945,11086.0,650,2018,52301,1057,5.7,6,47,74,1,12,1,20,39
BM34923,20210.0,790,2018,27007,1056,6.0,6,205,202,1,5,1,80,28
BM52154,15404.0,905,2020,29398,1055,4.6,6,243,8,1,12,1,14,51
BN56017,10350.0,720,2018,19698,1055,5.5,12,336,21,1,12,1,7,37
BU28267,42990.0,285,2019,31076,1057,6.7,10,327,268,1,10,2,73,24
BW20137,29990.0,570,2016,20587,1057,5.3,2,71,467,2,3,1,84,46
BZ33638,19616.0,060,2015,111932,1058,4.9,10,34,272,2,5,2,84,19
BZ49955,28650.0,390,2020,9662,1057,5.8,3,109,65,2,8,1,62,50
CB72295,23900.0,130,2015,92437,1055,5.1,10,14,386,2,5,2,123,45
CK19357,16790.0,130,2015,70370,1055,5.7,2,4,218,2,5,1,53,88
CK95095,12290.0,905,2014,89110,1055,3.8,6,163,177,1,5,2,35,11
CM32128,14290.0,720,2015,39705,1055,5.6,3,96,49,2,8,1,43,6
CM70874,12190.0,800,2014,20327,1055,5.1,10,268,52,1,5,1,18,15
CN04633,20462.0,905,2018,63320,1055,5.0,12,163,124,1,5,1,62,20
CP32051,11096.0,720,2018,49410,1055,5.0,12,105,5,1,12,1,12,50
CR71386,35190.0,570,2015,59517,1056,6.9,12,87,495,2,5,1,154,95
CS18620,24690.0,130,2015,62586,1058,4.0,3,15,402,2,3,2,87,9
CV88897,10790.0,720,2019,2866,1055,5.5,2,336,21,1,12,1,7,16
CV92708,29990.0,285,2021,901,1057,5.5,3,200,113,1,8,1,62,34
