price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
10860.0,905,2013,109198,1055,5.2,6,163,93,1,5,1,45,3
22560.0,060,2017,93199,1055,4.2,6,36,272,2,4,2,62,40
15950.0,720,2016,41781,1057,5.6,10,96,49,2,8,1,42,35
15230.0,285,2013,73780,1055,6.0,10,276,268,2,10,2,71,7
15350.0,285,2016,62687,1055,5.5,2,146,13,2,5,1,46,14
14190.0,650,2018,67407,1055,4.6,3,57,8,1,4,1,32,51
20490.0,570,2016,81628,1055,4.4,2,71,471,2,4,2,53,37
15290.0,060,2017,57414,1055,4.4,3,32,27,1,5,1,24,95
24890.0,670,2018,9127,1057,6.0,12,11,182,2,8,1,72,14
11290.0,225,2015,35624,1055,5.0,10,249,41,1,5,1,39,12
8590.0,560,2014,52990,1055,4.3,6,378,8,2,2,1,7,9
8068.0,560,2014,72210,1055,4.2,2,378,8,2,5,1,7,83
24398.0,345,2019,57036,1057,7.8,12,382,276,1,5,1,130,68
16990.0,285,2019,59486,1055,5.7,6,72,13,1,10,1,46,57
8830.0,905,2014,97608,1055,4.7,6,243,52,1,12,1,21,4
13490.0,194,2019,3421,1055,5.3,10,285,5,1,5,1,21,3
13370.0,560,2017,29085,1055,4.3,2,378,8,2,5,1,7,65
8690.0,720,2015,101902,1055,4.7,12,105,4,1,12,1,21,14
13355.0,905,2014,118447,1058,4.2,3,163,272,1,4,2,62,48
10990.0,650,2014,62531,1055,7.9,12,214,143,1,10,2,53,154
13590.0,650,2019,31717,1055,5.2,6,111,74,1,12,1,21,52
19190.0,905,2018,45380,1055,5.0,3,163,124,1,4,1,62,8
12590.0,800,2019,15895,1055,4.8,2,144,18,1,5,1,2,21
11490.0,650,2017,22643,1055,5.0,6,111,74,1,5,1,21,7
16990.0,060,2015,55671,1055,5.1,12,34,88,1,5,1,46,16
17380.0,650,2018,59066,1055,5.5,6,57,84,2,4,1,62,2
28250.0,670,2021,8378,1055,5.5,12,270,56,2,10,1,51,36
21990.0,570,2015,104312,1058,5.8,12,87,614,2,4,1,66,79
12890.0,905,2014,72910,1055,4.9,3,163,52,1,5,1,32,56
29990.0,235,2020,38266,1057,4.9,2,122,230,2,8,2,79,73
39190.0,570,2020,25976,1056,1.7,6,71,481,2,4,5,141,4
6190.0,285,2012,100039,1055,5.4,3,145,58,1,5,1,2,41
21590.0,905,2020,10610,1055,4.7,8,243,30,2,5,1,24,37
7390.0,790,2014,111381,1055,4.7,2,217,8,1,12,1,11,23
16190.0,285,2019,27974,1055,5.3,12,136,13,1,8,1,29,28
18990.0,345,2016,79084,1055,6.0,3,335,232,2,8,2,53,2
13567.0,280,2015,97875,1056,4.9,6,21,253,1,8,2,55,48
23173.0,130,2016,80128,1056,5.5,2,14,380,2,4,1,84,50
11674.0,650,2016,13093,1057,4.6,10,194,8,2,12,1,11,6
20880.0,800,2017,40598,1057,4.6,2,230,272,2,4,2,62,59
17750.0,060,2016,78253,1057,4.8,10,34,27,2,5,1,39,8
10990.0,800,2018,22932,1055,5.0,3,144,18,1,5,1,2,85
19490.0,390,2018,35984,1055,6.1,2,269,29,1,8,1,43,61
20354.0,225,2016,58943,1055,5.6,2,356,283,2,8,2,77,7
11090.0,860,2020,16703,1055,4.1,10,45,37,1,5,1,9,26
16499.0,190,2018,34205,1055,5.3,10,79,56,2,8,1,35,20
25490.0,570,2016,37328,1057,5.5,6,71,467,2,4,1,84,31
17410.0,580,2016,18051,1055,4.7,6,210,502,2,12,1,53,17
30990.0,570,2018,106954,1057,5.6,12,132,527,2,4,2,123,12
17580.0,225,2016,84114,1055,6.2,6,356,138,1,8,1,71,16
9390.0,905,2012,34648,1057,5.5,6,243,41,1,5,1,2,2
14390.0,800,2018,16915,1055,4.1,2,144,87,1,4,2,32,2
13190.0,650,2018,29295,1055,5.1,6,111,99,1,5,1,28,34
16998.0,425,2018,24371,1055,4.7,12,271,28,1,5,1,43,13
17830.0,670,2019,26237,1057,5.5,11,6,56,2,8,1,35,11
17490.0,285,2018,29501,1055,4.8,10,146,13,1,4,1,46,5
14131.0,285,2016,57121,1055,5.9,3,145,153,1,5,1,82,31
23590.0,425,2021,9409,1055,5.3,6,376,123,1,4,1,70,37
12990.0,720,2017,50561,1055,5.4,6,213,49,1,4,1,28,2
20390.0,830,2021,8487,1055,4.6,4,284,76,1,8,1,49,60
22515.0,570,2016,51026,1057,5.7,2,152,534,2,8,1,45,2
34790.0,570,2020,26320,1057,5.3,12,87,487,2,5,1,54,22
19990.0,650,2020,37660,1055,4.5,2,111,54,2,5,1,51,65
18090.0,790,2015,85237,1056,6.6,6,205,278,1,3,1,131,86
18730.0,905,2016,71128,1055,6.0,6,163,278,1,5,1,107,15
