price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
15-20k,Volkswagen,Golf VII,2.0 TDI,Silver,100k+,100-150hp,2018,Diesel,Gear type automatic,Limousine,Stoff,0-4.5f,7-15d
0-10k,Ford,B-Max,1.0 EcoBoost,Silver,70-80k,0-100hp,2013,Benzin,Gear type manual,Van,Stoff,4.5-5.5f,0-7d
+30k,Hyundai,Santa Fe,2.2 CRDi,Gray,60-70k,150-200hp,2019,Diesel,Gear type automatic,SUV,Leder,5.5-6.5f,7-15d
10-15k,Opel,Astra,1.6,White,40-50k,100-150hp,2015,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,0-7d
15-20k,Opel,Insignia,2.0 CDTI,Gray,40-50k,150-200hp,2017,Diesel,Gear type manual,Limousine,Leder,4.5-5.5f,15-25d
10-15k,Toyota,AYGO,1.0-VVT-i,Black,20-30k,0-100hp,2018,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,100+
15-20k,Seat,Leon,1.8 TSI,Gray,60-70k,150-200hp,2017,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,80-100d
10-15k,Ford,Focus,1.0 EcoBoost,Blue,90-100k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
10-15k,Volkswagen,Polo,1.2 TSI,Gray,50-60k,100-150hp,2014,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,15-25d
25-30k,Peugeot,Rifter,1.5 Blue-HDi,Gray,10-20k,100-150hp,2019,Diesel,Gear type automatic,Bus,Stoff,0-4.5f,100+
25-30k,Mercedes-Benz,A-Klasse,A 180,Red,30-40k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Teilleder,4.5-5.5f,50-65d
20-25k,Mercedes-Benz,CLA-Klasse,CLA 200,Purple,90-100k,150-200hp,2016,Benzin,Gear type automatic,Limousine,Teilleder,4.5-5.5f,15-25d
25-30k,Seat,Alhambra,2.0 TDI,Red,90-100k,100-150hp,2017,Diesel,Gear type automatic,Van,Teilleder,4.5-5.5f,15-25d
15-20k,Opel,Corsa,1.2,Orange,50-60k,100-150hp,2019,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
15-20k,Volkswagen,Golf VII,1.0 TSI,White,40-50k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
15-20k,Hyundai,ix35,2.0 GDI,Gray,40-50k,150-200hp,2014,Benzin,Gear type automatic,SUV,Leder,+6.5f,7-15d
10-15k,Ford,Fiesta,1.0 EcoBoost,Black,10-20k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,7-15d
+30k,Volkswagen,Touareg,3.0 V6 TDI,White,100k+,+250hp,2018,Diesel,Gear type automatic,SUV,Leder,+6.5f,0-7d
0-10k,Smart,fortwo,0.9 Turbo,White,70-80k,0-100hp,2015,Benzin,Gear type manual,Coupe,Stoff,0-4.5f,80-100d
0-10k,Volkswagen,up!,1.0,Blue,70-80k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,0-7d
15-20k,Mercedes-Benz,A-Klasse,A 180,Black,70-80k,100-150hp,2014,Benzin,Gear type automatic,Limousine,Teilleder,4.5-5.5f,50-65d
10-15k,Fiat,500,1.2,White,50-60k,0-100hp,2016,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,80-100d
15-20k,BMW,1er,118i,Blue,40-50k,100-150hp,2017,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Peugeot,2008,1.2 e-THP,Gray,60-70k,100-150hp,2018,Benzin,Gear type automatic,SUV,Teilleder,4.5-5.5f,7-15d
10-15k,Citroen,C3,1.2 e-VTi,Gray,0-10k,0-100hp,2015,Benzin,Gear type automatic,Limousine,Stoff,0-4.5f,15-25d
10-15k,Volkswagen,Polo,1.0,Silver,10-20k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,80-100d
0-10k,Hyundai,i10,1.0,Red,30-40k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
10-15k,Peugeot,308,1.2 e-THP,Gray,60-70k,100-150hp,2016,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,0-7d
15-20k,Volkswagen,Golf,1.0 TSI,Black,10-20k,100-150hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,100+
20-25k,Audi,A4,1.4 TFSI,White,50-60k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
20-25k,Skoda,Octavia,1.5 TSI,Black,40-50k,100-150hp,2018,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,65-80d
10-15k,Peugeot,2008,1.2 e-THP,Gray,70-80k,100-150hp,2017,Benzin,Gear type manual,SUV,Teilleder,0-4.5f,35-50d
15-20k,Mazda,CX-5,2.0,Brown,40-50k,150-200hp,2015,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,7-15d
25-30k,Volkswagen,Passat,2.0 TDI,Gray,100k+,200-250hp,2016,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,80-100d
0-10k,Smart,fortwo,1.0,Gray,40-50k,0-100hp,2014,Benzin,Gear type automatic,Coupe,Stoff,0-4.5f,65-80d
25-30k,Kia,pro_cee'd,1.6 TGDI,White,40-50k,200-250hp,2019,Benzin,Gear type automatic,Coupe,Alcantara,5.5-6.5f,0-7d
+30k,Audi,RS 3,2.5 TFSI,Black,30-40k,+250hp,2019,Benzin,Gear type automatic,Limousine,Leder,+6.5f,35-50d
15-20k,Volkswagen,Golf VII,1.4 TSI,White,60-70k,100-150hp,2017,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,0-7d
10-15k,Volkswagen,up!,1.0,White,40-50k,0-100hp,2017,Benzin,Gear type automatic,Limousine,Stoff,0-4.5f,0-7d
15-20k,MINI,Clubman,Cooper,Gray,70-80k,100-150hp,2018,Benzin,Gear type manual,Kombi,Teilleder,4.5-5.5f,35-50d
20-25k,Ford,Tourneo Connect,1.0 EcoBoost,Gray,50-60k,0-100hp,2018,Benzin,Gear type manual,Van,Stoff,5.5-6.5f,0-7d
20-25k,Skoda,Octavia,2.0 TSI,Blue,40-50k,200-250hp,2017,Benzin,Gear type automatic,Limousine,Teilleder,5.5-6.5f,65-80d
15-20k,Volkswagen,Touran,1.4 TSI,Black,100k+,100-150hp,2015,Benzin,Gear type automatic,Van,Stoff,4.5-5.5f,7-15d
15-20k,Nissan,Qashqai,1.2,Gray,40-50k,100-150hp,2017,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,15-25d
10-15k,Volkswagen,Polo,1.0,Blue,40-50k,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
+30k,Volkswagen,Tiguan,2.0 TDI,Gray,40-50k,150-200hp,2017,Diesel,Gear type automatic,SUV,Stoff,5.5-6.5f,80-100d
10-15k,Ford,Focus,1.0 EcoBoost,Gray,90-100k,100-150hp,2015,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,35-50d
25-30k,BMW,4er,430i Gran Coupé,Gray,40-50k,+250hp,2016,Benzin,Gear type automatic,Limousine,Alcantara,4.5-5.5f,7-15d
