id,price_less_7k,price_7_10k,price_10_13k,price_13_16k,price_16_20k,price_20_25k,price_over_25k,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage_below_30k_,mileage_30_50k_,mileage_50_70k_,mileage_over_70k_,horsepower_below_100_,horsepower_100_150_,horsepower_150_200_,horsepower_200_250_,horsepower_over_250_,low_fuel_consumption,mid_low_fuel_consumption,mid_high_fuel_consumption,high_fuel_consumption,benzin,diesel,hybrid,automatic,manual,time_sell
AA99435,0,0,1,0,0,0,0,Fiat,500X,1.4 Turbo,Gray,2018,SUV,Teilleder,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,50-65d
RL66820,0,1,0,0,0,0,0,Opel,Adam,1.4,Red,2015,Limousine,Teilleder,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
AB39052,0,0,0,0,1,0,0,Volkswagen,Polo,1.0 TSI,Black,2020,Limousine,Stoff,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,65-80d
BB65901,0,0,0,0,0,0,1,Audi,A4,45 TFSI,White,2019,Limousine,Leder,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,50-65d
ZP66204,0,0,0,0,1,0,0,BMW,4er,420d Gran Coupé,White,2016,Coupe,Stoff,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,50-65d
BP98517,0,1,0,0,0,0,0,Dacia,Sandero II,1.0 SCe,White,2019,Limousine,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
AC10213,1,0,0,0,0,0,0,Dacia,Sandero II,1.0,Blue,2017,Limousine,Stoff,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7-15d
BX21274,0,1,0,0,0,0,0,Dacia,Logan MCV II,1.0,Red,2017,Kombi,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
HJ32773,0,0,1,0,0,0,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,Blue,2015,Van,Stoff,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
AE71263,0,0,0,0,0,1,0,Hyundai,i30,2.0 TGDI,White,2019,Limousine,Teilleder,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,15-25d
CP94580,0,0,0,0,1,0,0,Seat,Ateca,2.0 TDI,White,2016,SUV,Alcantara,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,100+
CC90483,0,0,0,0,0,1,0,Mercedes-Benz,CLS-Klasse,CLS 350 d Shooting Brake,Black,2014,Kombi,Leder,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,65-80d
AE82057,0,0,1,0,0,0,0,BMW,1er,116i,Black,2017,Limousine,Stoff,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
DL85122,0,1,0,0,0,0,0,Ford,Fiesta,1.0 EcoBoost,Gray,2016,Limousine,Stoff,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,35-50d
ZJ18923,0,1,0,0,0,0,0,Ford,EcoSport,1.5 TDCi,White,2017,SUV,Teilleder,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,25-35d
LB56311,0,0,1,0,0,0,0,Skoda,Fabia,1.2 TSI,Blue,2016,Kombi,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
ZY06528,0,0,0,0,0,1,0,Mercedes-Benz,Citan,109 CDI,Black,2020,Kombi,Stoff,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,15-25d
VJ63353,0,0,0,0,1,0,0,Kia,Niro,1.6,Blue,2019,SUV,Stoff,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,25-35d
WX45802,0,0,1,0,0,0,0,Skoda,Octavia,2.0 TDI,Gray,2015,Kombi,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,35-50d
FY43936,0,0,1,0,0,0,0,Seat,Leon,1.6 TDI,Black,2017,Limousine,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,100+
GF06846,0,0,0,0,0,0,1,BMW,4er,430d Gran Coupé,White,2017,Coupe,Leder,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,15-25d
NB28353,0,0,0,1,0,0,0,Volkswagen,Golf VII,1.6 TDI,Gray,2018,Kombi,Alcantara,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0-7d
AC77504,0,0,0,0,0,1,0,Mercedes-Benz,CLA-Klasse,CLA 180,White,2017,Limousine,Alcantara,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,7-15d
GL98111,0,0,0,1,0,0,0,Volkswagen,Polo,1.0 TSI,White,2019,Limousine,Stoff,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,100+
AA86524,0,0,0,0,0,0,1,Ford,Galaxy,2.0 EcoBlue,Gray,2020,Van,Stoff,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,35-50d
HC30354,0,0,1,0,0,0,0,Peugeot,2008,1.2 e-THP,Gray,2019,SUV,Teilleder,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,7-15d
FY65654,0,0,0,0,1,0,0,Audi,A4,2.0 TFSI,Black,2015,Kombi,Leder,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,80-100d
HX33413,1,0,0,0,0,0,0,MINI,MINI,One,Black,2013,Limousine,Teilleder,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7-15d
XF10456,0,1,0,0,0,0,0,Dacia,Sandero II,0.9 TCe,White,2016,Limousine,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
FZ39597,0,0,0,0,1,0,0,Skoda,Octavia,2.0 TDI,Black,2018,Kombi,Alcantara,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,35-50d
YV67426,0,0,1,0,0,0,0,Mazda,CX-5,2.2 Turbodiesel,Gray,2013,SUV,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,50-65d
NU86068,1,0,0,0,0,0,0,Skoda,Fabia,1.0 MPI,Black,2015,Kombi,Stoff,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
TV75339,1,0,0,0,0,0,0,Seat,Ibiza,1.4,Green,2013,Limousine,Stoff,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0-7d
