id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
BS51577,8876,Smart,fortwo,1.0,Black,2018,Coupe,Stoff,22540,70,1,0,0,1,37
AA33803,13595,Mercedes-Benz,C-Klasse,C 180 d,White,2017,Kombi,Stoff,87517,115,0,1,0,1,22
AP31747,11520,BMW,3er,318d,Black,2016,Kombi,Stoff,117020,150,0,1,0,1,19
DZ54834,6910,Volkswagen,Polo,1.0,Gray,2016,Limousine,Stoff,25215,60,1,0,0,1,5
DT88229,12395,Skoda,Octavia,2.0 TDI,Black,2014,Limousine,Teilleder,118961,185,0,1,0,1,18
JD60209,19700,Ford,Focus,1.5 TDCi EcoBlue,White,2020,Kombi,Stoff,27330,120,0,1,1,0,29
CN91958,21883,Hyundai,i30,2.0 TGDI,Gray,2019,Limousine,Alcantara,66517,275,1,0,0,1,27
EY60010,15007,Ford,Fiesta,1.0 EcoBoost Mild-Hybrid,White,2021,Limousine,Stoff,17491,125,1,0,0,1,71
CE42485,8288,Opel,Astra K,1.6 CDTI DPF,White,2017,Limousine,Stoff,96775,110,0,1,0,1,3
BY29489,19925,Mercedes-Benz,GLK-Klasse,GLK 350 CDI,Black,2013,SUV,Leder,99976,265,0,1,1,0,36
FH58536,28332,Volkswagen,Tiguan Allspace,2.0 TDI,Black,2018,SUV,Stoff,63202,150,0,1,1,0,18
BX19830,6180,Fiat,500,1.2,Green,2015,Limousine,Stoff,88167,70,1,0,0,1,2
FS21619,5001,Toyota,AYGO,1.0,White,2017,Limousine,Stoff,89792,70,1,0,0,1,30
GB72002,24610,Volkswagen,Golf VII,2.0 TSI,Black,2017,Limousine,Leder,105281,310,1,0,1,0,56
AF10281,15883,Seat,Arona,1.0 TSI,White,2017,SUV,Teilleder,14512,115,1,0,1,0,26
CR46862,25085,Jeep,Grand Cherokee,3.0 CRD,White,2016,SUV,Leder,68220,250,0,1,1,0,35
AA03285,6815,Renault,Clio,1.2,Black,2017,Limousine,Stoff,20512,73,1,0,0,1,33
AZ05504,8568,Skoda,Fabia,1.0 MPI,Black,2018,Limousine,Stoff,26958,60,1,0,0,1,8
FD22801,14032,Mercedes-Benz,B-Klasse,B 220 CDI,Red,2014,Van,Teilleder,68516,170,0,1,1,0,2
