id,price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
NE41947,price_15_20k,Seat,Leon,1.8 TSI,Gray,60-70k,horsepower_150_200hp,2017,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_3_,sold_80_100d
TH35050,price_10_15k,Opel,Corsa,1.4,Gray,20-30k,horsepower_0_100hp,2017,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_3_,sold_25_35d
WB79230,price_10_15k,Hyundai,i20,1.0 TGDI,White,40-50k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_25_35d
FP65598,price_10_15k,Toyota,AYGO,1.0-VVT-i,White,10-20k,horsepower_0_100hp,2020,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_1_,sold_25_35d
JD91958,price_10_15k,Nissan,Pulsar,1.2,Black,100k+,horsepower_100_150hp,2017,Benzin,Gear type manual,Limousine,Leder,fuel_consumption_2_,sold_15_25d
FU31764,price_10_15k,Renault,Grand Scenic,1.6 dCi,Black,90-100k,horsepower_100_150hp,2015,Diesel,Gear type manual,Van,Teilleder,fuel_consumption_1_,sold_7_15d
FZ51816,price_10_15k,BMW,1er,118i,Black,100k+,horsepower_150_200hp,2015,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_3_,sold_25_35d
MH47403,price_10_15k,Volkswagen,Golf VII,1.4 TSI,Red,90-100k,horsepower_100_150hp,2015,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_25_35d
TH47936,price_over30k,Skoda,Kodiaq,2.0 TSI,Gray,20-30k,horsepower_150_200hp,2018,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_4_,sold_80_100d
UD29352,price_10_15k,Volkswagen,Tiguan,1.4 TSI,Silver,100k+,horsepower_150_200hp,2012,Benzin,Gear type manual,SUV,Alcantara,fuel_consumption_4_,sold_7_15d
ZV13814,price_10_15k,Toyota,Auris,1.6,Brown,100k+,horsepower_100_150hp,2014,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_3_,sold_50_65d
MM81023,price_15_20k,Audi,A4,1.8 TFSI,Gray,70-80k,horsepower_150_200hp,2015,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_3_,sold_50_65d
AZ94885,price_15_20k,Ford,Focus,2.0 TDCi,White,80-90k,horsepower_150_200hp,2016,Diesel,Gear type automatic,Kombi,Leder,fuel_consumption_2_,sold_0-7d
AA44317,price_15_20k,Hyundai,i30,1.4 TDGI,Gray,40-50k,horsepower_100_150hp,2018,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_2_,sold_65_80d
VB06022,price_15_20k,Nissan,X-Trail,1.6 dCi,White,50-60k,horsepower_100_150hp,2016,Diesel,Gear type manual,SUV,Stoff,fuel_consumption_2_,sold_0-7d
BF16739,price_10_15k,Ford,C-Max,1.0 EcoBoost,Black,100k+,horsepower_0_100hp,2016,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_0-7d
VH34190,price_20_25k,Seat,Leon,1.5 TSI,Gray,20-30k,horsepower_100_150hp,2019,Benzin,Gear type automatic,Limousine,Alcantara,fuel_consumption_2_,sold_50_65d
LF66676,price_10_15k,Volkswagen,Golf VII,1.4 TSI,White,80-90k,horsepower_100_150hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_0-7d
BT12235,price_15_20k,Volkswagen,Golf VII Sportsvan,1.2 TSI,Gray,60-70k,horsepower_100_150hp,2016,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_over100d_
MN10526,price_over30k,Audi,A7,3.0 V6 TDI,Black,100k+,horsepower_150_200hp,2016,Diesel,Gear type automatic,Kombi,Leder,fuel_consumption_2_,sold_50_65d
CY37331,price_15_20k,Dacia,Duster II,1.3 TCe,Brown,20-30k,horsepower_100_150hp,2019,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_3_,sold_80_100d
RL32247,price_20_25k,BMW,4er,420d,White,50-60k,horsepower_150_200hp,2015,Diesel,Gear type automatic,Coupe,Leder,fuel_consumption_1_,sold_35_50d
TT90200,price_25_30k,Volkswagen,Tiguan,1.5 TSI,Black,30-40k,horsepower_100_150hp,2019,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_3_,sold_25_35d
CM21196,price_15_20k,Mercedes-Benz,B-Klasse,B 180,White,80-90k,horsepower_100_150hp,2015,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_3_,sold_25_35d
YA79350,price_10_15k,Citroen,C3,1.2 VTi,Black,40-50k,horsepower_0_100hp,2018,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_0-7d
HP07460,price_10_15k,Opel,Corsa,1.4,Black,50-60k,horsepower_0_100hp,2017,Benzin,Gear type automatic,Limousine,Teilleder,fuel_consumption_2_,sold_0-7d
CT65691,price_20_25k,Volkswagen,Passat,1.5 TSI,Blue,50-60k,horsepower_100_150hp,2018,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_2_,sold_0-7d
WP33425,price_over30k,Audi,A5 Sportback,2.0 TFSI,Black,50-60k,horsepower_over250hp,2018,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_3_,sold_65_80d
ZR87925,price_over30k,BMW,X4,xDrive 20i,White,60-70k,horsepower_150_200hp,2016,Benzin,Gear type automatic,SUV,Teilleder,fuel_consumption_4_,sold_80_100d
EB24591,price_20_25k,Mercedes-Benz,GLA-Klasse,GLA 220 d,Gray,50-60k,horsepower_150_200hp,2014,Diesel,Gear type automatic,SUV,Teilleder,fuel_consumption_2_,sold_65_80d
HR48413,price_10_15k,Volkswagen,Golf VII,1.2 TSI,Gray,60-70k,horsepower_100_150hp,2015,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_2_,sold_0-7d
FL65318,price_15_20k,Audi,TT,1.8 TFSI,Black,100k+,horsepower_150_200hp,2014,Benzin,Gear type automatic,Coupe,Leder,fuel_consumption_3_,sold_50_65d
GN20418,price_20_25k,Volkswagen,Passat,1.5 TSI,Black,20-30k,horsepower_100_150hp,2019,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_2_,sold_65_80d
FH38701,price_10_15k,Ford,Focus,1.0 EcoBoost,Blue,90-100k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_35_50d
ML61675,price_10_15k,Renault,Clio,1.2,White,20-30k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_3_,sold_0-7d
MA79269,price_20_25k,Volkswagen,T-Cross,1.0 TSI,Green,20-30k,horsepower_100_150hp,2020,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_2_,sold_over100d_
TX17412,price_15_20k,BMW,1er,116i,Black,30-40k,horsepower_100_150hp,2018,Benzin,Gear type manual,Limousine,Leder,fuel_consumption_3_,sold_50_65d
GT90560,price_15_20k,Volkswagen,Polo,1.0 TSI,Black,30-40k,horsepower_0_100hp,2018,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_65_80d
JV06794,price_20_25k,Ford,Focus,1.5 EcoBoost,White,40-50k,horsepower_100_150hp,2019,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_3_,sold_35_50d
TU12330,price_25_30k,Nissan,Qashqai,1.3 DIG-T,Black,0-10k,horsepower_150_200hp,2020,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_3_,sold_15_25d
