id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
EX79341,11308,DE,0,Volkswagen,Polo,1.2 TSI,Black,2017,Limousine,Stoff,4.7,22132,90,Benzin,manual,1
AB00083,11965,DE,0,BMW,3er,318d Touring,Black,2016,Kombi,Stoff,4.3,95173,150,Diesel,manual,5
PY11688,24500,DE,0,Mercedes-Benz,GLC-Klasse,GLC 220,White,2016,SUV,Alcantara,5,101996,170,Diesel,automatic,15
RF58811,16592,DE,0,Volkswagen,Polo,2.0 TSI,Red,2019,Limousine,Stoff,6.1,77361,200,Benzin,automatic,58
TH07089,14021,DE,0,Nissan,Juke,1.6,Gray,2019,SUV,Teilleder,7.0,16612,113,Benzin,manual,44
PZ54818,6200,DE,1,Skoda,Citigo,1.0 MPI,Red,2017,Limousine,Stoff,4.4,27215,60,Benzin,manual,69
UL95129,9520,PT,0,Volkswagen,Polo,1.0,Silver,2018,Limousine,Stoff,4.7,51716,75,Benzin,manual,24
JZ00620,13120,DE,0,Ford,Grand C-Max,1.0 EcoBoost,Gray,2017,Van,Stoff,5.2,44213,125,Benzin,manual,4
GH83268,12550,DE,0,Kia,cee'd,1.4,Blue,2018,Limousine,Stoff,6.4,47909,100,Benzin,manual,52
GH22527,10327,DE,0,Hyundai,i10,1.2,Gray,2019,Limousine,Stoff,5.5,12853,87,Benzin,manual,16
SZ01577,31009,DE,1,Mercedes-Benz,V-Klasse,V 220 d,White,2016,Bus,Stoff,5.9,96313,163,Diesel,automatic,17
HA16799,14032,DE,0,Opel,Zafira Tourer,2.0 CDTI,Gray,2016,Van,Stoff,5.8,98541,170,Diesel,automatic,6
RA85727,9735,DE,0,Smart,forfour,0.9 Turbo,White,2018,Limousine,Stoff,5.4,13153,90,Benzin,manual,45
SN27466,16257,DE,0,BMW,1er,120i,Gray,2016,Limousine,Teilleder,5.5,40075,185,Benzin,automatic,11
AB90884,18296,DE,1,BMW,X1,xDrive 20d,Black,2016,SUV,Teilleder,4.9,90402,190,Diesel,automatic,6
NR13474,20643,DE,0,Volkswagen,Golf VII,1.5 TSI,Gray,2019,Limousine,Stoff,4.7,9037,150,Benzin,automatic,58
LY66920,22103,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 200,Black,2018,Kombi,Alcantara,6.5,45637,155,Benzin,manual,49
UR77925,8823,DE,0,Skoda,Citigo,1.0 MPI,Red,2017,Limousine,Stoff,4.4,16785,75,Benzin,manual,9
LB50669,25193,DE,0,Audi,A4,2.0 TFSI,Gray,2018,Kombi,Alcantara,6.2,63496,252,Benzin,automatic,98
SC09281,7377,DE,0,Volkswagen,Polo,1.0,Black,2015,Limousine,Stoff,5.1,70029,75,Benzin,manual,78
WR55353,13661,DE,0,BMW,X1,sDrive 18d,Gray,2014,SUV,Teilleder,4.9,84305,143,Diesel,automatic,1
PW38350,11514,DE,0,Volkswagen,Golf VII,1.4 TSI,Gray,2014,Limousine,Stoff,4.7,58902,140,Benzin,manual,54
HC53050,12900,DE,0,Ford,Fiesta,1.0 EcoBoost,White,2019,Limousine,Stoff,4.1,15163,95,Benzin,manual,17
SX34761,11944,DE,0,Hyundai,i30,1.4 TGDI,White,2019,Kombi,Stoff,6.2,81751,140,Benzin,manual,34
BJ74937,18190,DE,0,Volkswagen,Golf VII,1.5 TSI,Gold,2018,Limousine,Stoff,4.9,60990,150,Benzin,automatic,9
GJ89720,22502,DE,0,Kia,cee'd,1.6 TGDI,White,2019,Kombi,Teilleder,5.8,18088,204,Benzin,automatic,137
BH98774,12555,DE,0,MINI,MINI,Cooper SD,Blue,2015,Limousine,Stoff,4.0,73866,170,Diesel,manual,47
TB86428,28044,DE,0,BMW,X3,xDrive 20d,Black,2017,SUV,Leder,4.9,52954,190,Diesel,automatic,91
KS81663,29043,AT,0,Volkswagen,T5 Multivan,2.0 TDI,Beige,2015,Bus,Stoff,7.5,26092,140,Diesel,automatic,1
TR06522,22020,DE,0,Mercedes-Benz,A-Klasse,A 200,Gray,2019,Limousine,Teilleder,5.3,22600,163,Benzin,manual,60
JF39409,14540,DE,0,Seat,Ibiza,1.5 TSI ACT,Red,2018,Limousine,Stoff,4.9,35633,150,Benzin,manual,9
LC84474,14048,DE,0,Toyota,Verso,1.8,Silver,2016,Van,Stoff,6.6,74437,147,Benzin,automatic,12
JY03159,13506,DK,0,Ford,Focus,1.5 EcoBoost,Brown,2018,Kombi,Stoff,5.6,54857,150,Benzin,manual,50
ZU49501,11673,DE,0,Renault,Captur,1.2 TCe Energy,Black,2016,SUV,Stoff,5.5,34663,118,Benzin,manual,102
TS55133,16763,DE,0,Mitsubishi,Eclipse Cross,1.5 T-MIVEC,Black,2017,SUV,Leder,6.6,31263,163,Benzin,manual,123
BL74491,9638,DE,0,Peugeot,2008,1.2 VTi,Gray,2017,SUV,Stoff,4.9,25019,82,Benzin,manual,26
ZU89499,6027,DE,0,Seat,Mii,1.0,Red,2018,Limousine,Stoff,4.4,35938,60,Benzin,manual,21
GZ36154,16023,DE,0,Ford,Focus,2.0 EcoBlue,Gray,2019,Kombi,Stoff,4.4,70877,150,Diesel,automatic,62
MS20822,7941,DE,1,Opel,Adam,1.4,Brown,2014,Limousine,Teilleder,5,12970,100,Benzin,manual,6
CU35996,13210,DE,0,Peugeot,308,2.0 Blue-HDi,White,2017,Kombi,Stoff,4.3,93947,150,Diesel,automatic,87
CM22808,21754,DE,0,Volkswagen,Golf VII,2.0 TSI,Red,2018,Limousine,Stoff,6.3,47087,230,Benzin,automatic,116
CP94070,9459,DE,0,Smart,forfour,0.9 Turbo,Blue,2016,Limousine,Leder,5.2,37282,90,Benzin,automatic,1
GW79471,29928,DE,0,Ford,Transit,2.0 TDCi,Gray,2018,Kombi,Stoff,6.4,31647,130,Diesel,manual,72
PF45183,16691,DE,0,BMW,2er,220i Active Tourer,Red,2017,Van,Stoff,6.2,58970,192,Benzin,automatic,46
AG36071,14085,DE,0,Opel,Insignia,1.5 SIDI Turbo,Black,2017,Limousine,Teilleder,6.1,85283,165,Benzin,automatic,41
FD78974,13813,DE,0,Volkswagen,Touran,1.4 TSI,Black,2015,Van,Alcantara,6.6,93644,170,Benzin,automatic,42
AL26708,30139,DE,1,Mercedes-Benz,C-Klasse,C 350e,Black,2018,Kombi,Leder,2.1,32598,210,Hybrid,automatic,54
HE66236,14419,DE,0,Hyundai,Santa Fe,2.2 CRDi,Black,2013,SUV,Leder,6.8,114276,197,Diesel,automatic,11
GH10958,21287,DE,0,Audi,Q2,1.4 TFSI ACT,Yellow,2017,SUV,Teilleder,5.2,59296,150,Benzin,automatic,88
GH20370,7029,DE,0,Ford,Fiesta,1.0,Beige,2016,Limousine,Stoff,5.0,40685,80,Benzin,manual,55
SS78684,9362,DE,0,Skoda,Yeti,1.2 TSI,Gray,2013,SUV,Stoff,6.6,62766,105,Benzin,automatic,32
GJ95656,17451,DE,0,Mercedes-Benz,A-Klasse,A 200,White,2016,Limousine,Teilleder,5.2,69463,155,Benzin,automatic,40
PW42977,11584,DE,0,Volkswagen,Golf VII,1.4 TSI,Black,2014,Kombi,Teilleder,5.1,70687,122,Benzin,automatic,3
YR48307,12249,DE,1,MINI,Countryman,Cooper D,Red,2013,SUV,Leder,5.6,50033,110,Diesel,automatic,24
ZD76397,11354,DE,0,Kia,Rio,1.4,Red,2016,Limousine,Stoff,5.0,26501,100,Benzin,manual,11
AB54993,9400,HR,0,Ford,Fiesta,1.1,Gray,2018,Limousine,Stoff,4.7,70281,85,Benzin,manual,82
