id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,benzin,diesel,hybrid,automatic,manual,time_online_to_reserve_
GJ04928,28202,DE,0,Skoda,Kodiaq,2.0 TDI,Gray,2019,SUV,Leder,5.7,42239,190,0,1,0,1,0,6
GU67172,29970,DE,0,BMW,X3,xDrive 20i,White,2018,SUV,Teilleder,7.3,70856,185,1,0,0,1,0,75
FW87355,26598,AT,0,Audi,Q3,35 TFSI,White,2019,SUV,Stoff,5.7,4898,150,1,0,0,0,1,63
FX52389,23101,DE,0,BMW,4er,430i,Black,2017,Coupe,Leder,5.5,60884,252,1,0,0,1,0,69
HU54390,16451,DE,0,Volkswagen,Touran,2.0 TDI,Black,2015,Van,Alcantara,4.4,74315,150,0,1,0,0,1,86
PA71825,11467,DE,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,Gold,2014,Van,Stoff,5.0,41914,110,1,0,0,1,0,48
NS63303,14633,DE,0,Ford,Kuga,2.0 TDCi,Silver,2016,SUV,Teilleder,4.7,75528,150,0,1,0,0,1,79
AC77504,20500,DE,0,Mercedes-Benz,CLA-Klasse,CLA 180,White,2017,Limousine,Alcantara,5.4,55820,122,1,0,0,1,0,11
AA11319,12001,DE,0,BMW,1er,120d,White,2012,Limousine,Stoff,4.3,117483,185,0,1,0,1,0,57
AD73478,28050,DE,0,Mercedes-Benz,E-Klasse,E 200,Gray,2018,Limousine,Teilleder,6.5,31043,185,1,0,0,1,0,51
AC24087,14413,DE,0,Volkswagen,Polo,1.0 TSI,White,2018,Limousine,Stoff,4.6,42717,115,1,0,0,0,1,64
HU55326,17455,DE,0,Mitsubishi,Eclipse Cross,1.5 T-MIVEC,Red,2019,SUV,Stoff,7.2,38948,163,1,0,0,1,0,110
JH67387,7444,DE,0,Ford,Fiesta,1.5 TDCi,White,2018,Limousine,Stoff,3.6,99292,85,0,1,0,0,1,42
ZS90961,22535,DE,0,Citroen,Berlingo,1.5 Blue-HDi,Green,2019,Van,Stoff,4.5,48400,131,0,1,0,0,1,17
AV73704,17520,DE,0,Hyundai,Tucson,1.6 TGDI,Blue,2015,SUV,Leder,7.3,80473,177,1,0,0,0,1,60
DC42151,7922,DE,0,Ford,Ka+,1.2 Ti-VCT,Black,2018,Limousine,Stoff,5.0,39381,86,1,0,0,0,1,49
ZH40882,12618,DE,0,Fiat,500C,1.0 Mild-Hybrid,White,2020,Cabrio,Stoff,4.1,3747,70,1,0,0,0,1,24
DJ94999,19052,DE,0,Subaru,XV,2.0,Silver,2018,SUV,Stoff,6.5,31581,155,1,0,0,1,0,88
MN83640,21068,DE,0,Volkswagen,Passat,2.0 TDI,Black,2017,Limousine,Leder,5.5,68203,240,0,1,0,1,0,1
AD55292,7633,DE,0,Fiat,Panda,1.2,White,2019,Limousine,Stoff,5.9,18071,70,1,0,0,0,1,53
AF62174,11545,DE,0,Seat,Leon,1.4 TSI,White,2015,Limousine,Alcantara,4.7,79903,150,1,0,0,1,0,7
TN13821,7089,DE,0,Toyota,AYGO,1.0,White,2015,Limousine,Stoff,4.2,70861,70,1,0,0,1,0,3
AF27682,21415,DE,0,Ford,Fiesta,1.5 EcoBoost,Blue,2020,Limousine,Teilleder,6.1,10550,200,1,0,0,0,1,83
KW71003,20353,DE,0,BMW,2er,228i,White,2016,Cabrio,Leder,6.6,56848,245,1,0,0,1,0,40
KL41238,14413,DE,0,Ford,Focus,2.0 EcoBoost,Blue,2016,Kombi,Teilleder,6.8,102149,250,1,0,0,0,1,49
ZX47681,22946,DE,0,Audi,Q2,35 TFSI,Gray,2018,SUV,Leder,5.7,43557,150,1,0,0,1,0,106
GT06920,9089,DE,0,Dacia,Sandero II,0.9 TCe,Red,2016,Limousine,Stoff,5.1,34197,90,1,0,0,1,0,5
TP45828,11773,DE,0,Skoda,Fabia,1.0 TSI,Gray,2019,Limousine,Stoff,4.5,19200,95,1,0,0,0,1,54
