id,first_price,eligible_month,eligible_date,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
WV38992,12700.0,June,2022-06,AT,0,Opel,Mokka,1.4 Turbo,Brown,2015,SUV,Teilleder,6.0,69428,140,Benzin,manual,97
HM57645,29990.0,September,2022-09,DE,0,Audi,A5 Sportback,35 TFSI,Black,2019,Kombi,Teilleder,6.0,48455,150,Benzin,automatic,6
YJ36657,8750.0,May,2023-05,DE,0,Volkswagen,up!,1.0,Silver,2016,Limousine,Stoff,4.5,56676,60,Benzin,manual,50
FT00128,23400.0,November,2021-11,DE,0,Audi,A4,1.4 TFSI,Green,2016,Kombi,Stoff,5.8,49162,150,Benzin,manual,30
GD42085,25600.0,January,2023-01,DE,0,Mitsubishi,Outlander,2.0,Gray,2016,SUV,Leder,1.8,45655,120,Hybrid,automatic,34
AF48636,10990.0,November,2022-11,DE,0,Peugeot,208,1.6 Turbo,Black,2013,Limousine,Teilleder,5.9,64562,200,Benzin,manual,4
RU35252,16190.0,November,2022-11,DE,0,Mazda,3,2.0,Silver,2015,Limousine,Stoff,5.6,18526,120,Benzin,automatic,5
PH41408,13400.0,October,2021-10,DE,0,Volkswagen,Touran,1.4 TSI,Black,2013,Van,Stoff,6.6,79243,140,Benzin,automatic,27
YL49744,23990.0,October,2022-10,DE,0,Volkswagen,Tiguan,1.4 TSI,White,2017,SUV,Stoff,6.1,40593,150,Benzin,automatic,1
WT64063,23890.0,March,2023-03,DE,0,Mercedes-Benz,E-Klasse,E 220 CDI,Black,2016,Kombi,Teilleder,4.5,96716,170,Diesel,automatic,6
GU67172,35390.0,March,2023-03,DE,0,BMW,X3,xDrive 20i,White,2018,SUV,Teilleder,7.3,70856,185,Benzin,automatic,75
WD38228,18200.0,September,2022-09,DE,0,Toyota,Yaris,1.5 Hybrid,White,2019,Limousine,Stoff,3.6,7761,101,Hybrid,automatic,18
DG95042,20760.0,January,2023-01,DE,0,Volkswagen,Golf VII,2.0 TDI,Black,2016,Kombi,Leder,4.8,89598,185,Diesel,automatic,34
NG07027,27700.0,September,2021-09,DE,0,BMW,3er,318d,Black,2020,Kombi,Teilleder,4.8,21468,150,Diesel,manual,6
ZF60718,10390.0,March,2023-03,DE,0,Citroen,C3,1.2 VTi,Black,2018,Limousine,Stoff,4.7,86681,82,Benzin,manual,57
JK46407,23730.0,July,2022-07,DE,0,Volkswagen,Passat,2.0 TDI,Black,2018,Kombi,Alcantara,4.2,68402,150,Diesel,manual,75
VR68021,15490.0,September,2022-09,DE,0,Opel,Zafira Tourer,2.0 CDTI,Black,2016,Van,Stoff,4.9,105621,170,Diesel,manual,41
FZ64828,17200.0,February,2023-02,DE,0,BMW,1er,118i,White,2017,Limousine,Alcantara,5.3,92766,135,Benzin,manual,22
TM43451,18290.0,September,2022-09,DE,0,Volkswagen,Golf VII,1.4 TSI,White,2017,Kombi,Stoff,5.1,49070,125,Benzin,automatic,21
CW32875,17990.0,March,2023-03,DE,0,Toyota,Auris Touring Sports,1.8 Hybrid,Gray,2017,Kombi,Stoff,4.0,91335,100,Hybrid,automatic,46
SW17599,23300.0,July,2022-07,DE,0,Volkswagen,Touran,1.4 TSI,Gray,2016,Van,Stoff,5.4,69047,150,Benzin,automatic,20
EZ67305,15380.0,December,2022-12,DE,0,Volkswagen,Polo,1.6 TDI,White,2018,Limousine,Stoff,3.6,39117,95,Diesel,manual,32
XZ25896,26610.0,February,2023-02,DE,0,Ford,Galaxy,1.5 EcoBoost,Gray,2019,Van,Stoff,7.5,42214,165,Benzin,manual,47
RG50155,12990.0,February,2023-02,DE,0,Smart,fortwo,0.9 Turbo,Black,2017,Coupe,Leder,4.1,48678,90,Benzin,automatic,33
JW71505,12100.0,March,2023-03,DE,0,Volkswagen,Polo,1.4 TDI,Black,2015,Limousine,Stoff,3.6,65125,105,Diesel,manual,16
BF40303,22870.0,November,2021-11,DE,0,Renault,Kadjar,1.3 TCe,Blue,2019,SUV,Teilleder,6.1,224,140,Benzin,manual,96
LL19864,11170.0,March,2022-03,DE,0,Kia,Picanto,1.0,Gray,2017,Limousine,Stoff,4.2,49980,67,Benzin,manual,102
ZX14276,23650.0,January,2023-01,DE,0,MINI,MINI,Cooper,Red,2020,Limousine,Teilleder,5.3,8228,135,Benzin,automatic,9
UC75156,25400.0,August,2021-08,DE,0,Toyota,RAV 4,2.5 Hybrid,Gray,2017,SUV,Stoff,5.2,35307,197,Hybrid,automatic,19
DD29455,13600.0,August,2021-08,DE,0,Kia,cee'd,1.0 TGDI,Black,2016,Kombi,Stoff,5.1,51729,120,Benzin,manual,60
KW40004,12550.0,January,2022-01,DE,0,Honda,Jazz,1.3 i-VTEC,Orange,2015,Van,Stoff,5.0,60426,102,Benzin,manual,108
KX64116,17990.0,September,2022-09,DE,0,Volkswagen,Passat,2.0 TDI,Gray,2015,Kombi,Stoff,4.5,80943,150,Diesel,automatic,14
RC23198,10790.0,March,2023-03,DE,0,Opel,Meriva,1.4 Turbo,Silver,2013,Van,Teilleder,7.2,43236,120,Benzin,automatic,10
BU51306,19370.0,June,2022-06,DE,0,Audi,Q3,2.0 TDI,Gray,2013,SUV,Alcantara,5.9,106837,177,Diesel,automatic,62
LK97666,24800.0,July,2021-07,DE,0,Audi,Q2,2.0 TDI,Gray,2017,SUV,Leder,4.8,33600,150,Diesel,automatic,41
GY23178,19990.0,January,2023-01,DE,0,Hyundai,Kona,1.6 TGDI,Gray,2017,SUV,Leder,6.7,58961,177,Benzin,automatic,6
VR56004,15100.0,April,2022-04,DE,0,Smart,fortwo,0.9 Turbo,White,2017,Coupe,Leder,4.1,19732,90,Benzin,automatic,55
LM53199,10950.0,April,2022-04,DE,0,Hyundai,i10,1.0,Black,2019,Limousine,Stoff,5.1,41050,67,Benzin,manual,1
YD95672,27700.0,October,2021-10,DE,0,MINI,Countryman,Cooper S,Gray,2019,SUV,Leder,6.2,37971,192,Benzin,automatic,84
PR56553,8600.0,December,2022-12,DE,0,Renault,Clio,1.2,Gray,2014,Limousine,Stoff,5.5,42811,73,Benzin,manual,2
FB47545,17000.0,August,2022-08,DE,0,Volkswagen,Golf VI,2.0 TDI,White,2016,Cabrio,Stoff,4.2,61287,150,Diesel,manual,28
MW58987,7260.0,November,2022-11,SI,0,Skoda,Citigo,1.0 MPI,Green,2015,Limousine,Stoff,4.7,110254,75,Benzin,manual,34
MG11850,11690.0,February,2023-02,DE,0,Toyota,AYGO,1.0,White,2019,Limousine,Stoff,4.1,4171,72,Benzin,manual,7
WM04918,18100.0,October,2021-10,DE,0,Mercedes-Benz,C-Klasse,C 180 CGI,Silver,2014,Limousine,Teilleder,5.0,49778,155,Benzin,manual,103
AP27110,28700.0,June,2021-06,DE,1,Land Rover,Discovery Sport,2.0 Td4,White,2017,SUV,Leder,6.5,85848,180,Diesel,automatic,126
HU96445,15570.0,May,2023-05,DE,0,Citroen,DS3,1.2 PureTech,Red,2017,Limousine,Leder,4.6,15634,110,Benzin,automatic,39
