id,first_price,eligible_month,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
JD31250,13590.0,November,DE,0,Ford,EcoSport,1.0 EcoBoost,Gray,2017,SUV,Stoff,5.4,13813,125,Benzin,manual,15
WN68777,14160.0,February,DE,0,Ford,Kuga,2.0 TDCi,Black,2012,SUV,Leder,6.0,84106,163,Diesel,automatic,13
GZ37613,15600.0,November,DE,0,Mercedes-Benz,B-Klasse,B 200 CDI,Gray,2015,Van,Teilleder,4.3,103597,135,Diesel,manual,27
ND45818,11200.0,March,DE,0,Smart,fortwo,0.9 Turbo,Black,2013,Cabrio,Leder,5.4,95306,102,Benzin,automatic,49
HF11892,14390.0,June,DE,0,Ford,Fiesta,1.0 EcoBoost,Gray,2016,Limousine,Stoff,4.9,5019,100,Benzin,automatic,12
WE93725,14670.0,January,DE,0,Ford,EcoSport,1.0 EcoBoost,Red,2019,SUV,Stoff,5.3,17106,101,Benzin,manual,14
MG73957,32280.0,April,DE,0,Audi,A4,40 TDI,White,2018,Kombi,Leder,4.4,76677,190,Diesel,automatic,127
FP43908,17690.0,June,DE,0,Dacia,Duster II,1.2 TCe,Black,2018,SUV,Stoff,6.4,32534,125,Benzin,manual,29
EW75738,29490.0,February,DE,0,Audi,S5,3.0 V6 TFSI,Black,2016,Coupe,Leder,7.7,104052,333,Benzin,automatic,42
JN52582,22340.0,February,DE,0,BMW,2er,220i Active Tourer,Black,2016,Van,Stoff,5.6,37339,192,Benzin,automatic,13
YX52505,31890.0,September,DE,0,Jeep,Grand Cherokee,3.0 CRD,Black,2017,SUV,Leder,7.0,99402,250,Diesel,automatic,15
TU79487,18490.0,August,DE,0,Volkswagen,Passat,2.0 TDI,Black,2017,Kombi,Stoff,4.5,115015,150,Diesel,automatic,8
PF89428,32150.0,December,DE,0,Mercedes-Benz,A-Klasse,A 45 AMG,Red,2014,Limousine,Leder,6.9,80633,360,Benzin,automatic,46
SW42152,12820.0,April,DE,0,Suzuki,Ignis,1.2 DualJet,Black,2018,Limousine,Stoff,4.6,29608,90,Benzin,manual,30
CE27845,36680.0,November,DE,0,Mercedes-Benz,GLC-Klasse,GLC 250,Gray,2017,SUV,Leder,6.5,23293,210,Benzin,automatic,15
MU60708,30990.0,October,DE,0,Mercedes-Benz,C-Klasse,C 220 d,White,2019,Kombi,Teilleder,4.7,91564,194,Diesel,automatic,74
SA57498,28990.0,August,DE,0,Ford,Focus,2.3 EcoBoost,Red,2020,Kombi,Teilleder,8.2,23867,280,Benzin,automatic,5
GV87965,15990.0,February,DE,0,Opel,Grandland X,1.6 CDTI DPF,Gray,2017,SUV,Teilleder,4.3,100761,120,Diesel,manual,2
KL93365,17290.0,February,DE,0,Mercedes-Benz,A-Klasse,A 180,Black,2017,Limousine,Leder,5.5,59838,122,Benzin,manual,40
LT24695,18590.0,March,DE,0,Ford,Focus,2.0 EcoBoost,White,2015,Limousine,Leder,6.8,57833,250,Benzin,manual,16
BU09732,15390.0,December,DE,0,Opel,Insignia,2.0 CDTI,Gray,2016,Kombi,Stoff,5.5,89336,170,Diesel,automatic,7
SD46756,7120.0,November,HU,0,Fiat,Punto,1.4,White,2013,Limousine,Stoff,5.9,67414,77,Benzin,manual,19
PE51136,7720.0,February,DE,0,Kia,Picanto,1.0,Red,2015,Limousine,Stoff,4.5,70453,65,Benzin,manual,32
RH47702,34200.0,June,DE,0,BMW,X1,xDrive 20d,White,2019,SUV,Alcantara,4.8,12336,190,Diesel,automatic,81
GU39110,11000.0,July,DE,0,Hyundai,i10,1.0,Blue,2018,Limousine,Stoff,5.8,22615,67,Benzin,automatic,10
WD13625,25080.0,May,DE,0,Toyota,C-HR,1.8 Hybrid,Black,2018,SUV,Stoff,3.8,32714,122,Hybrid,automatic,50
ZJ00902,20000.0,June,DE,0,Volkswagen,Touran,1.2 TSI,Gray,2018,Van,Stoff,5.5,61475,110,Benzin,manual,91
NE39992,23890.0,April,DE,0,Volkswagen,Touran,1.8 TSI,Gray,2017,Van,Stoff,6.1,108129,180,Benzin,automatic,4
ZF31633,18510.0,January,DE,0,Peugeot,308,1.5 Blue-HDi,Black,2018,Kombi,Teilleder,3.8,62978,130,Diesel,manual,59
CR74128,22480.0,November,DE,0,Nissan,Qashqai,1.3 DIG-T,Black,2018,SUV,Stoff,5.4,39342,159,Benzin,automatic,9
DX06691,29490.0,August,DE,0,Kia,pro_cee'd,1.6 TGDI,White,2020,Coupe,Teilleder,6.2,15473,205,Benzin,automatic,16
ER76963,25590.0,September,DE,0,Audi,A3 Limousine,35 TDI,White,2020,Limousine,Stoff,4.2,23692,150,Diesel,manual,20
FM09246,10000.0,August,DE,0,Skoda,Rapid,1.2 TSI,Red,2016,Limousine,Stoff,4.7,39838,90,Benzin,manual,15
KD64541,14860.0,April,DE,0,Skoda,Octavia,2.0 TDI,White,2015,Kombi,Stoff,4.1,103348,150,Diesel,manual,1
AV02020,8470.0,March,DE,1,Smart,fortwo,1.0,Black,2014,Coupe,Stoff,4.2,72210,70,Benzin,automatic,83
UM80788,9800.0,November,DE,0,Renault,Captur,0.9 Energy,Black,2013,SUV,Stoff,5.0,64000,90,Benzin,manual,43
RF90799,20540.0,March,DE,0,MINI,MINI,One,Green,2019,Limousine,Leder,5.4,5028,102,Benzin,manual,40
FF22146,15990.0,September,DE,0,Ford,Fiesta,1.0 EcoBoost,Silver,2020,Limousine,Stoff,4.1,1805,95,Benzin,manual,62
HA91420,16440.0,March,DE,0,Opel,Astra K,1.4 SIDI Turbo,Black,2019,Limousine,Stoff,5.8,38948,125,Benzin,manual,39
GP74867,8230.0,June,DE,0,Peugeot,208,1.0 VTi,Gray,2015,Limousine,Stoff,4.3,61506,68,Benzin,manual,97
LX04513,26850.0,January,DE,0,Jaguar,XF,20d,Black,2018,Kombi,Teilleder,5.7,44227,180,Diesel,automatic,35
XX52551,21830.0,May,DE,1,Mazda,CX-5,2.2 Turbodiesel,Black,2018,SUV,Stoff,5.4,98306,175,Diesel,manual,27
LE48217,26900.0,November,DE,0,Toyota,Corolla,2.0 Hybrid,Gray,2019,Limousine,Leder,3.7,12045,179,Hybrid,automatic,98
WA40345,17600.0,May,DE,0,Opel,Zafira Tourer,2.0 CDTI,White,2016,Van,Stoff,5.8,62090,170,Diesel,automatic,106
CG07275,9860.0,January,DE,0,Fiat,500,1.2,Blue,2017,Limousine,Stoff,4.9,36160,70,Benzin,manual,9
PA98636,11990.0,August,DE,0,Toyota,Yaris,1.5 Hybrid,White,2013,Limousine,Stoff,3.7,44262,75,Hybrid,automatic,15
LY26184,14900.0,October,DE,0,Volkswagen,Beetle,2.0 TSI,Black,2012,Limousine,Leder,7.7,95281,200,Benzin,automatic,101
FP19810,11410.0,January,DE,0,Opel,Astra K,1.0,Black,2017,Limousine,Stoff,4.5,89668,105,Benzin,manual,24
JK11756,45490.0,December,DE,1,Volkswagen,T6 Multivan,2.0 TDI,Gray,2018,Bus,Alcantara,5.9,73713,150,Diesel,automatic,6
JD27691,7490.0,January,DE,0,Ford,Focus,1.0 EcoBoost,Blue,2013,Kombi,Stoff,4.8,103013,100,Benzin,manual,15
CY10374,9340.0,May,BE,0,Peugeot,108,1.0 VTi,Silver,2015,Limousine,Stoff,4.1,49038,70,Benzin,manual,50
UL86064,9250.0,December,DE,0,Volkswagen,Polo,1.0,White,2014,Limousine,Stoff,5.0,68293,60,Benzin,manual,18
XU12088,24730.0,April,DE,0,Jeep,Compass,1.4 M-Air,Black,2020,SUV,Teilleder,8.3,54281,170,Benzin,automatic,29
FF30813,13990.0,April,DE,0,Fiat,500,1.2,Gray,2019,Limousine,Teilleder,5.3,19491,69,Benzin,manual,47
HY08720,13010.0,November,DE,0,Volkswagen,Golf VII,1.4 TSI,Silver,2013,Limousine,Stoff,5.0,80355,122,Benzin,automatic,8
TH14646,8510.0,December,PL,0,Dacia,Sandero II,0.9 TCe,Black,2014,Limousine,Stoff,5.4,60712,90,Benzin,manual,4
KU50313,7990.0,December,DE,0,Citroen,DS3,1.6 VTi,White,2013,Limousine,Stoff,6.0,80857,120,Benzin,manual,3
TK15658,14080.0,February,SK,0,Skoda,Rapid,1.2 TSI,Blue,2017,Limousine,Stoff,4.8,57749,110,Benzin,manual,4
MJ12308,22540.0,March,NL,0,Kia,Sportage,1.6 TGDI,White,2019,SUV,Leder,7.6,29396,177,Benzin,manual,2
NC95141,14130.0,May,DE,0,Smart,fortwo,0.9 Turbo,Black,2017,Coupe,Stoff,4.1,36056,90,Benzin,automatic,32
KS32569,11900.0,July,DE,0,Fiat,500,1.2,Gray,2018,Limousine,Stoff,4.9,19492,70,Benzin,manual,46
PL92059,13290.0,October,DE,0,Dacia,Lodgy,1.5 dCi Diesel,White,2017,Van,Stoff,4.0,56876,110,Diesel,manual,89
AY85280,14700.0,September,DE,0,Hyundai,i30,1.4 MPI,White,2018,Limousine,Stoff,5.4,26353,99,Benzin,manual,2
MC00667,13840.0,December,DE,0,Skoda,Octavia,2.0 TDI,Blue,2016,Kombi,Stoff,4.0,104198,150,Diesel,manual,29
ZY57548,17500.0,March,DE,0,Hyundai,Kona,1.0 TGDI,Black,2018,SUV,Stoff,5.2,25854,120,Benzin,manual,159
DC90337,19570.0,March,DE,0,Hyundai,Tucson,2.0 CRDi,Gray,2016,SUV,Leder,6.0,113129,135,Diesel,automatic,6
HD19569,35700.0,October,DE,1,BMW,5er,530d,Gray,2017,Limousine,Leder,5.0,70457,265,Diesel,automatic,34
HV11887,21540.0,December,DE,0,Audi,A1,30 TFSI,Gray,2018,Kombi,Stoff,4.9,53945,116,Benzin,manual,93
