id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,damages,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_online_to_reserve_
SH25249,21350.0,March,116.1,1.743,7.6,2.38,DE,0,Volvo,S 60,1.5,Black,2018,Limousine,Leder,5,39775,152,Benzin,automatic,1,3,134,5,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,53
YY38615,16590.0,February,115.2,1.813,7.0,2.37,DE,0,Audi,A3,1.4 TFSI,Gray,2014,Limousine,Teilleder,4,86084,150,Benzin,automatic,3,8,109,5,2,1,1,23.243038844963905,6.263320728772774,0.9532485390168443,23
UC96481,16490.0,January,114.3,1.853,7.4,2.19,DE,0,Dacia,Dokker,1.3 TCe,Blue,2019,Van,Stoff,6,34700,131,Benzin,manual,7,10,163,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,7
TH05631,16990.0,February,115.2,1.813,7.0,2.37,DE,0,Opel,Crossland X,1.2,White,2018,SUV,Stoff,5,27633,110,Benzin,automatic,32,18,123,5,1,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,18
CW39113,22290.0,February,115.2,1.813,7.0,2.37,DE,0,Seat,Leon,2.0 TSI,Gray,2018,Kombi,Leder,6,61979,190,Benzin,automatic,4,3,163,5,1,0,1,23.243038844963905,6.263320728772774,0.9532485390168443,8
WN48892,35850.0,April,116.6,1.686,6.9,2.36,DE,1,Mercedes-Benz,E-Klasse,E 200,Gray,2018,Kombi,Alcantara,7,59551,185,Benzin,automatic,3,7,202,5,2,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,5
PX80860,14990.0,January,114.3,1.853,7.4,2.19,DE,0,Ford,C-Max,1.5 EcoBoost,Gray,2015,Van,Stoff,6,90307,150,Benzin,automatic,8,8,149,5,2,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,1
WW87722,24890.0,April,116.6,1.686,6.9,2.36,DE,0,Hyundai,i30,2.0 TGDI,Black,2018,Limousine,Alcantara,7,48472,275,Benzin,manual,0,6,188,5,1,0,1,20.16995932597327,4.833236490412551,0.9976757699012202,33
GK53570,22990.0,November,113.7,2.118,6.7,2.07,DE,0,Toyota,Corolla,2.0 Hybrid,Silver,2019,Kombi,Stoff,3,89009,179,Hybrid,automatic,14,26,119,5,2,1,0,15.36795655125594,4.933242815116542,0.7361393980538583,86
MZ54370,17990.0,March,116.1,1.743,7.6,2.38,DE,0,Hyundai,Tucson,1.6,Blue,2018,SUV,Stoff,7,18332,132,Benzin,manual,4,4,179,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,9
