id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_offline,time_online_to_reserve_
SD68802,10990.0,September,112.7,2.168,6.2,1.8,BG,0,Volkswagen,Polo,1.2 TSI,Silver,2014,Limousine,Stoff,4,27831,90,Benzin,manual,1,107,5,1,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,0,18
FV17806,14790.0,April,116.6,1.686,6.9,2.36,DE,0,MINI,Paceman,Cooper S,Black,2015,SUV,Leder,6,80358,190,Benzin,manual,7,153,4,1,0,1,20.16995932597327,4.833527019174898,0.9976757699012202,0,37
TG83351,19260.0,April,116.6,1.686,6.9,2.36,DE,0,Ford,Mondeo,2.0 TDCi,Black,2018,Kombi,Teilleder,4,104425,180,Diesel,automatic,4,165,5,2,1,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,17
UG43038,28490.0,September,112.7,2.168,6.2,1.8,DE,0,Mercedes-Benz,GLA-Klasse,GLA 200,White,2017,SUV,Alcantara,5,27907,155,Benzin,automatic,2,135,5,1,0,1,8.734654422426292,3.4179152569679396,0.5590462381182536,0,32
EB74890,16760.0,April,116.6,1.686,6.9,2.36,DE,0,Dacia,Dokker,1.6 SCe,Blue,2019,Kombi,Stoff,6,24001,102,Benzin,manual,8,175,5,1,0,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,21
HA18952,21890.0,September,112.7,2.168,6.2,1.8,DE,0,Skoda,Octavia,2.0 TSI,Blue,2017,Kombi,Alcantara,6,104243,230,Benzin,manual,9,149,5,1,0,1,8.734654422426292,3.4179152569679396,0.5590462381182536,20,45
SY36491,40790.0,September,112.7,2.168,6.2,1.8,DE,0,Mercedes-Benz,GLC-Klasse,GLC 250,Gray,2018,SUV,Leder,7,18922,210,Benzin,automatic,0,209,5,2,1,0,8.734654422426292,3.4179152569679396,0.5590462381182536,37,35
CM38218,10150.0,September,112.7,2.168,6.2,1.8,DE,0,Citroen,C4 Cactus,1.2 VTi,Yellow,2016,SUV,Stoff,4,68097,82,Benzin,manual,4,107,5,3,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,0,1
LV46502,13990.0,April,116.6,1.686,6.9,2.36,SI,0,Volkswagen,Polo,1.0 TSI,White,2018,Limousine,Stoff,4,115699,95,Benzin,manual,2,103,5,2,0,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,16
XK02999,7450.0,September,112.7,2.168,6.2,1.8,DE,0,Volkswagen,up!,1.0,Black,2014,Limousine,Stoff,4,41417,60,Benzin,manual,9,105,4,1,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,3,13
SR89155,9980.0,April,116.6,1.686,6.9,2.36,DE,0,Opel,Adam,1.2,White,2015,Limousine,Teilleder,5,59829,70,Benzin,manual,1,125,4,2,0,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,11
LC87763,25990.0,September,112.7,2.168,6.2,1.8,HU,0,Hyundai,Kona,1.6 Hybrid,Red,2020,SUV,Teilleder,4,22445,141,Hybrid,automatic,10,122,5,1,1,0,8.734654422426292,3.4179152569679396,0.5590462381182536,0,33
LW57170,18910.0,April,116.6,1.686,6.9,2.36,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,Red,2016,Kombi,Teilleder,5,113457,122,Benzin,automatic,6,128,5,2,0,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,45
FR04055,21510.0,August,110.7,1.928,5.7,1.03,DE,0,Audi,A3,1.4 TFSI e-tron,Black,2014,Limousine,Teilleder,2,60822,150,Hybrid,automatic,6,39,5,2,1,0,7.601013758146271,3.2173787110789283,0.499637943519189,7,28
XU50863,16490.0,August,110.7,1.928,5.7,1.03,DE,0,Mazda,3,2.0,Red,2015,Limousine,Stoff,5,5210,120,Benzin,manual,2,119,5,1,0,1,7.601013758146271,3.2173787110789283,0.499637943519189,90,36
GY15482,22490.0,August,110.7,1.928,5.7,1.03,DE,0,Seat,Leon,2.0 TDI,Blue,2019,Kombi,Teilleder,4,69084,184,Diesel,automatic,4,149,5,3,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,4,28
NW21760,20890.0,August,110.7,1.928,5.7,1.03,DE,0,Ford,Kuga,1.5 EcoBoost,Gray,2018,SUV,Leder,6,44809,150,Benzin,manual,3,145,5,1,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,10,67
KF45812,15500.0,August,110.7,1.928,5.7,1.03,DE,0,Audi,A4,1.8 TFSI,Blue,2013,Kombi,Stoff,6,42535,120,Benzin,manual,6,154,5,3,0,1,7.601013758146271,3.2173787110789283,0.499637943519189,0,55
GH83268,15490.0,August,110.7,1.928,5.7,1.03,DE,0,Kia,cee'd,1.4,Blue,2018,Limousine,Stoff,6,47909,100,Benzin,manual,10,160,5,1,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,0,52
