ID,Department,Region,Education,Gender,Recruitment_Channel,Age,Number_of_Previous_Companies,Years_of_Service
4338,Technology,7,Bachelor's,Male,Other,28,1,5
4515,Analytics,2,Bachelor's,Male,Other,34,1,10
2323,Sales & Marketing,2,Bachelor's,Female,Other,30,3,4
6192,Analytics,29,Bachelor's,Male,Other,25,1,2
7579,Sales & Marketing,3,Bachelor's,Male,Sourcing,26,1,3
7734,Sales & Marketing,2,Master's & above,Male,Sourcing,35,1,2
460,Technology,4,Master's & above,Male,Sourcing,36,1,3
7767,Operations,31,Bachelor's,Male,Other,34,1,9
8201,Sales & Marketing,19,Bachelor's,Male,Sourcing,35,1,4
7364,Operations,14,Bachelor's,Male,Sourcing,30,3,6
7531,Procurement,16,Bachelor's,Female,Sourcing,40,1,10
4926,Operations,27,Master's & above,Male,Other,34,1,6
9615,Sales & Marketing,14,Bachelor's,Male,Other,35,1,3
347,Analytics,25,Bachelor's,Male,Other,31,1,7
8111,Technology,15,Bachelor's,Female,Sourcing,33,1,4
2063,Sales & Marketing,27,Bachelor's,Male,Sourcing,31,1,5
2084,Operations,7,Master's & above,Male,Other,40,1,10
867,Operations,19,Bachelor's,Male,Other,35,1,4
2690,Technology,2,Bachelor's,Female,Sourcing,46,1,6
4193,Analytics,2,Bachelor's,Male,Other,37,1,10
4921,Analytics,15,Bachelor's,Male,Other,33,1,5
2750,Sales & Marketing,23,Bachelor's,Female,Other,28,1,3
3179,Sales & Marketing,16,Bachelor's,Male,Other,42,1,15
8304,Analytics,23,Bachelor's,Male,Other,33,1,5
3908,Sales & Marketing,7,Bachelor's,Male,Other,34,2,10
7795,Operations,8,Bachelor's,Male,Other,28,1,1
7165,Analytics,4,Bachelor's,Male,Sourcing,41,1,3
9656,Sales & Marketing,28,Bachelor's,Female,Sourcing,29,2,7
856,Sales & Marketing,3,Bachelor's,Male,Other,46,1,13
2679,Operations,15,Bachelor's,Male,Other,27,1,4
3066,R&D,26,Bachelor's,Male,Sourcing,36,1,7
8456,Analytics,7,,Male,Other,26,1,3
6202,Technology,15,Master's & above,Male,Other,37,2,10
3986,Sales & Marketing,7,Bachelor's,Male,Other,40,2,6
7786,Sales & Marketing,11,Bachelor's,Male,Other,29,1,1
309,Procurement,27,Bachelor's,Female,Sourcing,33,1,8
9277,Sales & Marketing,7,,Male,Other,30,1,1
2105,Operations,2,Bachelor's,Female,Other,40,1,6
2329,Technology,13,Master's & above,Male,Other,56,1,31
7728,Technology,13,Bachelor's,Male,Referred,31,1,3
7029,Sales & Marketing,23,Bachelor's,Male,Other,31,1,6
4848,Finance,7,Bachelor's,Male,Sourcing,31,1,2
2199,Operations,16,Bachelor's,Male,Sourcing,30,2,5
9417,Technology,29,Bachelor's,Female,Sourcing,33,1,2
5395,Procurement,7,Below Secondary,Male,Other,24,2,2
5881,Legal,26,Bachelor's,Male,Other,29,1,2
4655,Sales & Marketing,31,Bachelor's,Male,Other,25,1,2
5697,Procurement,22,Bachelor's,Male,Sourcing,30,3,4
658,Procurement,8,Master's & above,Female,Sourcing,32,1,8
7680,Operations,31,Bachelor's,Female,Other,37,1,10
3501,Sales & Marketing,22,Bachelor's,Male,Sourcing,23,1,3
1623,Procurement,22,Master's & above,Female,Other,32,1,3
327,Technology,2,Bachelor's,Female,Sourcing,57,1,19
4238,Procurement,2,Master's & above,Male,Other,45,1,15
4039,Sales & Marketing,3,Bachelor's,Male,Other,37,1,5
4521,Technology,16,Bachelor's,Male,Other,33,1,7
7768,Operations,15,Bachelor's,Male,Sourcing,32,1,7
1511,Analytics,22,Bachelor's,Male,Referred,30,1,5
5879,Analytics,2,Bachelor's,Male,Other,44,2,16
6560,Legal,22,Bachelor's,Male,Other,30,2,2
1311,Sales & Marketing,3,Bachelor's,Male,Other,35,1,4
1758,Procurement,31,Bachelor's,Male,Other,27,More than 3,1
2338,Sales & Marketing,1,Bachelor's,Male,Sourcing,34,1,7
7043,Sales & Marketing,2,Bachelor's,Female,Other,43,1,15
2857,Analytics,7,Bachelor's,Male,Other,40,2,6
4567,Operations,17,Bachelor's,Male,Sourcing,34,1,4
7260,Analytics,2,Bachelor's,Male,Other,30,1,2
8441,Finance,22,Bachelor's,Male,Other,34,1,10
2943,Operations,32,Bachelor's,Male,Other,28,1,6
6764,Technology,11,Bachelor's,Female,Sourcing,29,1,8
4915,Operations,32,Bachelor's,Male,Sourcing,37,2,8
2128,Technology,2,Master's & above,Male,Sourcing,56,1,24
4236,Analytics,23,Master's & above,Male,Sourcing,32,1,4
9622,Technology,11,Bachelor's,Female,Other,30,1,2
8474,Operations,22,Master's & above,Female,Sourcing,41,1,5
998,Sales & Marketing,10,Master's & above,Male,Other,39,1,4
1542,Finance,2,Master's & above,Female,Other,35,2,4
9629,Sales & Marketing,4,Bachelor's,Male,Sourcing,32,1,5
3391,Finance,28,Bachelor's,Female,Other,29,1,3
8753,Sales & Marketing,15,Bachelor's,Female,Sourcing,29,1,7
7979,Finance,2,Below Secondary,Male,Other,23,1,2
7841,Operations,21,Bachelor's,Female,Other,47,1,7
9592,Sales & Marketing,10,,Male,Sourcing,28,1,2
5346,Operations,2,Bachelor's,Female,Sourcing,54,1,16
3725,Sales & Marketing,25,,Male,Other,30,1,5
4181,Operations,15,Bachelor's,Male,Other,40,1,5
6728,Technology,7,Master's & above,Male,Other,31,1,10
1671,Finance,2,Bachelor's,Male,Other,31,1,7
8722,Finance,2,Master's & above,Female,Sourcing,33,1,7
3548,Procurement,13,Bachelor's,Male,Sourcing,51,1,18
6481,R&D,15,Master's & above,Male,Other,31,1,2
1236,Technology,2,Bachelor's,Male,Other,36,1,5
2275,Analytics,22,Bachelor's,Male,Other,32,1,6
9195,Sales & Marketing,2,Master's & above,Male,Other,57,1,13
6275,Sales & Marketing,27,Master's & above,Male,Other,32,1,8
4640,Analytics,15,Bachelor's,Male,Sourcing,28,3,5
7828,Sales & Marketing,7,Bachelor's,Male,Sourcing,37,1,2
4319,Operations,15,Master's & above,Male,Other,48,1,16
8309,Technology,27,Bachelor's,Female,Referred,30,1,1
9191,Sales & Marketing,22,Bachelor's,Male,Sourcing,41,2,7
4891,Procurement,2,Master's & above,Male,Sourcing,52,2,22
641,Analytics,2,Master's & above,Male,Sourcing,47,1,18
8004,Operations,9,Bachelor's,Male,Sourcing,30,1,2
799,Finance,26,Bachelor's,Male,Other,25,3,4
3149,Analytics,7,Bachelor's,Male,Sourcing,26,1,4
6967,Sales & Marketing,2,,Male,Other,43,2,7
2170,Operations,27,Bachelor's,Female,Sourcing,37,1,7
2710,Technology,26,Bachelor's,Female,Other,32,1,5
4843,Sales & Marketing,14,Bachelor's,Male,Other,31,2,2
7070,Sales & Marketing,23,Bachelor's,Male,Sourcing,35,1,4
9876,Operations,2,Bachelor's,Female,Other,52,1,8
9295,Sales & Marketing,10,Master's & above,Male,Other,42,1,9
6316,Sales & Marketing,30,Bachelor's,Male,Other,37,1,5
7057,Technology,10,Master's & above,Male,Sourcing,32,1,3
9455,Operations,22,Master's & above,Male,Other,45,1,12
686,HR,27,,Male,Sourcing,28,1,3
8154,Procurement,7,Bachelor's,Male,Other,26,1,3
3046,Finance,2,Bachelor's,Male,Sourcing,30,1,2
3869,Operations,7,Bachelor's,Female,Sourcing,42,1,15
3200,Analytics,2,Bachelor's,Male,Other,31,2,2
5186,Analytics,27,Bachelor's,Male,Sourcing,36,2,3
6224,Operations,2,Master's & above,Male,Other,53,1,13
4672,Sales & Marketing,27,Master's & above,Male,Other,50,2,17
5411,Procurement,22,Bachelor's,Female,Sourcing,30,1,5
5670,Analytics,2,Master's & above,Male,Other,35,1,7
3132,Sales & Marketing,7,,Male,Other,25,1,6
3087,Operations,2,Bachelor's,Male,Other,20,1,2
4371,Operations,2,,Female,Other,33,1,9
5659,Finance,2,Bachelor's,Female,Other,43,1,5
6943,Analytics,22,Bachelor's,Female,Sourcing,27,1,4
570,Operations,14,Master's & above,Female,Sourcing,40,1,6
4918,Sales & Marketing,14,Bachelor's,Malee,Other,42,1,11
6455,Operations,29,Master's & above,Male,Other,34,1,6
2010,Sales & Marketing,7,Bachelor's,Female,Other,25,1,2
712,Finance,26,Bachelor's,Male,Other,25,1,1
4051,Analytics,23,Bachelor's,Male,Other,27,1,3
9712,Finance,20,Master's & above,Male,Other,33,2,5
693,Operations,21,Bachelor's,Male,Other,27,1,4
1672,Procurement,7,Bachelor's,Male,Sourcing,31,1,1
9607,Sales & Marketing,16,Bachelor's,Female,Other,31,1,4
3365,Finance,2,Bachelor's,Female,Other,36,1,10
8393,Procurement,27,Bachelor's,Male,Sourcing,32,1,7
7296,Finance,2,Bachelor's,Female,Other,31,1,5
46,Technology,2,Bachelor's,Female,Sourcing,52,1,23
6952,Analytics,22,Master's & above,Male,Other,50,1,3
7384,Sales & Marketing,5,Bachelor's,Male,Other,28,1,1
4780,Sales & Marketing,14,Bachelor's,Male,Other,41,1,6
4874,Sales & Marketing,15,Bachelor's,Male,Other,49,1,5
5037,Operations,2,Bachelor's,Female,Other,38,1,10
5317,Sales & Marketing,28,Bachelor's,Female,Other,32,1,7
3493,Operations,16,Bachelor's,Female,Other,34,1,9
4625,Sales & Marketing,15,Bachelor's,Male,Sourcing,29,2,2
2224,Sales & Marketing,21,Master's & above,Male,Other,37,1,10
3619,Sales & Marketing,4,Bachelor's,Male,Sourcing,38,1,10
6083,Sales & Marketing,2,Bachelor's,Male,Other,33,1,7
