ID,Rating_2021,Awards_Won_2021,Avg_Training_Score_2021,Was_Promoted_2021,Rating_2022,Awards_Won_2022,Avg_Training_Score_2022,Is_Promoted_2022
4338,4,0,86,0,4,0,63,
4515,5,0,89,1,4,0,57,
2323,3,0,50,0,5,1,54,
6192,3,0,80,0,1,0,52,
7579,4,0,47,0,2,1,52,
7734,1,0,,0,5,0,70,
460,1,0,81,0,2,1,65,
7767,5,0,59,0,4,0,94,
8201,3,0,48,0,3,1,71,
7364,3,0,,0,5,1,70,
7531,1,0,66,0,4,0,100,
4926,3,0,58,0,5,1,59,
9615,3,0,48,0,1,0,84,
347,3,0,87,0,1,0,82,
8111,4,0,81,0,1,0,67,
2063,5,0,50,0,5,0,94,
2084,3,0,60,0,3,0,100,
867,1,0,58,0,1,1,92,
2690,1,0,77,0,2,1,53,
4193,1,0,88,0,3,0,53,
4921,3,0,90,0,4,1,88,
2750,5,0,51,0,5,0,78,
3179,5,0,46,0,3,0,61,
8304,1,0,91,0,3,1,40,
3908,3,0,51,0,4,0,42,
7795,,0,59,0,5,0,80,
7165,4,0,89,0,1,0,99,
9656,3,0,47,0,3,0,92,
856,5,0,53,0,4,1,57,
2679,5,0,62,0,2,1,92,
3066,3,0,86,0,5,0,61,
8456,3,0,83,0,3,1,63,
6202,3,0,83,0,1,1,95,
3986,2,0,50,0,3,1,52,
7786,,0,48,0,2,1,84,
309,1,0,74,0,5,0,76,
9277,,0,49,1,1,0,84,
2105,5,0,62,0,1,0,56,
2329,4,0,78,0,1,1,92,
7728,3,0,80,1,4,1,66,
7029,3,0,,0,5,1,76,
4848,5,0,64,0,4,0,50,
2199,3,0,58,0,3,1,89,
9417,3,0,77,0,4,1,66,
5395,3,0,73,0,1,0,44,
5881,1,0,64,0,2,0,47,
4655,4,0,48,0,2,1,79,
5697,3,0,67,0,2,1,82,
658,5,0,68,1,1,0,46,
7680,4,0,63,0,5,1,70,
3501,3,0,46,0,2,1,66,
1623,2,0,68,0,4,0,87,
327,3,0,81,0,4,0,100,
4238,3,0,70,0,5,0,52,
4039,1,0,51,0,1,0,56,
