dates,cars_sold_de,cars_online,avg_buyprice,bookmarks,opportunity
2021-01-01,6,1182,11382,400,1121
2021-01-02,14,1160,11351,347,1600
2021-01-03,5,1142,11355,461,1450
2021-01-04,26,1132,11428,422,1993
2021-01-05,25,1134,11499,387,1752
2021-01-06,20,1142,11576,590,1496
2021-01-07,20,1132,11617,362,1766
2021-01-08,26,1124,11608,274,1768
2021-01-09,15,1094,11568,421,1634
2021-01-10,5,1080,11530,518,1467
2021-01-11,27,1100,11526,446,1897
2021-01-12,23,1124,11503,419,1646
2021-01-13,29,1131,11559,268,1743
2021-01-14,22,1144,11693,286,1819
2021-01-15,23,1151,11656,350,1621
2021-01-16,13,1130,11669,393,1548
2021-01-17,6,1117,11684,550,1457
2021-01-18,26,1113,11782,392,1883
2021-01-19,27,1120,11791,459,1779
2021-01-20,26,1131,11782,331,1880
2021-01-21,20,1148,11894,340,1780
2021-01-22,13,1169,11851,393,1798
2021-01-23,17,1143,11820,536,1851
2021-01-24,8,1128,11837,517,1460
2021-01-25,21,1122,11888,491,2079
2021-01-26,14,1100,11797,333,1853
2021-01-27,22,1122,11744,351,1834
2021-01-28,27,1148,11810,395,1826
2021-01-29,39,1140,11821,697,1705
2021-01-30,13,1114,11796,506,1624
2021-01-31,15,1090,11759,503,1492
2021-02-01,31,1088,11728,421,2028
2021-02-02,28,1089,11628,430,1801
2021-02-03,25,1112,11612,431,1766
2021-02-04,28,1113,11657,544,1784
2021-02-05,30,1127,11839,453,1694
2021-02-06,16,1104,11843,587,1712
2021-02-07,6,1085,11823,450,1522
2021-02-08,34,1073,11782,540,1957
2021-02-09,30,1063,11817,426,1778
2021-02-10,21,1079,11797,468,1798
2021-02-11,22,1099,11813,346,1892
2021-02-12,21,1114,11759,360,1711
2021-02-13,23,1085,11808,499,1720
2021-02-14,10,1060,11832,568,1475
2021-02-15,26,1057,11831,489,2090
2021-02-16,17,1065,11819,445,1924
2021-02-17,23,1083,11881,458,1802
2021-02-18,20,1102,11948,398,1847
2021-02-19,42,1115,11950,259,1688
2021-02-20,14,1087,11896,400,1707
2021-02-21,12,1063,11911,458,1368
2021-02-22,30,1083,11939,409,2131
2021-02-23,21,1077,12009,441,1983
2021-02-24,33,1068,11968,431,1812
2021-02-25,27,1118,12095,327,1797
2021-02-26,35,1134,12165,411,1674
2021-02-27,20,1103,12220,579,1629
2021-02-28,17,1076,12209,591,1425
2021-03-01,36,1070,12229,454,1874
2021-03-02,30,1087,12211,327,1554
2021-03-03,32,1089,12318,405,1392
2021-03-04,33,1100,12363,542,1323
2021-03-05,22,1111,12399,356,1417
2021-03-06,23,1081,12429,544,1607
2021-03-07,9,1060,12442,627,1482
2021-03-08,30,1013,12482,455,1960
2021-03-09,28,1048,12552,419,1698
2021-03-10,22,1074,12554,360,1634
2021-03-11,26,1103,12695,358,1697
2021-03-12,22,1127,12795,531,1795
2021-03-13,19,1086,12854,688,1663
2021-03-14,10,1058,12879,697,1583
2021-03-15,25,1055,12845,370,2052
2021-03-16,18,1066,12842,549,1732
2021-03-17,36,1084,12891,510,1781
2021-03-18,22,1097,13023,495,1661
2021-03-19,24,1115,13128,382,1623
2021-03-20,14,1092,13132,523,1559
2021-03-21,8,1075,13170,631,1431
2021-03-22,31,1064,13204,408,2048
2021-03-23,20,1083,13190,392,1787
2021-03-24,23,1103,13204,643,1710
2021-03-25,17,1105,13144,507,1509
2021-03-26,23,1136,13227,403,1416
2021-03-27,13,1100,13194,546,1459
2021-03-28,8,1087,13156,479,1262
2021-03-29,18,1087,13317,403,1616
2021-03-30,17,1112,13608,380,1521
2021-03-31,29,1097,13678,501,1421
2021-04-01,16,1104,13792,372,1263
2021-04-02,3,1103,13878,525,1212
2021-04-03,15,1061,13746,395,1171
2021-04-04,5,1044,13796,579,1033
2021-04-05,8,1025,13794,626,1292
2021-04-06,28,1009,13853,646,1696
2021-04-07,24,1029,14042,330,1566
2021-04-08,22,1047,14192,277,1506
2021-04-09,30,1062,14261,364,1499
2021-04-10,19,1035,14290,322,1325
2021-04-11,9,1015,14284,493,1307
