company,frequency,recency,monetary,low_hp,medium_hp,high_hp,sport_car,old_,medium_old,medium_new,new_,low_mileage,medium_low_mileage,medium_high_mileage,high_mileage,less_3k,_3k_6k_,_6k_10k_,_10k_15k_,_15k_,profit_per_car
AUTO-TIM Paweł Pawelec,2,10,4,1,2,0,0,1,1,1,1,0,2,0,1,1,2,0,0,0,-1092.6666666666667
Procarservice,3,3,5,5,0,0,0,0,4,1,0,1,4,0,0,0,4,1,0,0,578.0
ZELARO KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,7,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,340.0
ADCAR Adrian Izak,1,10,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,448.0
VARABIEV MOTORS S.R.L.,1,10,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,764.0
Emil Szmajda,1,7,4,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,331.0
"Autoholding, Inh. Lütfiye Kiremit",2,3,3,3,0,0,0,1,2,0,0,0,0,3,0,2,1,0,0,0,343.6666666666667
"Fame Car, Inh. Fatih Bulut",3,8,4,6,3,0,0,5,4,0,0,1,6,2,0,8,1,0,0,0,177.66666666666666
SARL AZATYAN,7,4,7,16,19,0,0,13,22,0,0,1,25,9,0,33,2,0,0,0,386.8857142857143
"Torsten Kreidel Automobile, Inh. Torsten Kreidel",3,7,5,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,0,0,561.6666666666666
Lauko Trade s.r.o.,1,4,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,652.0
Mercedes-Benz Autohaus Herten GmbH Düren,1,9,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1221.0
"IK-Automobile, Inh. Ihsan Karalioglu",3,7,7,0,8,0,0,0,7,1,0,1,6,1,0,0,1,7,0,0,670.25
BANIX VEICULOS TRANSPORTE SA,1,7,7,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1546.5
"Bose Automobile, Inh. Murat Celtik",1,10,5,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,1,1,463.5
AH Primm GmbH,3,9,3,8,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,249.75
BD Garage s.r.o.,4,7,9,0,10,0,0,0,0,9,2,0,1,8,1,0,0,3,5,2,1257.8
STAR AUTO LEASING S.R.L.,1,9,2,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,286.0
GUILLERMO GARCIA PEÑA,1,9,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,729.0
TATICAS OBVIAS - UNIPESSOAL LDA,1,10,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1000.0
ARTENI AUTO'S L.L.C.,2,7,4,1,3,0,0,0,4,0,0,0,0,2,2,1,2,1,0,0,-231.75
ALEKSANDRA RAK BEST CARS,2,10,3,1,3,0,0,4,0,0,0,0,2,1,1,3,1,0,0,0,347.0
Autokeskus Oy,4,10,10,0,1,6,3,0,0,1,9,10,0,0,0,0,0,0,0,10,1979.8
"Schneider KFZ- und Zubehörhandel, Inh. Daniel Schneider",1,9,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-528.0
KOMPOLAKIS IOANNIS CHARIDIMOS,1,7,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-1706.0
EURL BOURY AUTOS,1,10,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,-7268.0
"AUTA SZCZYTNO-MAZURSKA PUSZCZA S.C. KRZYSZTOF SAWICKI, ŁUKASZ ZIELIŃSKI",1,10,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,300.0
"UAB ""ALTMEDA"" Tadas Kirilevičius",1,8,4,0,2,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,539.0
STANILA CIPRIAN DANIEL ÎNTREPRINDERE INDIVIDUALĂ,2,8,4,1,2,0,0,0,2,1,0,0,1,2,0,1,0,2,0,0,141.66666666666666
CARLOS LONGLE UNIPESSOAL LDA,1,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1366.0
AUTO TAXI IDIOTIKI KEFALAIOYXIKI ETAIREIA || TO TAKSIMETRA EI I K E,1,10,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,321.0
Auto Weller GmbH & Co. KG Münster,1,10,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1538.0
RAD & SIM AUTO-MOTO S.R.L.,3,3,5,2,6,0,0,0,7,1,0,0,1,5,2,2,5,1,0,0,351.125
MS CAR Michał Strynkowski,4,4,6,0,10,0,0,0,7,3,0,1,4,5,0,2,7,1,0,0,569.8
UNIAUTO SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,7,4,9,20,20,0,0,1,15,23,4,1,15,22,2,10,12,11,6,1,1013.275
Euro Car Fleet Korlátolt Felelősségű Társaság,2,7,2,1,2,0,0,2,1,0,0,0,0,0,3,3,0,0,0,0,407.3333333333333
SZÜCS ERNŐ PÉTER E.V.,3,6,2,4,1,0,0,5,0,0,0,0,2,3,0,5,0,0,0,0,31.2
CRS AUTO PROVIDER,1,3,3,0,2,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,878.0
"SIA ""TEAUTO""",5,7,8,0,14,2,0,5,5,6,0,0,0,8,8,5,6,2,3,0,853.0625
LLC WorldAuto,3,3,3,1,3,1,0,3,2,0,0,0,0,3,2,5,0,0,0,0,401.6
FIAN SPRINT AUTO S.R.L.,1,10,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-16.0
ASOMETAL RALCOR S.R.L.,1,7,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,557.0
AUTOCENTAR BAOTIĆ d.o.o.,1,8,7,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,947.5
UAB Marko Kelionės,4,5,7,1,9,2,0,3,8,1,1,0,0,3,9,4,6,1,0,1,521.9166666666666
PRESTIGE CARS ŁUKASZ GLINKOWSKI DOMINIK OLESZCZAK SPÓŁKA CYWILNA,3,1,8,0,8,0,0,0,0,8,0,1,3,4,0,0,0,6,2,0,657.25
"AH-Automobile, Inh. Artak Hakobjan",2,8,8,0,4,0,0,0,1,2,1,1,2,1,0,0,0,1,1,2,2232.5
GROUPE HAMON - ST BRIEUC - MERCEDES,1,10,6,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1627.0
CRISMOTOR COMERCIO DE AUTOMOVEIS LDA,1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,658.0
Lukáš Korpa,1,3,4,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,1,0,606.0
Web car,1,10,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,420.0
Autoscout Yashchuk Vitaliy,1,8,2,0,2,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,246.5
Autowelt Schuler GmbH,8,6,12,9,47,6,3,0,1,42,33,46,18,0,0,0,0,6,23,35,471.875
AZ AUTOMOBILI SRLS,2,9,3,3,1,0,0,1,3,0,0,0,2,1,1,3,1,0,0,0,375.75
A Kedvenc Kereskedésem Kft.,9,7,9,31,45,0,0,23,52,1,0,6,69,1,0,29,46,1,0,0,548.2368421052631
CLASSIC AUTO 24,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,942.0
FIL AUTO DA & ALEX S.R.L.,1,10,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,558.0
Autobedrijf Hoogterp,2,8,8,2,1,1,0,0,0,1,3,4,0,0,0,0,0,0,0,4,1059.25
AUTÓ ROÁR KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,10,3,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,708.0
NITRO AUTO SRL,3,10,6,1,4,0,0,0,2,3,0,1,1,2,1,0,3,1,1,0,316.0
PIN-DUO SRL,2,8,4,0,3,0,0,1,2,0,0,0,0,1,2,1,1,1,0,0,569.0
TECNOAUTO SERVICE S.R.L.,2,7,4,1,2,0,0,2,0,1,0,1,1,1,0,0,2,1,0,0,419.3333333333333
autoDUKLA s.r.o.,2,9,7,0,4,0,0,0,0,4,0,1,3,0,0,0,0,0,2,2,581.5
F.LLI MALACARNE DI MALACARNE LUCIO & C. S.N.C.,3,1,8,4,4,0,0,1,1,5,3,3,5,0,0,0,2,2,3,1,532.375
Rostislav Mikoška,5,1,8,0,16,0,0,6,9,1,0,0,6,10,0,4,7,4,1,0,579.125
MP TRADE Piotr Wójcik,3,8,3,5,3,0,0,6,2,0,0,1,2,4,1,8,0,0,0,0,20.625
FOTOCARS CANNES,6,3,10,2,11,11,6,5,14,9,0,16,12,0,0,0,1,4,10,13,1118.25
"""HonestCars"" Kamil Gajda",3,9,6,0,5,2,0,0,7,0,0,0,4,3,0,0,4,3,0,0,-54.0
ASTRES S.R.L.S.,1,10,5,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,-768.5
ECAR SHOP S.R.L.,1,3,5,1,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,1,923.0
Bogdan Cardos e.U.,1,8,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,191.0
SARL ASA FRANCE DISTRIBUTION,1,10,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1637.0
"Das Bärle Kfz, Inh. Elke Weirauch-Glauben",1,10,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,547.0
Rešer d.o.o.,1,6,4,0,2,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,513.5
Autohaus Igel GmbH & Co. KG,2,10,6,0,3,0,0,0,0,2,3,3,0,0,0,0,0,0,2,1,217.33333333333334
AFOI DOYMANIDI O E||AFOI DOYMANIDI,1,10,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,632.0
REAL BENS AUTO S.R.L.,1,5,3,0,2,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,-319.0
Autohaus Mühlherr Gmbh,1,8,6,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,349.0
Auto Freilinger GmbH,3,8,9,0,5,2,0,0,3,3,2,3,1,3,0,0,0,0,3,4,827.7142857142857
Autoeck-Bünde e.K.,6,1,10,0,12,7,1,1,7,12,2,4,11,5,0,0,1,2,10,7,-216.6
V.O.F. AUTOBEDRIJF KEES VAN EKEREN,1,10,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,663.0
NUOVAUTO S.P.A.,1,10,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,-1618.0
"MFNV - AVALIAÇÃO E MEDIAÇÃO AUTO, LDA",3,9,4,5,0,0,0,2,3,0,0,3,2,0,0,3,2,0,0,0,544.4
"Autohaus Stern, Inh. Abdullah Yildiz",4,6,9,0,5,4,1,0,6,4,0,0,6,4,0,0,0,2,5,3,-93.4
"WK-Automobile, Inh. Waldemar Kubez",4,8,8,2,11,0,0,1,6,6,0,2,5,5,1,0,6,6,1,0,364.38461538461536
Vakgarage WK Auto's,4,8,9,2,12,0,0,0,1,7,9,11,3,0,0,0,0,1,5,8,840.4285714285714
"AUTO Kursun, Inh. Mahmut Kursun",5,7,9,6,10,0,0,0,8,8,1,7,9,0,0,0,5,9,2,0,740.5625
"RADOSŁAW SORBIAN FIRMA USŁUGOWA- HANDLOWA "" RADKO """,4,7,5,1,13,0,0,11,3,0,0,0,0,6,8,14,0,0,0,0,423.14285714285717
"IB AUTOMATI, VL. IVICA BRTAN",2,5,5,1,3,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,683.5
Gute Fahrt Automobile Kassel Inh. S. Mangal,3,3,8,0,5,2,0,5,0,2,0,1,6,0,0,2,1,0,3,1,932.1428571428571
Autobedrijf Nieuwkoop V.O.F.,2,9,6,3,1,0,0,0,0,2,3,3,1,0,0,0,0,2,2,0,513.5
TOP TEAM CONSULTING S.R.L.,1,8,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1106.0
Autohaus ES-CO Motors GmbH,1,10,5,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2140.0
NATALIA SPORT CARS SL,1,9,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,763.0
"NV GARAGE LAMBRECHT, Dominique Lambrecht",4,5,10,0,7,5,1,0,0,3,12,13,0,0,0,0,0,0,0,13,1632.6923076923076
