company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
WEST PARK AUTO Ltd.,1,Small_buyer,1,7,4,0,0,1,0,1,0,0,1,0,0,0,1,1983
Automobile Hamdan UG,3,Small_buyer,2,10,5,1,0,0,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0,0.666666667,0.333333333,876
AutoKultur Kessel GmbH,1,Small_buyer,1,10,3,0,0,1,1,0,0,1,0,0,0,1,0,-624
RN MOTOR SALAMANCA SL,2,Small_buyer,1,7,6,0,0,1,0,1,0,0.5,0.5,0,0,0,1,-1657.5
Kim Ejlertsen Biler ApS,2,Small_buyer,1,9,7,0.5,0,0.5,0,0,1,1,0,0,0,0,1,2630.5
Sefedin Gerxhalija,2,Small_buyer,1,9,5,0,1,0,0,1,0,0,0.5,0.5,0,0.5,0.5,-158.5
"F.W. Kochs, Inh. Franz-Willi Kochs",7,Small_buyer,3,6,7,1,0,0,0.142857143,0.428571429,0.428571429,1,0,0,0.285714286,0.571428571,0.142857143,620.1428571
"Autohaus Lierenfeld, Inh. Artem Bader",84,Top_buyer,9,1,12,0.261904762,0.452380952,0.285714286,0.178571429,0.761904762,0.05952381,0.404761905,0.547619048,0.047619048,0.083333333,0.380952381,0.535714286,1301.690476
PRESTIGE CARS PIOTR RASPOPIN,1,Small_buyer,1,10,2,0,1,0,0,1,0,0,1,0,1,0,0,608
FORD RETHEL,3,Small_buyer,2,8,9,0,0,1,0,0,1,1,0,0,0,0,1,1557
VÉRTES AUTÓÜGYNÖKSÉG KFT.,15,Medium_buyer,5,7,9,1,0,0,0,0.866666667,0.133333333,0.533333333,0.466666667,0,0.133333333,0.6,0.266666667,842
MY NEW CAR,2,Small_buyer,1,6,5,0.5,0.5,0,0,1,0,0.5,0.5,0,0,0.5,0.5,870
Mehmet Can,1,Small_buyer,1,9,2,1,0,0,0,1,0,0,1,0,1,0,0,568
"ArTmz Automobile, Inh. Filiz Tahmaz",10,Small_buyer,4,6,6,0.7,0,0.3,0.3,0.7,0,0.1,0.9,0,0.4,0.6,0,-318.9
AUTOMOBIELBEDRIJF VAN EKRIS MIJDRECHT B.V.,10,Small_buyer,4,7,9,0.8,0.1,0.1,0,0.1,0.9,0.9,0.1,0,0,0,1,1344.9
RENATA ŚLUSARCZYK CARRENA,1,Small_buyer,1,7,3,0,1,0,0,1,0,0,0,1,0,1,0,346
Václav Juhanyák,2,Small_buyer,1,8,3,1,0,0,0.5,0.5,0,0,0,1,1,0,0,545
MASTER FLOWER S.R.L.,1,Small_buyer,1,5,3,0,1,0,0,1,0,0,1,0,0,1,0,356
Jumbo Garage GmbH,1,Small_buyer,1,7,4,1,0,0,1,0,0,0,0,1,0,0,1,512
Dubenko Serhii,19,Medium_buyer,5,4,7,0.894736842,0.105263158,0,0.263157895,0.736842105,0,0,0.578947368,0.421052632,1,0,0,254.7368421
AUTOMECLIS COMERCIO DE AUTOMOVEIS SA,1,Small_buyer,1,10,3,1,0,0,0,0,1,1,0,0,0,1,0,-1350
GUIDOLIN SERVICE CAR SRL,8,Small_buyer,3,6,8,1,0,0,0,0.375,0.625,1,0,0,0.125,0.5,0.375,644.875
AQUITAINE NEGOCE AUTO,5,Small_buyer,3,3,7,0.6,0.2,0.2,0,1,0,0.4,0.6,0,0.2,0.6,0.2,675.2
GRUP SIGMA DOCTOR GSM SRL,1,Small_buyer,1,3,2,0,1,0,1,0,0,0,0,1,1,0,0,281
AGNIESZKA AMBROZIK SKLEP SPOŻYWCZO-PRZEMYSŁOWY,3,Small_buyer,2,9,2,1,0,0,1,0,0,0,0.666666667,0.333333333,1,0,0,273.3333333
SVINARCHUK VIKTOR,2,Small_buyer,1,1,3,1,0,0,0.5,0.5,0,0,0,1,1,0,0,533
MAKHOVSKYI VLADYSLAV,2,Small_buyer,1,8,2,1,0,0,1,0,0,0.5,0.5,0,1,0,0,67.5
