company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
"Deluxe Car, Inh. Emrah Bairam",1,Small_buyer,1,7,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-352.0
autoladen-dresden.de GmbH & Co. KG,35,Medium_buyer,7,3,11,0.2,0.6571428571428571,0.14285714285714285,0.02857142857142857,0.42857142857142855,0.5428571428571428,0.7142857142857143,0.2857142857142857,0.0,0.0,0.17142857142857143,0.8285714285714286,1359.057142857143
B&K GmbH,9,Small_buyer,3,9,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,249.22222222222223
"H&N AUTOMOBILE, Inh. Hüseyin Serbes",9,Small_buyer,3,6,5,0.8888888888888888,0.1111111111111111,0.0,0.7777777777777778,0.2222222222222222,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,560.2222222222222
Bernd Reisinger GmbH & Co. KG,1,Small_buyer,1,10,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,429.0
"SKC Soulutions, Inh. Sebastian Kreßner",1,Small_buyer,1,9,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1016.0
"Autoservice Titz, Inh. Eduard Titz",3,Small_buyer,2,9,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,172.33333333333334
Cristian Scrobotovici,1,Small_buyer,1,9,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,240.0
"Autoholding, Inh. Lütfiye Kiremit",4,Small_buyer,2,1,3,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.75,0.25,1.0,0.0,0.0,358.5
"Fame Car, Inh. Fatih Bulut",10,Small_buyer,4,3,4,1.0,0.0,0.0,0.6,0.4,0.0,0.4,0.6,0.0,1.0,0.0,0.0,240.9
"Torsten Kreidel Automobile, Inh. Torsten Kreidel",5,Small_buyer,3,8,5,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,599.2
Autohaus H. J. Oldenburg Inh. Axel Harms,2,Small_buyer,1,10,3,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,662.5
WADO-Autoservice Floh GmbH & Co. KG,1,Small_buyer,1,10,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1236.0
