id,make,model,hp_cluster,age_cluster,mileage_cluster,sell_price,time_to_sell,ppu_cluster,buyer_id
1246806211,Ford,C-Max,100-150hp,2-4years,20-30k,14300,8-15,0.5-1k,26480
1247038040,Dacia,Duster,100-150hp,8-10years,100k+,6275,0-1,0.5-1k,4475653
1248219274,Mercedes-Benz,SLK-Klasse,150-200hp,15+years,70-80k,6232,0-1,0_0.5k,6214603
1247827769,Hyundai,i40,100-150hp,8-10years,60-70k,8376,0-1,0.5-1k,5825703
1246984409,BMW,X5,200-250hp,15+years,100k+,3800,0-1,0_0.5k,6336190
1248268677,Volkswagen,Golf Plus,100-150hp,10-12years,100k+,3338,0-1,0.5-1k,6406204
1243262022,Audi,A4,100-150hp,8-10years,100k+,10900,0-1,1.5-2k,4749093
1245057763,Ford,Focus,0-100hp,8-10years,100k+,170,0-1,0_0.5k,4270763
1238653280,Opel,Insignia,150-200hp,8-10years,100k+,4516,8-15,0_0.5k,6300819
1245928531,Seat,Ibiza,150-200hp,6-8years,70-80k,11113,+45,0_0.5k,4651843
1247790176,Volkswagen,Golf V,150-200hp,12-15years,100k+,2248,0-1,0.5-1k,5918123
1245892765,Volkswagen,Polo,0-100hp,10-12years,50-60k,8224,8-15,0.5-1k,1570662
1248008036,Mitsubishi,Space,0-100hp,6-8years,70-80k,5048,0-1,0.5-1k,1578542
1246388831,Mercedes-Benz,A-Klasse,100-150hp,15+years,100k+,825,2-4,0_0.5k,6376463
1239523075,Porsche,718 Cayman,300+hp,4-6years,50-60k,56000,0-1,1.5-2k,260081
1247922105,Alpina,B3,300+hp,8-10years,100k+,10261,0-1,0.5-1k,6282294
1246157289,Renault,Grand Scenic,100-150hp,4-6years,60-70k,14092,4-8,0.5-1k,41449
1246729765,Chrysler,Voyager,150-200hp,12-15years,100k+,3869,0-1,0.5-1k,4951593
1246092025,Suzuki,SX4,100-150hp,15+years,100k+,1866,0-1,0.5-1k,6172681
1246947910,Mitsubishi,Colt,0-100hp,15+years,100k+,805,8-15,0_0.5k,130316
1247529515,Ford,Fiesta,0-100hp,8-10years,100k+,3926,0-1,0_0.5k,44239
1248417490,Mitsubishi,L 200,100-150hp,15+years,100k+,5129,0-1,0.5-1k,511851
1246507266,Renault,Megane,100-150hp,12-15years,100k+,612,4-8,0_0.5k,6040993
1241620485,Hyundai,i30,0-100hp,8-10years,80-90k,6625,0-1,0.5-1k,5825703
1241698248,MINI,Clubman,150-200hp,8-10years,100k+,6005,+45,<-1k,3960703
1245286961,Volkswagen,Tiguan,100-150hp,8-10years,100k+,8596,8-15,0.5-1k,1978861
1246549924,Peugeot,508,200-250hp,10-12years,90-100k,7058,2-4,0.5-1k,127271
1247588672,Audi,Q8,250-300hp,2-4years,40-50k,68448,4-8,1.5-2k,19949
1248213289,BMW,X5,250-300hp,4-6years,90-100k,35226,0-1,1-1.5k,32671
1232534532,Ford,Galaxy,200-250hp,10-12years,100k+,6148,4-8,0.5-1k,459321
1245488563,Volkswagen,T5 Caravelle,100-150hp,10-12years,100k+,15445,15-30,0.5-1k,854
1246860126,Skoda,Citigo,0-100hp,8-10years,70-80k,4924,4-8,0_0.5k,187
1247648540,Ford,Focus,0-100hp,10-12years,100k+,2949,8-15,0_0.5k,4329793
1246826060,Volvo,V 60,200-250hp,10-12years,100k+,6638,2-4,0_0.5k,6430058
1241467377,Audi,S3,250-300hp,8-10years,70-80k,24136,0-1,2k+,1850892
1244769224,Renault,Megane,100-150hp,6-8years,100k+,5514,0-1,1-1.5k,1568192
1244712757,Volkswagen,Touran,150-200hp,4-6years,80-90k,24890,30-45,1.5-2k,26748
1246840118,BMW,3er,100-150hp,15+years,100k+,1251,0-1,0_0.5k,6234007
1247003765,Mercedes-Benz,GLC-Klasse,200-250hp,2-4years,20-30k,29850,0-1,1-1.5k,18891
1247994376,Mercedes-Benz,E-Klasse,200-250hp,15+years,100k+,1480,0-1,0_0.5k,2481183
1240464175,Mercedes-Benz,GLA-Klasse,150-200hp,6-8years,100k+,13250,+45,<-1k,6323601
1247412350,Mercedes-Benz,Vaneo,0-100hp,15+years,100k+,2101,2-4,0_0.5k,1537502
1246764154,Volkswagen,Golf VII,100-150hp,4-6years,60-70k,14704,8-15,1-1.5k,165431
