company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
Weidendorfer Automobile GmbH,2,Small_buyer,1,9,6,157,2016,65264,24518,0,50,50,100,0,0,-250
MJC - AUTOMÓVEIS LDA,1,Small_buyer,1,10,2,110,2007,196805,2490,0,0,100,100,0,0,512
"PIERÓG TOMASZ P.U.H. ""TOMEX"" AUTO-HANDEL",20,Medium_buyer,6,5,6,116,2005,204002,2039,0,10,90,25,75,0,449
""" FIN CARS ""EOOD",1,Small_buyer,1,9,2,102,2009,237422,4235,0,0,100,0,100,0,-319
WebAutoBid s.r.o.,1,Small_buyer,1,9,3,110,2017,203937,5401,0,0,100,100,0,0,288
CAR FLORI- COMERCIO DE AUTOMOVEIS NOVOS E USADOS LDA,6,Small_buyer,3,8,4,125,2006,215711,1979,0,0,100,66,33,0,451
Lukáš Věříš,16,Medium_buyer,5,8,6,93,2007,179694,2496,0,0,100,37,62,0,418
TSIODRAS PANAG ATHANASIOS,1,Small_buyer,1,9,2,60,2016,109472,4894,0,0,100,0,100,0,1124
VRUBLEVYCH IVAN IVANOVYCH,1,Small_buyer,1,10,2,160,2011,318512,2250,0,100,0,100,0,0,247
H&C AUTO,2,Small_buyer,1,7,3,156,2010,134010,3955,0,0,100,50,50,0,-41
MPATAS PANAG ANASTASIOS,10,Small_buyer,4,1,7,90,2014,78383,6273,10,0,90,0,100,0,756
ASC Dessau GmbH,1,Small_buyer,1,10,3,110,2015,86064,8700,0,0,100,0,100,0,812
COLOMBARA FABIO,1,Small_buyer,1,10,2,70,2010,163549,1408,0,0,100,0,100,0,412
PACO BRAVO AUTOMOCION SLL,1,Small_buyer,1,10,3,90,2014,106551,9160,0,0,100,100,0,0,908
SAS POMPOM VEHICULE,1,Small_buyer,1,6,3,163,2002,78097,5300,0,100,0,0,100,0,313
MCM COOL AUTO S.R.L.,2,Small_buyer,1,7,3,139,2003,183787,3369,0,50,50,50,50,0,563
"HS Autohändler, Inh. Haji Al Omar",5,Small_buyer,3,6,5,100,2009,117012,4441,40,0,60,20,80,0,818
BC LINE,3,Small_buyer,2,8,9,403,2018,49755,45301,33,66,0,0,100,0,2048
CLS Autos 44,5,Small_buyer,3,8,9,326,2017,52652,35133,80,20,0,0,100,0,1319
LCH EXPERT SVS SRL,4,Small_buyer,2,8,6,151,2013,205467,9487,25,0,75,50,50,0,1303
GROUPE MARY - MARY AUTOMOBILES - LISIEUX - PEUGEOT,1,Small_buyer,1,10,4,130,2018,81434,16529,0,0,100,0,100,0,814
Pro Cars e.U.,2,Small_buyer,1,9,5,212,2015,133764,14507,50,50,0,50,50,0,-174
UAB ERVITRANS,3,Small_buyer,2,1,7,213,2017,143449,22016,0,66,33,100,0,0,861
"A3 Bus & Nutzfahrzeughandel, Inh. Muhamed Bastürk",5,Small_buyer,3,4,5,112,2009,168833,4712,0,20,80,100,0,0,604
AUTOHAUS ORNIG GMBH. & CO.KG,1,Small_buyer,1,9,5,212,2019,121323,31930,0,100,0,100,0,0,930
GARAGE JAROUSSAT,1,Small_buyer,1,10,2,100,2011,35345,3357,0,0,100,0,100,0,-140
Sławomir Gwiżdż CARS - TRANS. Mała Gastronomia,1,Small_buyer,1,9,3,190,2011,136588,6277,0,0,100,0,100,0,300
KĘSTUTIS ADOMAITIS,1,Small_buyer,1,9,2,130,2002,222110,2961,0,0,100,100,0,0,601
GARDENCAR - COMÉRCIO DE AUTOMÓVEIS UNIPESSOAL LDA,3,Small_buyer,2,8,7,128,2017,61190,19525,0,66,33,33,33,33,234
EBVBA GARAGE TRADING,4,Small_buyer,2,9,7,183,2017,41959,17677,0,0,100,0,100,0,1058
BULKAR PETKOV EOOD,1,Small_buyer,1,7,2,170,2008,346998,3558,0,100,0,100,0,0,277
REVEN NASTJA - CENTER VOZIL d.o.o.,1,Small_buyer,1,7,4,160,2018,131569,15600,100,0,0,100,0,0,551
Mercedes-Benz Theo Bähr GmbH,2,Small_buyer,1,10,7,170,2019,35207,27429,100,0,0,100,0,0,524
H3 meine Autowerkstatt GmbH & Co. KG,4,Small_buyer,2,4,6,133,2015,116423,11525,75,25,0,75,25,0,845
Fuglholt Biler ApS,1,Small_buyer,1,10,7,345,2022,18203,60000,0,100,0,0,0,100,1899
Trust Dearl Motors,4,Small_buyer,2,7,7,164,2016,114537,14844,25,25,50,25,75,0,983
Autohaus Graser GmbH,1,Small_buyer,1,9,5,192,2017,67836,20910,0,100,0,0,100,0,1496
Ernst Dello GmbH & Co. KG - Lübeck,16,Medium_buyer,5,8,10,134,2017,40600,15655,12,62,25,12,87,0,788
""" FL & ET Group "" SH.P.K.",3,Small_buyer,2,3,6,189,2014,218432,14947,100,0,0,100,0,0,1476
"Rheingau Cars, Inh. Hüsnü Tekeli",3,Small_buyer,2,7,9,346,2018,65367,57749,0,100,0,66,0,33,2348
HJM Mulder Auto's,9,Small_buyer,3,7,8,135,2014,84531,10993,0,0,100,0,100,0,982
