company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
TAKAKIS GEORGIOS BASILEOS,3,Small_buyer,2,7,4,72,2012,117805,3728,0,0,100,0,100,0,750
JUHÁSZ PÉTER JÁNOS  E.V.,2,Small_buyer,1,10,3,144,2007,195851,3330,0,0,100,0,100,0,750
Auto Line SH.P.K.,11,Small_buyer,4,2,7,117,2013,226421,5734,45,0,54,100,0,0,750
VRANIČAR d.o.o.,2,Small_buyer,1,4,7,135,2021,13170,26912,0,0,100,100,0,0,750
Autoservice Huisman,3,Small_buyer,2,4,6,216,2011,136001,11973,33,66,0,0,100,0,750
Auto Horn e.K.,10,Small_buyer,4,5,8,110,2012,89454,8159,10,0,90,0,100,0,750
DANDY CAR DI ALOISI GIANLUCA,1,Small_buyer,1,9,4,150,2019,174588,15842,0,0,100,100,0,0,375
KFZ - Schmied GmbH,14,Small_buyer,4,7,9,105,2018,55499,11096,7,7,85,14,57,28,1250
SAŠAPROMET vl. Saša Kireta,13,Small_buyer,4,2,7,137,2012,191835,5417,0,15,84,100,0,0,750
Autohaus Thun-Nord AG Steffisburg,1,Small_buyer,1,10,4,95,2021,11774,14401,0,0,100,0,100,0,1250
GS-AUTOMOBILE OÜ,2,Small_buyer,1,1,8,294,2019,45310,42700,0,100,0,0,50,50,1250
DOLISS 2008 EOOD,3,Small_buyer,2,7,4,141,2015,260626,6130,0,0,100,100,0,0,375
"DriveMe Car Sales, Inh. Semir Pepic",3,Small_buyer,2,10,9,263,2016,99452,36340,33,66,0,66,33,0,750
SERENITY CARS,4,Small_buyer,2,8,6,171,2009,80280,9749,0,25,75,25,75,0,-375
AUTOLUX SERVICES,13,Small_buyer,4,6,7,134,2012,197505,4880,7,7,84,92,7,0,750
MIGUEL GUILLEN LOPEZ,1,Small_buyer,1,10,4,150,2017,135669,11271,0,0,100,100,0,0,750
AC LOKA Samir Džaferović s.p,3,Small_buyer,2,6,5,135,2013,236761,7982,66,0,33,100,0,0,750
Kris Geudens,6,Small_buyer,3,7,6,98,2014,92667,8324,0,0,100,0,100,0,375
WS AUTO SAS,5,Small_buyer,3,6,3,120,2003,184234,1135,0,20,80,0,100,0,125
Mehmet Danaj,1,Small_buyer,1,10,3,102,2011,282099,5118,0,0,100,100,0,0,750
BCP GmbH,4,Small_buyer,2,7,2,126,2000,199255,1023,0,25,75,0,100,0,125
Rinta-Joupin Autoliike Oy,23,Medium_buyer,6,10,11,281,2019,40473,40751,13,86,0,0,0,100,1500
ALEXANDRE JEAN FRANCOIS,1,Small_buyer,1,7,2,80,2006,128287,1134,0,0,100,0,100,0,125
Autohandel Cemal Ferhat Eser,28,Medium_buyer,6,5,12,340,2014,72344,47842,7,82,10,35,57,7,1500
Garage Zenoni,5,Small_buyer,3,6,6,123,2011,104421,8372,0,20,80,40,60,0,375
"Auto in Leipzig, Inh. Ioannis Vomvylas",76,Top_buyer,9,3,12,143,2016,52129,19228,25,27,47,48,51,0,1250
"JAFA auto, s.r.o.",36,Medium_buyer,7,1,10,149,2013,158849,10168,30,2,66,88,11,0,750
AUTO-BEKS d.o.o.,4,Small_buyer,2,9,4,90,2009,194741,3135,0,0,100,75,25,0,375
SAR SARL,3,Small_buyer,2,9,6,206,2014,124734,15056,0,33,66,100,0,0,750
FIRMA USŁUGOWO - HANDLOWA ANDRZEJ KACPRZYCKI,1,Small_buyer,1,10,2,80,2008,160269,1289,0,0,100,0,100,0,125
Babarczy-Car Kft.,7,Small_buyer,3,8,6,92,2012,115785,5839,0,14,85,0,85,14,750
salesucces,1,Small_buyer,1,10,2,100,2010,128060,4318,0,0,100,0,100,0,750
"Gala Automobile, Inh. Talip Turgut",20,Medium_buyer,6,1,7,94,2008,149584,2524,30,5,65,35,65,0,125
Suple Shop Łętowski Krystian,8,Small_buyer,3,10,3,136,2006,254698,1239,0,25,75,12,87,0,375
"Auto Neubert, Inh. Thomas Neubert",35,Medium_buyer,7,3,9,102,2010,80836,4904,0,8,91,8,85,5,750
"XandiAutomobile, Inh. Alexander Wolf",3,Small_buyer,2,7,2,83,2005,177901,1103,0,0,100,0,100,0,375
Jeepservice BV,6,Small_buyer,3,5,10,237,2018,32809,42614,0,100,0,50,50,0,1500
MANTENIMIENTO TERRA Y JARDIN SLU,1,Small_buyer,1,5,2,147,2012,173462,4947,0,0,100,100,0,0,750
BUCCHERI ANNA MARIA,2,Small_buyer,1,9,2,57,2007,159440,1048,0,0,100,0,100,0,375
GASPEN CZ s.r.o.,18,Medium_buyer,5,4,8,132,2009,196982,4667,16,0,83,38,61,0,750
"Kfz Handel Ibic, Inh. Ivica Ibic",7,Small_buyer,3,8,6,179,2010,219140,5272,0,28,71,71,28,0,375
TKC-Styling Oy,5,Small_buyer,3,1,8,266,2014,137509,19542,20,80,0,40,40,20,750
AUTO STAINER SH.P.K,1,Small_buyer,1,8,3,115,2011,232115,5838,0,100,0,100,0,0,750
Jiří Bouchner,1,Small_buyer,1,10,3,200,2008,180546,6650,100,0,0,0,100,0,375
The Car House B.V.,2,Small_buyer,1,10,7,236,2017,60297,27473,50,0,50,0,100,0,1250
"Auto Krücken, Inh. Petra Krücken",2,Small_buyer,1,6,4,70,2018,41453,6050,0,0,100,0,100,0,750
Provenzale Motor Village - Societa' A Responsabilita' Limitata Se Mplificata,2,Small_buyer,1,10,2,61,2009,184461,992,0,0,100,0,100,0,375
Michal Odehnal,1,Small_buyer,1,10,2,218,2003,206362,2282,0,100,0,0,100,0,125
SAS AS MOTORS,18,Medium_buyer,5,3,9,151,2009,123260,6765,0,27,72,5,94,0,750
"Americar, Inh. Michael Zeidler",4,Small_buyer,2,7,4,157,2008,122723,3721,0,0,100,25,75,0,375
GOLD SERVICE Arkadiusz Zadrożny,4,Small_buyer,2,9,5,121,2011,193417,6659,0,50,50,50,0,50,750
BOGÁT-CAR Kft.,1,Small_buyer,1,8,4,132,2018,57394,15344,0,0,100,0,100,0,750
"Giebler's Autowelt, Inh. Tobias Giebler",3,Small_buyer,2,8,4,91,2007,92942,3616,0,0,100,0,100,0,-125
AUTO SALLON AGONI SH.P.K.,2,Small_buyer,1,8,4,140,2013,249859,8001,50,50,0,100,0,0,750
Xhevat Shehaj,1,Small_buyer,1,8,2,105,2005,201892,2050,0,0,100,100,0,0,750
MB MOTO s. r. o.,1,Small_buyer,1,5,2,115,2009,129335,4977,0,0,100,0,100,0,375
COMPOSCAR SC,5,Small_buyer,3,2,7,113,2015,114731,11292,0,20,80,60,40,0,750
AUTO OSKAR KAMILA TOMASIK,3,Small_buyer,2,9,6,158,2016,138561,13014,0,0,100,100,0,0,375
ALEJANDRO ELBAL SEGURA,3,Small_buyer,2,8,5,174,2010,263692,8371,0,33,66,100,0,0,750
AIS Dresden GmbH,3,Small_buyer,2,6,7,108,2018,33111,19875,0,66,33,33,33,33,750
KURMAN VADYM OLEKSANDROVYCH,40,Medium_buyer,7,1,9,109,2009,236980,3246,2,5,92,27,67,5,750
MICHAŁ KONDRATOWICZ,7,Small_buyer,3,1,3,139,2000,238792,966,0,57,42,28,71,0,375
JULIEN FOURNIE (GARAGE FOURNIE),1,Small_buyer,1,10,5,102,2017,87130,25521,0,0,100,100,0,0,750
F.H.U Avant Import-Export,4,Small_buyer,2,7,2,148,2005,174528,1172,0,0,100,25,75,0,-125
Intersari SPRL,5,Small_buyer,3,3,3,138,2005,153060,1970,0,0,100,0,100,0,375
BND UNLIMITED ENGINEERING SL,1,Small_buyer,1,9,4,265,2016,106498,15550,0,0,100,0,100,0,375
Next-level,2,Small_buyer,1,10,2,67,2006,183827,1080,0,0,100,0,100,0,375
SONERS AUTO EOOD,5,Small_buyer,3,5,5,110,2018,38453,6814,0,60,40,0,100,0,375
Vergin Colour Technology UG (haftungsbeschränkt),1,Small_buyer,1,1,3,160,2010,123627,5151,0,0,100,0,100,0,750
"Rheingau Cars, Inh. Hüsnü Tekeli",3,Small_buyer,2,7,9,346,2018,65367,57749,0,100,0,66,0,33,1500
HJM Mulder Auto's,9,Small_buyer,3,7,8,135,2014,84531,10993,0,0,100,0,100,0,750
"Automobile Benzstraße, Inh. Kudret Comak",11,Small_buyer,4,7,6,82,2008,117610,3197,36,18,45,0,100,0,750
GSI SRL,1,Small_buyer,1,6,2,170,2006,163789,2700,0,0,100,0,100,0,750
SPRL V.I.P. SYSTEM,3,Small_buyer,2,10,4,102,2010,104992,4785,0,0,100,0,100,0,125
Petr Bošek,5,Small_buyer,3,6,3,76,2008,232402,1113,0,0,100,0,100,0,375
