company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
ŻAK MICHAŁ FIRMA USŁUGOWO-HANDLOWA,1,Small_buyer,1,10,2,140,2008,192283,3494,0,0,1,1,0,0,595
GARAGE CORSELIS,1,Small_buyer,1,10,3,100,2018,24524,9703,0,0,1,1,0,0,403
"Daniel Neuberger Einzelunternehmen, Inh. Daniel Neuberger",2,Small_buyer,1,7,4,160,2010,121212,8139,0,0,1,0.5,0.5,0,861.5
Sami Benkhaled,13,Small_buyer,4,5,9,159,2011,160316,7956,0.076923077,0.384615385,0.538461538,0.538461538,0.461538462,0,422.6923077
Autohaus Lackmann GmbH,7,Small_buyer,3,9,8,72,2019,21243,11466,0,0.142857143,0.857142857,0,0.857142857,0.142857143,1029.142857
GROUPE SDA - SDA,10,Small_buyer,4,9,9,168,2014,60586,14917,0,0.2,0.8,0.2,0.8,0,59.4
MICHAŁ KONDRATOWICZ,7,Small_buyer,3,1,3,139,2000,238792,966,0,0.571428571,0.428571429,0.285714286,0.714285714,0,348.1428571
JULIEN FOURNIE (GARAGE FOURNIE),1,Small_buyer,1,10,5,102,2017,87130,25521,0,0,1,1,0,0,521
GEORGANTZIDIS GEORGIOS KONSTANTINOS CARSITE,5,Small_buyer,3,8,5,86,2013,182593,4193,0,0,1,0.4,0.6,0,758.8
"Avtoline RV, prodaja rabljenih vozil, d.o.o.",1,Small_buyer,1,10,5,150,2018,105899,22897,0,0,1,1,0,0,497
SHOPPING CAR S.R.L.,8,Small_buyer,3,7,7,78,2012,46741,8430,0.25,0.125,0.625,0,1,0,766.375
SAVAUTOS,1,Small_buyer,1,8,4,115,2018,17617,12323,0,0,1,0,1,0,1571
UAB Narbona,2,Small_buyer,1,9,3,151,2008,260380,4061,0,0.5,0.5,1,0,0,280.5
"AUTO HANDEL ""DUET"" Magdalena Paurowska",5,Small_buyer,3,7,6,110,2012,159743,7176,0,0,1,0.6,0.4,0,634
Nice Cars e.K.,7,Small_buyer,3,2,9,277,2013,146043,30552,0.285714286,0.428571429,0.285714286,0.714285714,0.285714286,0,2216.142857
MMR COMERCIO DE AUTOMOVEIS UNIPESSOAL LDA,8,Small_buyer,3,3,7,100,2016,89397,9365,0,0,1,0,1,0,507.5
Jeepservice BV,6,Small_buyer,3,5,10,237,2018,32809,42614,0,1,0,0.5,0.5,0,2193.5
MANTENIMIENTO TERRA Y JARDIN SLU,1,Small_buyer,1,5,2,147,2012,173462,4947,0,0,1,1,0,0,693
BUCCHERI ANNA MARIA,2,Small_buyer,1,9,2,57,2007,159440,1048,0,0,1,0,1,0,390.5
GASPEN CZ s.r.o.,18,Medium_buyer,5,4,8,132,2009,196982,4667,0.166666667,0,0.833333333,0.388888889,0.611111111,0,623.1666667
"Kfz Handel Ibic, Inh. Ivica Ibic",7,Small_buyer,3,8,6,179,2010,219140,5272,0,0.285714286,0.714285714,0.714285714,0.285714286,0,347.8571429
TKC-Styling Oy,5,Small_buyer,3,1,8,266,2014,137509,19542,0.2,0.8,0,0.4,0.4,0.2,657
AUTO STAINER SH.P.K,1,Small_buyer,1,8,3,115,2011,232115,5838,0,1,0,1,0,0,713
Jiří Bouchner,1,Small_buyer,1,10,3,200,2008,180546,6650,1,0,0,0,1,0,341
The Car House B.V.,2,Small_buyer,1,10,7,236,2017,60297,27473,0.5,0,0.5,0,1,0,1028.5
AUTO-BEKS d.o.o.,4,Small_buyer,2,9,4,90,2009,194741,3135,0,0,1,0.75,0.25,0,301.5
SAR SARL,3,Small_buyer,2,9,6,206,2014,124734,15056,0,0.333333333,0.666666667,1,0,0,632.3333333
FIRMA USŁUGOWO - HANDLOWA ANDRZEJ KACPRZYCKI,1,Small_buyer,1,10,2,80,2008,160269,1289,0,0,1,0,1,0,186
