company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
"DIEBO-TEILE OFF ROAD, Inh. Jürgen Bodenheimer",1,Small_buyer,1,4,1,65,2005,125187,690,0,0,100,0,100,0,250
"Moussali Automobile, Inh. Jasmin El Moussali",12,Small_buyer,4,7,4,123,2001,210625,1081,0,41,58,8,91,0,250
B&L Service UG,1,Small_buyer,1,10,1,75,2000,113094,671,0,0,100,0,100,0,250
Autowelt Melle GbR,10,Small_buyer,4,2,7,126,2013,117973,6347,10,0,90,20,80,0,250
"Autopark Misburg, Inh. Abdul Waheed Faizi",39,Medium_buyer,7,4,8,129,2006,132978,2521,2,20,76,28,71,0,250
"Ten Points Automobile, Inh. Ayhan Altug",9,Small_buyer,3,4,10,200,2017,106513,48676,0,100,0,100,0,0,1000
Krieger Automobile GmbH,1,Small_buyer,1,10,5,180,2016,75651,22876,100,0,0,0,100,0,1000
"Düs Automobile, Inh. Turan Düs",8,Small_buyer,3,7,5,114,2008,149220,3144,0,0,100,37,62,0,250
"ProSmart, Inh. Faisal Ataye",4,Small_buyer,2,7,5,78,2012,86468,5605,100,0,0,0,100,0,750
Auto Kraus Gmbh,7,Small_buyer,3,6,9,154,2019,30703,18718,42,0,57,0,85,14,1000
Autohaus Rudloff & Günster e.K.,2,Small_buyer,1,10,5,128,2018,38343,17228,0,100,0,50,50,0,-1000
Autohaus Piahowiak GmbH & Co. KG,3,Small_buyer,2,7,7,135,2020,12479,22972,0,66,33,66,33,0,-250
ABE Motorradzubehör GmbH,8,Small_buyer,3,8,7,88,2009,65695,6555,0,0,100,12,87,0,750
Freyer Automobile GbR,39,Medium_buyer,7,3,9,113,2013,94016,6204,5,7,87,41,56,2,250
"Hatzfelder Kfz-Handel, Inh. Uwe Broel",4,Small_buyer,2,3,7,127,2017,79854,17596,25,0,75,75,25,0,750
"Altergott Automobile, Inh. Alexander Altergott",12,Small_buyer,4,7,9,194,2017,186581,19458,41,58,0,100,0,0,750
Burak Yilmaz,3,Small_buyer,2,9,3,84,2004,82852,2427,0,33,66,0,100,0,750
Vibe Taxi und Mietwagen GmbH,1,Small_buyer,1,6,1,65,2003,206217,337,0,0,100,0,100,0,250
"Kfz-Seel, Inh. Patrick Seel",2,Small_buyer,1,10,4,205,2009,233055,7870,50,0,50,100,0,0,750
GIA Target GmbH,1,Small_buyer,1,10,3,245,2011,269407,5381,0,100,0,100,0,0,-250
"TM Automobile, Inh. Tobias Mehner",5,Small_buyer,3,10,6,173,2008,143634,7213,0,40,60,40,60,0,250
"JCAR Autolackiererei, Inh. Juri Korn",8,Small_buyer,3,8,6,135,2013,133058,6158,0,12,87,50,50,0,250
Mobile IMP-EX I.M. e.K.,45,Medium_buyer,8,1,10,163,2013,293009,9154,22,31,46,93,2,4,750
Schafiq Atahie,2,Small_buyer,1,9,3,91,2007,153252,2589,0,100,0,0,100,0,250
Auto Stumpfl GmbH,3,Small_buyer,2,9,5,157,2009,97991,8588,0,33,66,0,100,0,750
"S&H Autowelt, Inh. Sonja Jansen",14,Small_buyer,4,3,4,102,1999,92015,1374,0,57,42,7,92,0,250
"Carport 01, Inh. Ertugul Kilincer",2,Small_buyer,1,10,3,163,2007,120566,3495,0,50,50,0,100,0,750
"Autohaus am Schönbuch, Inh. Tayfun Topoglu",6,Small_buyer,3,6,5,129,1998,87050,3387,0,16,83,0,100,0,750
"C.K. Kraftfahrzeughandel, Inh. Carsten Kratzin",3,Small_buyer,2,6,6,121,2018,47422,15033,33,0,66,33,66,0,750
Automobile Riedmiller OHG,1,Small_buyer,1,8,4,305,2008,136008,11001,0,0,100,0,100,0,750
"Motorrad und Autodienst Blumenthal, Inh. Andreas Blumenthal",2,Small_buyer,1,8,2,87,2003,192421,1122,0,0,100,50,50,0,250
"I.Bodenhausen - Automobile - Nutzfahrzeuge, Inh. Igor Alfred Bodenhausen",6,Small_buyer,3,7,7,114,2006,155805,10361,0,0,100,83,16,0,750
Motor Center Heinen GmbH,28,Medium_buyer,6,7,11,143,2019,28527,20430,14,32,53,3,92,3,750
Ostzweiräder by wischers motoshop e.K.,1,Small_buyer,1,7,1,102,1994,284441,950,0,0,100,0,100,0,250
"K-Max Automobile, Inh. Maxwell Kosanke",5,Small_buyer,3,7,4,165,1996,133511,2759,0,40,60,20,80,0,250
Auto-Haus Afraschteh GmbH,1,Small_buyer,1,7,5,122,2011,148106,25689,0,0,100,100,0,0,1000
SchwedenGarage GmbH,6,Small_buyer,3,8,6,112,2013,109231,7852,0,33,66,50,50,0,750
Bobrink GmbH - Remarketing,1,Small_buyer,1,10,5,102,2021,10018,33648,0,100,0,0,0,100,1000
"KFZ Service Katzer, Inh. Thomas Katzer",1,Small_buyer,1,9,3,75,2011,181416,6426,0,0,100,100,0,0,750
"Easy Automobile, Inh. Alessandra D'Amico",1,Small_buyer,1,1,2,105,2007,179572,2735,100,0,0,100,0,0,250
