dates,sales,unique_buyers
2024-05-26,43,39
2024-05-25,547,447
2024-05-24,627,521
2024-05-23,664,549
2024-05-22,689,535
2024-05-21,525,419
2024-05-20,384,320
2024-05-19,33,28
2024-05-18,644,501
2024-05-17,727,587
2024-05-16,661,531
2024-05-15,671,544
2024-05-14,691,551
2024-05-13,523,414
2024-05-12,35,31
2024-05-11,539,434
2024-05-10,445,378
2024-05-09,495,397
2024-05-08,607,484
2024-05-07,666,528
2024-05-06,580,463
2024-05-05,20,19
2024-05-04,510,403
2024-05-03,598,480
2024-05-02,475,388
2024-05-01,474,372
2024-04-30,665,499
2024-04-29,589,475
2024-04-28,46,42
2024-04-27,557,445
2024-04-26,643,507
2024-04-25,664,534
2024-04-24,634,507
2024-04-23,754,593
2024-04-22,628,483
2024-04-21,41,38
2024-04-20,655,513
2024-04-19,648,533
2024-04-18,705,566
2024-04-17,689,538
2024-04-16,715,532
2024-04-15,575,466
2024-04-14,41,38
2024-04-13,620,468
2024-04-12,643,513
2024-04-11,660,507
2024-04-10,645,518
2024-04-09,669,511
2024-04-08,537,442
2024-04-07,41,37
2024-04-06,550,422
2024-04-05,611,502
2024-04-04,670,491
2024-04-03,567,444
2024-04-02,391,329
2024-04-01,283,243
2024-03-31,20,17
2024-03-30,386,321
2024-03-29,718,562
2024-03-28,510,405
2024-03-27,682,539
2024-03-26,652,516
2024-03-25,592,427
2024-03-24,53,48
2024-03-23,647,466
2024-03-22,627,490
2024-03-21,628,485
2024-03-20,600,483
2024-03-19,671,519
2024-03-18,571,452
2024-03-17,30,24
2024-03-16,561,439
2024-03-15,595,492
2024-03-14,590,477
2024-03-13,627,510
2024-03-12,635,512
2024-03-11,564,460
2024-03-10,30,28
2024-03-09,583,427
2024-03-08,588,486
2024-03-07,644,510
2024-03-06,619,507
2024-03-05,652,525
2024-03-04,535,450
2024-03-03,31,26
2024-03-02,586,448
2024-03-01,722,569
2024-02-29,625,493
2024-02-28,621,510
2024-02-27,678,547
2024-02-26,619,482
2024-02-25,51,36
2024-02-24,611,477
2024-02-23,710,550
2024-02-22,692,539
2024-02-21,687,537
2024-02-20,701,537
2024-02-19,575,462
2024-02-18,33,28
2024-02-17,627,467
2024-02-16,642,492
2024-02-15,576,479
2024-02-14,581,463
2024-02-13,688,532
2024-02-12,558,459
2024-02-11,38,34
2024-02-10,597,469
2024-02-09,622,504
2024-02-08,625,508
2024-02-07,600,476
2024-02-06,625,510
2024-02-05,539,447
2024-02-04,34,31
2024-02-03,589,450
2024-02-02,563,461
2024-02-01,598,485
2024-01-31,602,500
2024-01-30,620,498
2024-01-29,556,454
2024-01-28,71,61
2024-01-27,531,400
2024-01-26,643,509
2024-01-25,591,474
2024-01-24,557,440
2024-01-23,642,494
2024-01-22,541,436
2024-01-21,42,34
2024-01-20,542,423
2024-01-19,563,450
2024-01-18,546,458
2024-01-17,587,462
2024-01-16,641,486
2024-01-15,499,395
2024-01-14,41,36
2024-01-13,533,419
2024-01-12,557,451
2024-01-11,491,394
2024-01-10,521,437
2024-01-09,539,428
2024-01-08,427,355
2024-01-07,52,45
2024-01-06,507,397
2024-01-05,595,447
2024-01-04,522,424
2024-01-03,419,351
2024-01-02,301,265
2024-01-01,249,194
2023-12-31,41,36
2023-12-30,362,292
2023-12-29,336,281
2023-12-28,449,356
2023-12-27,326,274
2023-12-26,247,202
2023-12-25,306,230
2023-12-24,26,22
2023-12-23,445,336
2023-12-22,509,398
2023-12-21,502,401
2023-12-20,449,373
2023-12-19,488,393
2023-12-18,442,346
2023-12-17,30,27
2023-12-16,430,358
2023-12-15,485,399
2023-12-14,513,409
2023-12-13,497,393
2023-12-12,488,397
2023-12-11,388,315
2023-12-10,29,27
2023-12-09,416,325
2023-12-08,446,384
2023-12-07,437,371
2023-12-06,540,398
2023-12-05,423,344
2023-12-04,390,319
2023-12-03,35,30
2023-12-02,433,345
2023-12-01,453,385
2023-11-30,480,377
2023-11-29,477,392
2023-11-28,501,409
2023-11-27,466,379
2023-11-26,28,26
2023-11-25,435,337
2023-11-24,583,449
2023-11-23,472,386
2023-11-22,537,441
2023-11-21,585,456
2023-11-20,453,365
2023-11-19,33,27
2023-11-18,515,416
2023-11-17,473,396
2023-11-16,564,430
2023-11-15,497,400
2023-11-14,649,526
2023-11-13,526,447
2023-11-12,33,30
2023-11-11,534,441
2023-11-10,574,469
2023-11-09,570,459
2023-11-08,619,456
2023-11-07,616,483
2023-11-06,579,485
2023-11-05,33,28
2023-11-04,489,377
2023-11-03,565,453
2023-11-02,494,421
2023-11-01,460,371
2023-10-31,610,469
2023-10-30,537,430
2023-10-29,28,26
2023-10-28,595,444
2023-10-27,591,474
2023-10-26,554,441
2023-10-25,538,434
2023-10-24,688,528
2023-10-23,489,413
2023-10-22,39,35
2023-10-21,522,406
2023-10-20,581,476
2023-10-19,572,452
2023-10-18,492,409
2023-10-17,661,506
2023-10-16,477,400
2023-10-15,20,20
2023-10-14,518,406
2023-10-13,638,499
2023-10-12,626,505
2023-10-11,505,395
2023-10-10,598,489
2023-10-09,492,417
2023-10-08,19,19
2023-10-07,514,392
2023-10-06,545,456
2023-10-05,515,426
2023-10-04,423,343
2023-10-03,423,359
2023-10-02,478,410
2023-10-01,34,29
2023-09-30,448,368
2023-09-29,530,430
2023-09-28,565,456
2023-09-27,492,415
2023-09-26,583,469
2023-09-25,511,387
2023-09-24,27,26
2023-09-23,451,353
2023-09-22,581,479
2023-09-21,518,425
2023-09-20,539,424
2023-09-19,551,437
2023-09-18,522,424
2023-09-17,21,21
2023-09-16,379,305
2023-09-15,481,393
2023-09-14,537,432
2023-09-13,515,428
2023-09-12,649,497
2023-09-11,309,257
2023-09-10,19,17
2023-09-09,466,342
2023-09-08,489,391
2023-09-07,537,429
2023-09-06,494,410
2023-09-05,568,450
2023-09-04,506,414
2023-09-03,27,22
2023-09-02,369,300
2023-09-01,538,414
2023-08-31,517,409
2023-08-30,550,435
2023-08-29,508,416
2023-08-28,488,402
2023-08-27,28,26
2023-08-26,416,325
2023-08-25,531,436
2023-08-24,521,420
2023-08-23,455,372
2023-08-22,489,395
2023-08-21,434,362
2023-08-20,38,26
2023-08-19,440,348
2023-08-18,514,409
2023-08-17,502,397
2023-08-16,467,367
2023-08-15,521,392
2023-08-14,410,323
2023-08-13,18,18
2023-08-12,462,361
2023-08-11,510,413
2023-08-10,500,397
2023-08-09,446,366
2023-08-08,479,397
2023-08-07,400,333
2023-08-06,32,28
2023-08-05,468,355
2023-08-04,528,411
2023-08-03,486,399
2023-08-02,473,383
2023-08-01,501,383
2023-07-31,449,383
2023-07-30,31,27
2023-07-29,473,370
2023-07-28,527,415
2023-07-27,519,411
2023-07-26,502,404
2023-07-25,514,409
2023-07-24,518,400
2023-07-23,26,23
2023-07-22,467,361
2023-07-21,585,429
2023-07-20,494,394
2023-07-19,499,392
2023-07-18,475,377
2023-07-17,442,358
2023-07-16,10,9
2023-07-15,465,354
2023-07-14,520,411
2023-07-13,459,365
2023-07-12,452,354
2023-07-11,515,400
2023-07-10,492,395
2023-07-09,20,18
2023-07-08,459,362
2023-07-07,510,386
2023-07-06,512,412
2023-07-05,431,329
2023-07-04,490,405
2023-07-03,517,397
2023-07-02,13,10
2023-07-01,445,341
2023-06-30,489,406
2023-06-29,502,409
2023-06-28,508,410
2023-06-27,491,409
2023-06-26,449,364
2023-06-25,20,20
2023-06-24,396,307
2023-06-23,518,402
2023-06-22,516,406
2023-06-21,454,359
2023-06-20,539,423
2023-06-19,526,413
2023-06-18,19,17
2023-06-17,495,374
2023-06-16,504,398
2023-06-15,527,408
2023-06-14,487,398
2023-06-13,558,418
2023-06-12,504,402
2023-06-11,15,11
2023-06-10,476,366
2023-06-09,588,465
2023-06-08,435,344
2023-06-07,511,399
2023-06-06,667,497
2023-06-05,520,417
2023-06-04,18,17
2023-06-03,504,369
2023-06-02,555,432
2023-06-01,484,382
2023-05-31,482,380
2023-05-30,457,368
2023-05-29,300,232
2023-05-28,21,20
2023-05-27,520,402
2023-05-26,521,426
2023-05-25,550,439
2023-05-24,572,446
2023-05-23,590,476
2023-05-22,565,431
2023-05-21,16,15
2023-05-20,350,266
2023-05-19,462,367
2023-05-18,431,346
2023-05-17,543,425
2023-05-16,598,487
2023-05-15,513,412
2023-05-14,23,22
2023-05-13,412,320
2023-05-12,535,440
2023-05-11,535,458
2023-05-10,524,430
2023-05-09,526,428
2023-05-08,484,388
2023-05-07,27,26
2023-05-06,480,381
2023-05-05,524,407
2023-05-04,504,408
2023-05-03,495,418
2023-05-02,376,317
2023-05-01,286,228
2023-04-30,18,18
2023-04-29,512,392
2023-04-28,536,445
2023-04-27,510,422
2023-04-26,517,432
2023-04-25,532,433
2023-04-24,511,399
2023-04-23,25,23
2023-04-22,424,323
2023-04-21,534,422
2023-04-20,535,405
2023-04-19,463,378
2023-04-18,509,413
2023-04-17,506,408
2023-04-16,18,17
2023-04-15,542,432
2023-04-14,544,421
2023-04-13,541,417
2023-04-12,498,403
2023-04-11,361,307
2023-04-10,238,197
2023-04-09,22,20
2023-04-08,296,249
2023-04-07,332,274
2023-04-06,468,391
2023-04-05,486,389
2023-04-04,511,423
2023-04-03,448,392
2023-04-02,12,11
2023-04-01,484,376
2023-03-31,547,444
2023-03-30,422,352
2023-03-29,560,443
2023-03-28,552,444
2023-03-27,466,388
2023-03-26,26,26
2023-03-25,500,387
2023-03-24,528,432
2023-03-23,561,447
2023-03-22,509,414
2023-03-21,535,433
2023-03-20,441,376
2023-03-19,17,14
2023-03-18,412,316
2023-03-17,510,410
2023-03-16,479,382
2023-03-15,461,402
2023-03-14,485,408
2023-03-13,456,388
2023-03-12,21,18
2023-03-11,468,389
2023-03-10,498,416
2023-03-09,441,376
2023-03-08,459,367
2023-03-07,528,437
2023-03-06,431,357
2023-03-05,28,26
2023-03-04,452,369
2023-03-03,489,393
2023-03-02,502,386
2023-03-01,494,415
2023-02-28,544,435
2023-02-27,463,401
2023-02-26,33,30
2023-02-25,492,386
2023-02-24,556,448
2023-02-23,615,484
2023-02-22,445,359
2023-02-21,599,484
2023-02-20,500,404
2023-02-19,24,24
2023-02-18,505,405
2023-02-17,585,489
2023-02-16,518,409
2023-02-15,526,427
2023-02-14,510,423
2023-02-13,511,403
2023-02-12,27,24
2023-02-11,482,386
2023-02-10,524,439
2023-02-09,459,392
2023-02-08,441,371
2023-02-07,478,398
2023-02-06,484,392
2023-02-05,84,79
2023-02-04,361,299
2023-02-03,496,396
2023-02-02,562,445
2023-02-01,462,380
2023-01-31,488,414
2023-01-30,483,401
2023-01-29,22,21
2023-01-28,488,404
2023-01-27,524,441
2023-01-26,455,393
2023-01-25,522,436
2023-01-24,581,489
2023-01-23,447,360
2023-01-22,27,25
2023-01-21,461,372
2023-01-20,511,422
2023-01-19,509,433
2023-01-18,475,383
2023-01-17,479,388
2023-01-16,518,437
2023-01-15,30,29
2023-01-14,469,382
2023-01-13,520,429
2023-01-12,491,406
2023-01-11,458,397
2023-01-10,477,380
2023-01-09,482,405
2023-01-08,18,17
2023-01-07,336,274
2023-01-06,431,343
2023-01-05,433,371
2023-01-04,419,359
2023-01-03,367,298
2023-01-02,342,270
2023-01-01,20,13
2022-12-31,304,234
2022-12-30,567,362
2022-12-29,396,317
2022-12-28,319,278
2022-12-27,319,276
2022-12-26,164,128
2022-12-25,14,11
2022-12-24,216,184
2022-12-23,372,312
2022-12-22,405,335
2022-12-21,338,299
2022-12-20,358,300
2022-12-19,379,314
2022-12-18,12,12
2022-12-17,303,256
2022-12-16,409,347
2022-12-15,392,326
2022-12-14,408,349
2022-12-13,424,359
2022-12-12,387,316
2022-12-11,32,22
2022-12-10,317,263
2022-12-09,441,364
2022-12-08,418,343
2022-12-07,417,348
2022-12-06,406,350
2022-12-05,431,378
2022-12-04,25,23
2022-12-03,425,344
2022-12-02,477,406
2022-12-01,439,369
2022-11-30,472,395
2022-11-29,482,404
2022-11-28,495,402
2022-11-27,23,18
2022-11-26,434,358
2022-11-25,488,414
2022-11-24,469,401
2022-11-23,502,431
2022-11-22,565,448
2022-11-21,453,383
2022-11-20,15,12
2022-11-19,520,427
2022-11-18,570,475
2022-11-17,489,406
2022-11-16,484,406
2022-11-15,498,414
2022-11-14,519,427
2022-11-13,20,20
2022-11-12,463,369
2022-11-11,523,431
2022-11-10,429,356
2022-11-09,500,415
2022-11-08,482,409
2022-11-07,513,421
2022-11-06,23,21
2022-11-05,479,400
2022-11-04,496,431
2022-11-03,539,441
2022-11-02,457,386
2022-11-01,434,356
2022-10-31,477,402
2022-10-30,18,15
2022-10-29,418,351
2022-10-28,483,400
2022-10-27,529,426
2022-10-26,502,427
2022-10-25,529,435
2022-10-24,518,417
2022-10-23,20,18
2022-10-22,410,337
2022-10-21,544,446
2022-10-20,477,393
2022-10-19,477,391
2022-10-18,493,421
2022-10-17,488,405
2022-10-16,21,21
2022-10-15,528,421
2022-10-14,541,444
2022-10-13,484,409
2022-10-12,521,423
2022-10-11,508,431
2022-10-10,487,388
2022-10-09,25,20
2022-10-08,443,359
2022-10-07,512,429
2022-10-06,516,435
2022-10-05,514,425
2022-10-04,446,351
2022-10-03,293,254
2022-10-02,30,27
2022-10-01,423,340
2022-09-30,554,452
2022-09-29,489,421
2022-09-28,533,446
2022-09-27,570,463
2022-09-26,526,446
2022-09-25,24,20
2022-09-24,444,355
2022-09-23,554,455
2022-09-22,488,384
2022-09-21,506,432
2022-09-20,513,425
2022-09-19,509,426
2022-09-18,25,23
2022-09-17,461,375
2022-09-16,534,436
2022-09-15,492,431
2022-09-14,543,440
2022-09-13,547,477
2022-09-12,508,427
2022-09-11,33,23
2022-09-10,453,392
2022-09-09,565,460
2022-09-08,471,398
2022-09-07,533,439
2022-09-06,578,465
2022-09-05,547,450
2022-09-04,29,26
2022-09-03,422,335
2022-09-02,564,448
2022-09-01,547,449
2022-08-31,533,435
2022-08-30,611,498
2022-08-29,539,446
2022-08-28,29,23
2022-08-27,455,370
2022-08-26,538,440
2022-08-25,526,418
2022-08-24,482,401
2022-08-23,598,495
2022-08-22,571,443
2022-08-21,30,25
2022-08-20,442,361
2022-08-19,590,475
2022-08-18,516,422
2022-08-17,534,432
2022-08-16,589,482
2022-08-15,475,397
2022-08-14,31,27
2022-08-13,443,351
2022-08-12,528,422
2022-08-11,525,431
2022-08-10,528,442
2022-08-09,597,460
2022-08-08,513,422
2022-08-07,33,26
2022-08-06,402,315
2022-08-05,524,420
2022-08-04,568,424
2022-08-03,551,447
2022-08-02,602,482
2022-08-01,476,388
2022-07-31,27,24
2022-07-30,396,326
2022-07-29,568,456
2022-07-28,555,445
2022-07-27,584,454
2022-07-26,584,452
2022-07-25,468,388
2022-07-24,15,15
2022-07-23,425,356
2022-07-22,599,475
2022-07-21,506,412
2022-07-20,558,445
2022-07-19,590,471
2022-07-18,551,436
2022-07-17,21,20
2022-07-16,449,352
2022-07-15,575,475
2022-07-14,535,441
2022-07-13,543,458
2022-07-12,547,466
2022-07-11,482,403
2022-07-10,22,20
2022-07-09,445,352
2022-07-08,576,476
2022-07-07,572,455
2022-07-06,573,437
2022-07-05,604,471
2022-07-04,502,423
2022-07-03,19,17
2022-07-02,400,320
2022-07-01,614,471
2022-06-30,551,452
2022-06-29,571,457
2022-06-28,606,475
2022-06-27,515,413
2022-06-26,20,18
2022-06-25,429,317
2022-06-24,561,447
2022-06-23,548,437
2022-06-22,595,464
2022-06-21,641,501
2022-06-20,561,452
2022-06-19,23,18
2022-06-18,495,411
2022-06-17,533,420
2022-06-16,474,399
2022-06-15,620,486
2022-06-14,519,422
2022-06-13,568,469
2022-06-12,18,16
2022-06-11,509,396
2022-06-10,571,470
2022-06-09,588,480
2022-06-08,601,488
2022-06-07,561,444
2022-06-06,283,233
2022-06-05,29,23
2022-06-04,481,384
2022-06-03,564,470
2022-06-02,552,460
2022-06-01,623,509
2022-05-31,681,543
2022-05-30,602,481
2022-05-29,22,20
2022-05-28,470,376
2022-05-27,503,419
2022-05-26,339,276
2022-05-25,593,480
2022-05-24,625,478
2022-05-23,616,502
2022-05-22,30,27
2022-05-21,547,432
2022-05-20,702,550
2022-05-19,596,478
2022-05-18,566,470
2022-05-17,556,450
2022-05-16,526,426
2022-05-15,46,43
2022-05-14,447,349
2022-05-13,582,482
2022-05-12,552,452
2022-05-11,568,454
2022-05-10,596,495
2022-05-09,575,473
2022-05-08,24,21
2022-05-07,493,391
2022-05-06,606,499
2022-05-05,568,467
2022-05-04,582,464
2022-05-03,607,471
2022-05-02,632,496
2022-05-01,0,0
2022-04-30,524,413
2022-04-29,529,444
2022-04-28,566,479
2022-04-27,586,492
2022-04-26,558,435
2022-04-25,576,469
2022-04-24,31,25
2022-04-23,500,385
2022-04-22,592,464
2022-04-21,582,467
2022-04-20,543,447
2022-04-19,426,352
2022-04-18,184,149
2022-04-17,23,18
