day,sales,unique_buyers
2024_05_26,43,39
2024_05_25,547,447
2024_05_24,627,521
2024_05_23,664,549
2024_05_22,689,535
2024_05_21,525,419
2024_05_20,384,320
2024_05_19,33,28
2024_05_18,644,501
2024_05_17,727,587
2024_05_16,661,531
2024_05_15,671,544
2024_05_14,691,551
2024_05_13,524,414
2024_05_12,35,31
2024_05_11,539,434
2024_05_10,445,378
2024_05_09,495,397
2024_05_08,608,485
2024_05_07,666,528
2024_05_06,580,463
2024_05_05,20,19
2024_05_04,510,403
2024_05_03,598,480
2024_05_02,475,388
2024_05_01,474,372
2024_04_30,665,499
2024_04_29,589,475
2024_04_28,46,42
2024_04_27,557,445
2024_04_26,644,508
2024_04_25,664,534
2024_04_24,634,507
2024_04_23,754,593
2024_04_22,628,483
2024_04_21,41,38
2024_04_20,655,513
2024_04_19,648,533
2024_04_18,705,566
2024_04_17,689,538
2024_04_16,715,532
2024_04_15,575,466
2024_04_14,41,38
2024_04_13,620,468
2024_04_12,643,513
2024_04_11,660,507
2024_04_10,645,518
2024_04_09,669,511
2024_04_08,537,442
2024_04_07,41,37
2024_04_06,550,422
2024_04_05,611,502
2024_04_04,670,491
2024_04_03,567,444
2024_04_02,391,329
2024_04_01,283,243
2024_03_31,20,17
2024_03_30,386,321
2024_03_29,718,562
2024_03_28,510,405
2024_03_27,682,539
2024_03_26,652,516
2024_03_25,592,427
2024_03_24,53,48
2024_03_23,647,466
2024_03_22,627,490
2024_03_21,628,485
2024_03_20,600,483
2024_03_19,671,519
2024_03_18,571,452
2024_03_17,30,24
2024_03_16,561,439
2024_03_15,595,492
2024_03_14,590,477
2024_03_13,627,510
2024_03_12,635,512
2024_03_11,564,460
2024_03_10,30,28
2024_03_09,583,427
2024_03_08,588,486
2024_03_07,644,510
2024_03_06,619,507
2024_03_05,652,525
2024_03_04,535,450
2024_03_03,31,26
2024_03_02,586,448
2024_03_01,722,569
2024_02_29,625,493
2024_02_28,621,510
2024_02_27,678,547
2024_02_26,619,482
2024_02_25,51,36
2024_02_24,611,477
2024_02_23,710,550
2024_02_22,692,539
2024_02_21,687,537
2024_02_20,701,537
2024_02_19,575,462
2024_02_18,33,28
2024_02_17,627,467
2024_02_16,642,492
2024_02_15,576,479
2024_02_14,581,463
2024_02_13,688,532
2024_02_12,558,459
2024_02_11,38,34
2024_02_10,597,469
2024_02_09,622,504
2024_02_08,625,508
2024_02_07,600,476
2024_02_06,625,510
2024_02_05,539,447
2024_02_04,34,31
2024_02_03,589,450
2024_02_02,563,461
2024_02_01,598,485
2024_01_31,602,500
2024_01_30,620,498
2024_01_29,556,454
2024_01_28,71,61
2024_01_27,531,400
2024_01_26,643,509
2024_01_25,591,474
2024_01_24,557,440
2024_01_23,642,494
2024_01_22,541,436
2024_01_21,42,34
2024_01_20,542,423
2024_01_19,563,450
2024_01_18,546,458
2024_01_17,587,462
2024_01_16,641,486
2024_01_15,499,395
2024_01_14,41,36
2024_01_13,533,419
2024_01_12,557,451
2024_01_11,491,394
2024_01_10,521,437
2024_01_09,539,428
2024_01_08,427,355
2024_01_07,52,45
2024_01_06,507,397
2024_01_05,595,447
2024_01_04,522,424
2024_01_03,419,351
2024_01_02,301,265
2024_01_01,249,194
2023_12_31,41,36
2023_12_30,362,292
2023_12_29,336,281
2023_12_28,449,356
2023_12_27,326,274
2023_12_26,247,202
2023_12_25,306,230
2023_12_24,26,22
2023_12_23,445,336
2023_12_22,509,398
2023_12_21,502,401
2023_12_20,449,373
2023_12_19,488,393
2023_12_18,442,346
2023_12_17,30,27
2023_12_16,430,358
2023_12_15,485,399
2023_12_14,513,409
2023_12_13,497,393
2023_12_12,488,397
2023_12_11,388,315
2023_12_10,29,27
2023_12_09,416,325
2023_12_08,446,384
2023_12_07,437,371
2023_12_06,540,398
2023_12_05,423,344
2023_12_04,390,319
2023_12_03,35,30
2023_12_02,433,345
2023_12_01,453,385
2023_11_30,480,377
2023_11_29,477,392
2023_11_28,501,409
2023_11_27,466,379
2023_11_26,28,26
2023_11_25,435,337
2023_11_24,583,449
2023_11_23,472,386
2023_11_22,537,441
2023_11_21,585,456
2023_11_20,453,365
2023_11_19,33,27
2023_11_18,515,416
2023_11_17,473,396
2023_11_16,564,430
2023_11_15,497,400
2023_11_14,649,526
2023_11_13,526,447
2023_11_12,33,30
2023_11_11,534,441
2023_11_10,574,469
2023_11_09,570,459
2023_11_08,619,456
2023_11_07,616,483
2023_11_06,579,485
2023_11_05,33,28
2023_11_04,489,377
2023_11_03,565,453
2023_11_02,494,421
2023_11_01,460,371
2023_10_31,610,469
2023_10_30,537,430
2023_10_29,28,26
2023_10_28,595,444
2023_10_27,591,474
2023_10_26,554,441
2023_10_25,538,434
2023_10_24,688,528
2023_10_23,489,413
2023_10_22,39,35
2023_10_21,522,406
2023_10_20,581,476
2023_10_19,572,452
2023_10_18,492,409
2023_10_17,661,506
2023_10_16,477,400
2023_10_15,20,20
2023_10_14,518,406
2023_10_13,638,499
2023_10_12,626,505
2023_10_11,505,395
2023_10_10,598,489
2023_10_09,492,417
2023_10_08,19,19
2023_10_07,514,392
2023_10_06,545,456
2023_10_05,515,426
2023_10_04,423,343
2023_10_03,423,359
2023_10_02,478,410
2023_10_01,34,29
2023_09_30,448,368
2023_09_29,530,430
2023_09_28,565,456
2023_09_27,492,415
2023_09_26,583,469
2023_09_25,511,387
2023_09_24,27,26
2023_09_23,451,353
2023_09_22,581,479
2023_09_21,518,425
2023_09_20,539,424
2023_09_19,551,437
2023_09_18,522,424
2023_09_17,21,21
2023_09_16,379,305
2023_09_15,481,393
2023_09_14,537,432
2023_09_13,515,428
2023_09_12,649,497
2023_09_11,309,257
2023_09_10,19,17
2023_09_09,466,342
2023_09_08,489,391
2023_09_07,537,429
2023_09_06,494,410
2023_09_05,568,450
2023_09_04,506,414
2023_09_03,27,22
2023_09_02,369,300
2023_09_01,538,414
2023_08_31,517,409
2023_08_30,550,435
2023_08_29,508,416
2023_08_28,488,402
2023_08_27,28,26
2023_08_26,416,325
2023_08_25,531,436
2023_08_24,521,420
2023_08_23,455,372
2023_08_22,489,395
2023_08_21,434,362
2023_08_20,38,26
2023_08_19,440,348
2023_08_18,514,409
2023_08_17,502,397
2023_08_16,467,367
2023_08_15,521,392
2023_08_14,410,323
2023_08_13,18,18
2023_08_12,462,361
2023_08_11,510,413
2023_08_10,500,397
2023_08_09,446,366
2023_08_08,479,397
2023_08_07,400,333
2023_08_06,32,28
2023_08_05,468,355
2023_08_04,528,411
2023_08_03,486,399
2023_08_02,473,383
2023_08_01,501,383
2023_07_31,449,383
2023_07_30,31,27
2023_07_29,473,370
2023_07_28,527,415
2023_07_27,519,411
2023_07_26,502,404
2023_07_25,514,409
2023_07_24,518,400
2023_07_23,26,23
2023_07_22,467,361
2023_07_21,585,429
2023_07_20,494,394
2023_07_19,499,392
2023_07_18,475,377
2023_07_17,442,358
2023_07_16,10,9
2023_07_15,465,354
2023_07_14,520,411
2023_07_13,459,365
2023_07_12,452,354
2023_07_11,515,400
2023_07_10,492,395
2023_07_09,20,18
2023_07_08,459,362
2023_07_07,510,386
2023_07_06,512,412
2023_07_05,431,329
2023_07_04,490,405
2023_07_03,517,397
2023_07_02,13,10
2023_07_01,445,341
2023_06_30,489,406
2023_06_29,502,409
2023_06_28,508,410
2023_06_27,491,409
2023_06_26,449,364
2023_06_25,20,20
2023_06_24,396,307
2023_06_23,518,402
2023_06_22,516,406
2023_06_21,454,359
2023_06_20,539,423
2023_06_19,526,413
2023_06_18,19,17
2023_06_17,495,374
2023_06_16,504,398
2023_06_15,527,408
2023_06_14,487,398
2023_06_13,558,418
2023_06_12,504,402
2023_06_11,15,11
2023_06_10,476,366
2023_06_09,588,465
2023_06_08,435,344
2023_06_07,511,399
2023_06_06,667,497
2023_06_05,520,417
2023_06_04,18,17
2023_06_03,504,369
2023_06_02,555,432
2023_06_01,484,382
2023_05_31,482,380
2023_05_30,457,368
2023_05_29,300,232
2023_05_28,21,20
2023_05_27,520,402
2023_05_26,521,426
2023_05_25,550,439
2023_05_24,572,446
2023_05_23,590,476
2023_05_22,565,431
2023_05_21,16,15
2023_05_20,350,266
2023_05_19,462,367
2023_05_18,431,346
2023_05_17,543,425
2023_05_16,598,487
2023_05_15,513,412
2023_05_14,23,22
2023_05_13,412,320
2023_05_12,535,440
2023_05_11,535,458
2023_05_10,524,430
2023_05_09,526,428
2023_05_08,484,388
2023_05_07,27,26
2023_05_06,480,381
2023_05_05,524,407
2023_05_04,504,408
2023_05_03,495,418
2023_05_02,376,317
2023_05_01,286,228
2023_04_30,18,18
2023_04_29,512,392
2023_04_28,536,445
2023_04_27,510,422
2023_04_26,517,432
2023_04_25,532,433
2023_04_24,511,399
2023_04_23,25,23
2023_04_22,424,323
2023_04_21,534,422
2023_04_20,535,405
2023_04_19,463,378
2023_04_18,509,413
2023_04_17,506,408
2023_04_16,18,17
2023_04_15,542,432
2023_04_14,544,421
2023_04_13,541,417
2023_04_12,498,403
2023_04_11,361,307
2023_04_10,238,197
2023_04_09,22,20
2023_04_08,296,249
2023_04_07,332,274
2023_04_06,468,391
2023_04_05,486,389
2023_04_04,511,423
2023_04_03,448,392
2023_04_02,12,11
2023_04_01,484,376
2023_03_31,547,444
2023_03_30,422,352
2023_03_29,560,443
2023_03_28,552,444
2023_03_27,466,388
2023_03_26,26,26
2023_03_25,500,387
2023_03_24,528,432
2023_03_23,561,447
2023_03_22,509,414
2023_03_21,535,433
2023_03_20,441,376
2023_03_19,17,14
2023_03_18,412,316
2023_03_17,510,410
2023_03_16,479,382
2023_03_15,461,402
2023_03_14,485,408
2023_03_13,456,388
2023_03_12,21,18
2023_03_11,468,389
2023_03_10,498,416
2023_03_09,441,376
2023_03_08,459,367
2023_03_07,528,437
2023_03_06,431,357
2023_03_05,28,26
2023_03_04,452,369
2023_03_03,489,393
2023_03_02,502,386
2023_03_01,494,415
2023_02_28,544,435
2023_02_27,463,401
2023_02_26,33,30
2023_02_25,492,386
2023_02_24,556,448
2023_02_23,615,484
2023_02_22,445,359
2023_02_21,599,484
2023_02_20,500,404
2023_02_19,24,24
2023_02_18,505,405
2023_02_17,585,489
2023_02_16,518,409
2023_02_15,526,427
2023_02_14,510,423
2023_02_13,511,403
2023_02_12,27,24
2023_02_11,482,386
2023_02_10,524,439
2023_02_09,459,392
2023_02_08,441,371
2023_02_07,478,398
2023_02_06,484,392
2023_02_05,84,79
2023_02_04,361,299
2023_02_03,496,396
2023_02_02,562,445
2023_02_01,462,380
2023_01_31,488,414
2023_01_30,483,401
2023_01_29,22,21
2023_01_28,488,404
2023_01_27,524,441
2023_01_26,455,393
2023_01_25,522,436
2023_01_24,581,489
2023_01_23,447,360
2023_01_22,27,25
2023_01_21,461,372
2023_01_20,511,422
2023_01_19,509,433
2023_01_18,475,383
2023_01_17,479,388
2023_01_16,518,437
2023_01_15,30,29
2023_01_14,469,382
2023_01_13,520,429
2023_01_12,491,406
2023_01_11,458,397
2023_01_10,477,380
2023_01_09,482,405
2023_01_08,18,17
2023_01_07,336,274
2023_01_06,431,343
2023_01_05,433,371
2023_01_04,419,359
2023_01_03,367,298
2023_01_02,342,270
2023_01_01,20,13
2022_12_31,304,234
2022_12_30,567,362
2022_12_29,396,317
2022_12_28,319,278
2022_12_27,319,276
2022_12_26,164,128
2022_12_25,14,11
2022_12_24,216,184
2022_12_23,372,312
2022_12_22,405,335
2022_12_21,338,299
2022_12_20,358,300
2022_12_19,379,314
2022_12_18,12,12
2022_12_17,303,256
2022_12_16,409,347
2022_12_15,392,326
2022_12_14,408,349
2022_12_13,424,359
2022_12_12,387,316
2022_12_11,32,22
2022_12_10,317,263
2022_12_09,441,364
2022_12_08,418,343
2022_12_07,417,348
2022_12_06,406,350
2022_12_05,431,378
2022_12_04,25,23
2022_12_03,425,344
2022_12_02,477,406
2022_12_01,439,369
2022_11_30,472,395
2022_11_29,482,404
2022_11_28,495,402
2022_11_27,23,18
2022_11_26,434,358
2022_11_25,488,414
2022_11_24,469,401
2022_11_23,502,431
2022_11_22,565,448
2022_11_21,453,383
2022_11_20,15,12
2022_11_19,520,427
2022_11_18,570,475
2022_11_17,489,406
2022_11_16,484,406
2022_11_15,498,414
2022_11_14,519,427
2022_11_13,20,20
2022_11_12,463,369
2022_11_11,523,431
2022_11_10,429,356
2022_11_09,500,415
2022_11_08,482,409
2022_11_07,513,421
2022_11_06,23,21
2022_11_05,479,400
2022_11_04,496,431
2022_11_03,539,441
2022_11_02,457,386
2022_11_01,434,356
2022_10_31,477,402
2022_10_30,18,15
2022_10_29,418,351
2022_10_28,483,400
2022_10_27,529,426
2022_10_26,502,427
2022_10_25,529,435
2022_10_24,518,417
2022_10_23,20,18
2022_10_22,410,337
2022_10_21,544,446
2022_10_20,477,393
2022_10_19,477,391
2022_10_18,493,421
2022_10_17,488,405
2022_10_16,21,21
2022_10_15,528,421
2022_10_14,541,444
2022_10_13,484,409
2022_10_12,521,423
2022_10_11,508,431
2022_10_10,487,388
2022_10_09,25,20
2022_10_08,443,359
2022_10_07,512,429
2022_10_06,516,435
2022_10_05,514,425
2022_10_04,446,351
2022_10_03,293,254
2022_10_02,30,27
2022_10_01,423,340
2022_09_30,554,452
2022_09_29,489,421
2022_09_28,533,446
2022_09_27,570,463
2022_09_26,526,446
2022_09_25,24,20
2022_09_24,444,355
2022_09_23,554,455
2022_09_22,488,384
2022_09_21,506,432
2022_09_20,513,425
2022_09_19,509,426
2022_09_18,25,23
2022_09_17,461,375
2022_09_16,534,436
2022_09_15,492,431
2022_09_14,543,440
2022_09_13,547,477
2022_09_12,508,427
2022_09_11,33,23
2022_09_10,453,392
2022_09_09,565,460
2022_09_08,471,398
2022_09_07,533,439
2022_09_06,578,465
2022_09_05,547,450
2022_09_04,29,26
2022_09_03,422,335
2022_09_02,564,448
2022_09_01,547,449
2022_08_31,533,435
2022_08_30,611,498
2022_08_29,539,446
2022_08_28,29,23
2022_08_27,455,370
2022_08_26,538,440
2022_08_25,526,418
2022_08_24,482,401
2022_08_23,598,495
2022_08_22,571,443
2022_08_21,30,25
2022_08_20,442,361
2022_08_19,590,475
2022_08_18,516,422
2022_08_17,534,432
2022_08_16,589,482
2022_08_15,475,397
2022_08_14,31,27
2022_08_13,443,351
2022_08_12,528,422
2022_08_11,525,431
2022_08_10,528,442
2022_08_09,597,460
2022_08_08,513,422
2022_08_07,33,26
2022_08_06,402,315
2022_08_05,524,420
2022_08_04,568,424
2022_08_03,551,447
2022_08_02,602,482
2022_08_01,476,388
2022_07_31,27,24
2022_07_30,396,326
2022_07_29,568,456
2022_07_28,555,445
2022_07_27,584,454
2022_07_26,584,452
2022_07_25,468,388
2022_07_24,15,15
2022_07_23,425,356
2022_07_22,599,475
2022_07_21,506,412
2022_07_20,558,445
2022_07_19,590,471
2022_07_18,551,436
2022_07_17,21,20
2022_07_16,449,352
2022_07_15,575,475
2022_07_14,535,441
2022_07_13,543,458
2022_07_12,547,466
2022_07_11,482,403
2022_07_10,22,20
2022_07_09,445,352
2022_07_08,576,476
2022_07_07,572,455
2022_07_06,573,437
2022_07_05,604,471
2022_07_04,502,423
2022_07_03,19,17
2022_07_02,400,320
2022_07_01,614,471
2022_06_30,551,452
2022_06_29,571,457
2022_06_28,606,475
2022_06_27,515,413
2022_06_26,20,18
2022_06_25,429,317
2022_06_24,561,447
2022_06_23,548,437
2022_06_22,595,464
2022_06_21,641,501
2022_06_20,561,452
2022_06_19,23,18
2022_06_18,495,411
2022_06_17,533,420
2022_06_16,474,399
2022_06_15,620,486
2022_06_14,519,422
2022_06_13,568,469
2022_06_12,18,16
2022_06_11,509,396
2022_06_10,571,470
2022_06_09,588,480
2022_06_08,601,488
2022_06_07,561,444
2022_06_06,283,233
2022_06_05,29,23
2022_06_04,481,384
2022_06_03,564,470
2022_06_02,552,460
2022_06_01,623,509
2022_05_31,681,543
2022_05_30,602,481
2022_05_29,22,20
2022_05_28,470,376
2022_05_27,503,419
2022_05_26,339,276
2022_05_25,593,480
2022_05_24,625,478
2022_05_23,616,502
2022_05_22,30,27
2022_05_21,547,432
2022_05_20,702,550
2022_05_19,596,478
2022_05_18,566,470
2022_05_17,556,450
2022_05_16,526,426
2022_05_15,46,43
2022_05_14,447,349
2022_05_13,582,482
2022_05_12,552,452
2022_05_11,568,454
2022_05_10,596,495
2022_05_09,575,473
2022_05_08,24,21
2022_05_07,493,391
2022_05_06,606,499
2022_05_05,568,467
2022_05_04,582,464
2022_05_03,607,471
2022_05_02,632,496
2022_04_30,524,413
2022_04_29,529,444
2022_04_28,566,479
2022_04_27,586,492
2022_04_26,558,435
2022_04_25,576,469
2022_04_24,31,25
2022_04_23,500,385
2022_04_22,592,464
2022_04_21,582,467
2022_04_20,543,447
2022_04_19,426,352
2022_04_18,184,149
2022_04_17,23,18
2022_04_16,280,238
