month,share_sold,share_opps,share_bookmarks,share_contracts_signed
2020-01-01,411,4459,891,657
2020-02-01,347,3140,654,624
2020-03-01,171,2675,562,467
2020-04-01,110,1817,415,276
2020-05-01,158,2047,357,278
2020-06-01,171,2470,454,301
2020-07-01,284,3158,538,424
2020-08-01,257,3260,568,396
2020-09-01,278,3251,562,415
2020-10-01,310,3455,1043,425
2020-11-01,390,6044,6404,715
2020-12-01,404,6375,10171,763
2021-01-01,600,7492,13138,1026
2021-02-01,663,7393,12619,1070
2021-03-01,691,8060,14885,1167
2021-04-01,563,7789,14396,1049
2021-05-01,675,8949,18138,1230
2021-06-01,702,8437,16488,1250
2021-07-01,799,9015,19730,1376
2021-08-01,858,9807,24483,1429
2021-09-01,1094,11847,25728,1796
2021-10-01,1485,16716,40269,2359
2021-11-01,1664,18139,48547,2712
2021-12-01,1372,18286,51912,2230
2022-01-01,1720,23337,69434,2428
2022-02-01,1494,19346,54320,2167
2022-03-01,1391,18387,50995,2212
2022-04-01,1417,17550,52053,2363
2022-05-01,1629,17336,55825,2689
2022-06-01,1681,18242,56432,2831
2022-07-01,1843,19858,55517,3019
2022-08-01,2123,22094,50699,3450
2022-09-01,2093,21091,52013,3470
2022-10-01,1844,20847,61951,3166
2022-11-01,1830,21630,62930,3253
2022-12-01,1738,20119,66095,3072
2023-01-01,2173,24368,79259,3650
2023-02-01,1624,18059,60772,2773
2023-03-01,1402,18954,65634,3589
2023-04-01,1346,16567,64466,3434
2023-05-01,1148,12222,48519,2471
