month,cars_sold
2017-01-01,4
2017-02-01,10
2017-03-01,17
2017-04-01,15
2017-05-01,13
2017-06-01,22
2017-07-01,22
2017-08-01,37
2017-09-01,35
2017-10-01,39
2017-11-01,37
2017-12-01,28
2018-01-01,51
2018-02-01,73
2018-03-01,98
2018-04-01,127
2018-05-01,132
2018-06-01,132
2018-07-01,120
2018-08-01,180
2018-09-01,187
2018-10-01,152
2018-11-01,113
2018-12-01,45
2019-01-01,66
2019-02-01,90
2019-03-01,74
2019-04-01,92
2019-05-01,147
2019-06-01,185
2019-07-01,231
2019-08-01,410
2019-09-01,319
2019-10-01,379
2019-11-01,324
2019-12-01,264
2020-01-01,411
2020-02-01,347
2020-03-01,171
2020-04-01,110
2020-05-01,158
2020-06-01,171
2020-07-01,284
2020-08-01,257
2020-09-01,278
2020-10-01,310
2020-11-01,390
2020-12-01,404
2021-01-01,600
2021-02-01,663
2021-03-01,691
2021-04-01,563
2021-05-01,675
2021-06-01,702
2021-07-01,799
2021-08-01,858
2021-09-01,1094
2021-10-01,1485
2021-11-01,1664
2021-12-01,1372
2022-01-01,1720
2022-02-01,1494
2022-03-01,1391
2022-04-01,1417
2022-05-01,1629
2022-06-01,1681
2022-07-01,1843
2022-08-01,2122
2022-09-01,2093
2022-10-01,1844
2022-11-01,1829
2022-12-01,1738
2023-01-01,2173
2023-02-01,1624
2023-03-01,1402
2023-04-01,1328
2023-05-01,1301
