stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
CK92291,15290,Mazda,CX-5,2.2 Turbodiesel,Diesel,10,10-11,15_20,2014,150,60726,Gear type manual,1035
FF96179,13126,Hyundai,i10,1.2,Benzin,5,4-5,10_15,2019,87,35761,Gear type automatic,1025
UX82314,37147,BMW,5er,530e,Hybrid,4,4-5,30+,2020,184,48574,Gear type automatic,1025
VZ83373,43450,Mercedes-Benz,E-Klasse,E 300,Benzin,5,4-5,30+,2019,245,31995,Gear type automatic,1008
ZY72437,16940,BMW,1er,116d,Diesel,5,4-5,15_20,2019,115,41625,Gear type manual,1025
RB58608,18290,Volkswagen,Golf VII,2.0 TDI,Diesel,9,8-9,15_20,2015,185,109542,Gear type automatic,1025
WX67413,26160,Seat,Leon,2.0 TSI,Benzin,4,4-5,25_30,2019,300,54626,duplex,1023
MD39527,14790,Seat,Leon,1.0 TSI,Benzin,6,6-7,10_15,2018,115,63715,Gear type manual,1025
JB18727,30490,Opel,Insignia Grand Sport,2.0 Turbo,Benzin,3,2-3,30+,2021,200,9430,Gear type automatic,1025
TE70030,10590,Fiat,500,1.2,Benzin,8,8-9,10_15,2016,70,39507,Gear type manual,8111
MX26980,11540,Skoda,Fabia,1.0 MPI,Benzin,5,4-5,10_15,2019,75,63497,Gear type manual,8111
BG45213,10460,Smart,fortwo,0.9 Turbo,Benzin,8,8-9,10_15,2016,90,58910,Gear type manual,8111
LL23143,8890,Hyundai,i10,1.0,Benzin,9,8-9,0_10,2015,67,44215,Gear type manual,1025
PJ12603,19591,Volkswagen,Golf VII,2.0 TFSI,Benzin,10,10-11,15_20,2014,230,102989,Gear type automatic,1025
KE09609,34090,Audi,TTS,2.0 TFSI,Benzin,7,6-7,30+,2017,310,92806,Gear type automatic,1008
FT83162,13750,Skoda,Yeti,1.4 TSI,Benzin,8,8-9,10_15,2016,125,109559,Gear type manual,1035
EA89512,11730,Dacia,Duster,1.6 SCe,Benzin,8,8-9,10_15,2016,115,6290,Gear type manual,1035
UZ67427,16936,BMW,2er,218i Active Tourer,Benzin,8,8-9,15_20,2016,135,37826,Gear type manual,1038
JP77207,9220,Opel,Karl,1.0,Benzin,7,6-7,0_10,2016,75,58769,Gear type manual,8111
JJ51241,18735,Audi,A3,2.0 TDI,Diesel,7,6-7,15_20,2017,150,99957,Gear type automatic,1025
SK97639,15999,Seat,Leon,2.0 TDI,Diesel,7,6-7,15_20,2017,185,111513,Gear type automatic,1008
YB33738,24616,Renault,Grand Scenic,1.3 TCe,Benzin,4,4-5,20_25,2020,159,72885,Gear type automatic,1038
AM99987,12695,Mercedes-Benz,A-Klasse,A 180,Benzin,9,8-9,10_15,2015,122,103639,Gear type manual,1025
BE85326,23874,Audi,Q3,2.0 TDI,Diesel,8,8-9,20_25,2016,185,28666,Gear type manual,1035
YA68754,23826,Opel,Insignia Grand Sport,1.6 SIDI Turbo,Benzin,6,6-7,20_25,2018,200,31693,Gear type manual,1025
VG82740,37000,Mercedes-Benz,E-Klasse,E 220 d,Diesel,4,4-5,30+,2019,195,109302,Gear type automatic,1008
ME35325,33286,Ford,Focus,2.3 EcoBoost,Benzin,6,6-7,30+,2017,350,53682,Gear type manual,1025
JZ90148,26990,Audi,A6 Allroad,3.0 V6 TDI,Diesel,10,10-11,25_30,2014,313,110764,Gear type automatic,1023
LZ00476,22020,BMW,3er,320i,Benzin,6,6-7,20_25,2018,185,107242,Gear type automatic,1023
PE42039,10090,Dacia,Sandero,0.9 TCE ,Benzin,8,8-9,10_15,2016,90,56030,Gear type manual,1025
JR80839,14790,Smart,fortwo,0.9 Turbo,Benzin,5,4-5,10_15,2018,90,60722,Gear type automatic,8111
BY21908,18590,Volkswagen,Golf VII,1.5 TSI,Benzin,5,4-5,15_20,2019,131,37967,Gear type manual,1025
RB52735,7990,Volkswagen,up!,1.0,Benzin,5,4-5,0_10,2019,60,101871,Gear type manual,8111
EE84034,22190,BMW,X1,xDrive 20d,Diesel,8,8-9,20_25,2015,190,90538,Gear type automatic,1035
LY10516,10990,Opel,Astra,1.6,Benzin,9,8-9,10_15,2015,115,61406,Gear type manual,1025
TJ67153,19390,Volkswagen,Passat,2.0 TDI,Diesel,7,6-7,15_20,2017,150,102917,Gear type automatic,1023
FR51366,17990,Volkswagen,Polo,1.0 TSI,Benzin,5,4-5,15_20,2019,95,38600,duplex,1025
WE65908,23840,Kia,XCeed,1.5 TGDI,Benzin,2,2-3,20_25,2022,160,8268,Gear type manual,1035
JB90822,12490,Hyundai,i30,1.4,Benzin,8,8-9,10_15,2016,100,29431,Gear type manual,1025
DG56951,11669,Skoda,Fabia,1.2 TSI,Benzin,10,10-11,10_15,2014,105,43529,Gear type automatic,8111
UP43182,38985,Mercedes-Benz,V-Klasse,V 220 d,Diesel,7,6-7,30+,2017,163,60134,Gear type automatic,1038
UC16873,14390,Renault,Captur,1.2 TCe,Benzin,9,8-9,10_15,2015,120,32067,Gear type automatic,1035
ZC52410,18960,Volkswagen,Golf VII,1.0 TSI,Benzin,5,4-5,15_20,2019,116,56113,Gear type automatic,1025
EF22426,40400,Land Rover,Range Rover Sport,3.0 SD V6,Diesel,7,6-7,30+,2017,305,96652,Gear type automatic,1035
AU57163,35490,Mercedes-Benz,C-Klasse,C 300,Benzin,4,4-5,30+,2020,259,33974,Gear type automatic,1023
TZ51492,47620,Audi,RS 3,2.5 TFSI,Benzin,4,4-5,30+,2020,400,24891,Gear type automatic,1025
BW56666,10711,Skoda,Rapid,1.2 TSI,Benzin,9,8-9,10_15,2014,105,60989,Gear type manual,1025
CP41975,18602,Audi,A3,1.6 TDI,Diesel,7,6-7,15_20,2017,110,85345,Gear type manual,1025
HS11980,14590,Skoda,Yeti,1.4 TSI,Benzin,8,8-9,10_15,2016,125,95554,Gear type manual,1035
GD25720,9147,Mitsubishi,Space,1.0,Benzin,4,4-5,0_10,2020,70,33983,Gear type manual,8111
YJ14615,11350,Skoda,Fabia,1.2 TSI,Benzin,9,8-9,10_15,2015,90,54797,Gear type manual,1023
BB04939,11490,Skoda,Rapid,1.6 TDI,Diesel,8,8-9,10_15,2016,115,107482,Gear type manual,1025
PL80572,10656,Renault,Clio,1.2,Benzin,6,6-7,10_15,2018,73,56648,Gear type manual,8111
JV00095,19240,Jeep,Renegade,1.4 M-Air,Benzin,8,8-9,15_20,2016,170,52354,Gear type automatic,1035
BB26138,9490,Renault,Clio,0.9 Energy,Benzin,8,8-9,0_10,2016,90,79051,Gear type manual,8111
TA44237,35490,Mercedes-Benz,C-Klasse,C 400,Benzin,5,4-5,30+,2019,333,100560,Gear type automatic,1025
ZX81778,14990,Audi,A1,1.0 TFSI,Benzin,9,8-9,10_15,2015,95,20051,Gear type manual,8111
DF75397,23090,Volkswagen,Sharan,2.0 TDI,Diesel,9,8-9,20_25,2015,150,94117,Gear type automatic,1038
SV55208,11270,Fiat,Tipo,1.4,Benzin,6,6-7,10_15,2018,95,51574,Gear type manual,1025
MV29490,10240,Fiat,500,1.2,Benzin,8,8-9,10_15,2016,70,63400,Gear type manual,8111
HH86758,12090,Renault,Twingo,0.9 TCe,Benzin,5,4-5,10_15,2019,92,5026,Gear type manual,8111
ZN30601,13050,Smart,fortwo,0.9 Turbo,Benzin,9,8-9,10_15,2015,90,62373,duplex,1008
XZ75583,39865,Mercedes-Benz,GLA-Klasse,GLA 250,Benzin,4,4-5,30+,2020,224,29132,Gear type automatic,1035
ZF46328,31310,Mercedes-Benz,A-Klasse,A 220,Benzin,5,4-5,30+,2019,190,30999,Gear type automatic,1025
NZ04055,14796,Smart,fortwo,0.9 Turbo,Benzin,7,6-7,10_15,2017,90,68052,duplex,1007
XG84493,14350,Smart,forfour,1.0,Benzin,6,6-7,10_15,2018,70,18251,duplex,1025
SU47583,24748,Audi,A4,40 TDI,Diesel,5,4-5,20_25,2019,190,94734,Gear type automatic,1023
SU92275,12000,Smart,fortwo,0.9 Turbo,Benzin,8,8-9,10_15,2016,90,44045,duplex,1008
JJ15009,17150,Volkswagen,Polo,1.0,Benzin,5,4-5,15_20,2019,80,8254,Gear type manual,1025
MW57505,15430,Opel,Astra K,1.4 SIDI Turbo,Benzin,6,6-7,15_20,2018,125,57655,Gear type manual,1023
NP76054,12530,Hyundai,i10,1.2,Benzin,5,4-5,10_15,2018,87,23044,Gear type manual,8111
ME88890,14890,Nissan,Qashqai,1.2,Benzin,7,6-7,10_15,2016,115,65273,Gear type manual,1035
SJ13108,26590,Mercedes-Benz,SLC-Klasse,SLC 180,Benzin,6,6-7,25_30,2018,155,53294,Gear type manual,1030
BJ35439,17694,BMW,3er,318d,Diesel,9,8-9,15_20,2015,150,106057,Gear type manual,1023
RV20787,38510,Volkswagen,Tiguan,1.5 TSI ACT,Benzin,2,2-3,30+,2022,150,32032,Gear type automatic,1035
FC65010,19999,Volkswagen,Polo,1.0 TSI,Benzin,4,4-5,15_20,2020,95,18997,Gear type automatic,8111
WY13345,20390,Opel,Insignia,2.0 CDTI,Diesel,6,6-7,20_25,2018,210,104615,Gear type automatic,1023
EL84288,18020,Audi,A4,2.0 TDI,Diesel,8,8-9,15_20,2016,150,101674,Gear type manual,1023
DV16774,22350,Audi,A4,2.0 TDI,Diesel,6,6-7,20_25,2018,150,88337,Gear type automatic,1023
CZ54406,18990,Audi,A4,2.0 TDI,Diesel,7,6-7,15_20,2017,150,109037,Gear type manual,1025
SY07957,18750,Ford,Focus,1.0 EcoBoost,Benzin,4,4-5,15_20,2019,125,36111,Gear type manual,1023
DX17921,14820,Ford,Kuga,1.5 EcoBoost,Benzin,6,6-7,10_15,2018,150,83057,Gear type manual,1035
PY35029,24130,Volkswagen,Polo,2.0 TSI,Benzin,4,4-5,20_25,2019,200,18228,duplex,1025
SV54166,17500,Volkswagen,Golf VII,1.5 TSI,Benzin,7,6-7,15_20,2017,150,107884,Gear type automatic,1023
RW93640,18020,MINI,MINI,Cooper,Benzin,5,4-5,15_20,2019,135,59716,Gear type manual,1025
GK71356,14210,Smart,forfour,0.9 Turbo,Benzin,6,6-7,10_15,2018,90,63375,duplex,1025
ME94869,19360,Audi,A1,1.8 TFSI,Benzin,8,8-9,15_20,2016,192,56048,Gear type automatic,8111
XH16638,11887,Skoda,Fabia,1.0 MPI,Benzin,5,4-5,10_15,2019,60,42673,Gear type manual,8111
XP11721,33930,Mercedes-Benz,E-Klasse,E 220 d,Diesel,6,6-7,30+,2018,195,109965,Gear type automatic,1008
DV84526,30970,Volkswagen,Tiguan Allspace,2.0 TDI,Diesel,4,4-5,30+,2019,150,54928,Gear type automatic,1035
VZ89148,29950,Mercedes-Benz,E-Klasse,E 200,Benzin,5,4-5,25_30,2019,185,51858,Gear type automatic,1023
AL88070,37490,Mercedes-Benz,C-Klasse,C 220 d,Diesel,4,4-5,30+,2020,194,44262,Gear type automatic,1008
GZ41431,15520,Smart,fortwo,0.9 Turbo,Benzin,6,6-7,15_20,2018,90,69863,Gear type automatic,8111
AT95869,13630,Opel,Adam,1.4,Benzin,5,4-5,10_15,2019,100,12124,Gear type manual,1025
DM95263,14260,Volkswagen,Polo,1.0,Benzin,6,6-7,10_15,2018,75,34402,Gear type manual,8111
EJ77936,22980,Volkswagen,Touran,1.5 TSI,Benzin,6,6-7,20_25,2018,150,70801,Gear type manual,1038
AE09717,10990,Renault,Twingo,0.9 Energy,Benzin,8,8-9,10_15,2016,90,56675,duplex,1025
DJ28343,18490,Dacia,Duster,1.3 TCe,Benzin,3,2-3,15_20,2021,131,30828,Gear type manual,1035
WB14702,24614,Dacia,Duster,1.3 TCe,Benzin,1,0-1,20_25,2023,150,9305,duplex,1035
YW60804,15380,Citroen,Berlingo,1.6 Blue-HDi,Diesel,7,6-7,15_20,2017,120,68394,Gear type manual,1035
GP44234,22690,Hyundai,Kona,1.6 TGDI,Benzin,5,4-5,20_25,2019,177,40871,Gear type automatic,1035
JW84920,22240,Mercedes-Benz,C-Klasse,C 200 d,Diesel,6,6-7,20_25,2018,150,104703,Gear type automatic,1023
GS35540,16750,Suzuki,Ignis,1.2 DualJet Mild-Hybrid,Benzin,3,2-3,15_20,2020,83,20983,Gear type manual,1025
JL29934,15069,Hyundai,i30,1.6 TGDI,Benzin,8,8-9,15_20,2016,185,100834,Gear type manual,1025
VS53662,18471,Hyundai,Tucson,1.6 TGDI,Benzin,6,6-7,15_20,2018,177,43016,Gear type manual,1035
SJ22651,12002,Peugeot,208,1.2 e-VTi,Benzin,7,6-7,10_15,2017,82,11821,Gear type manual,8111
JD79005,14144,Ssangyong,Tivoli,1.6,Benzin,5,4-5,10_15,2019,128,19538,Gear type manual,1035
AJ95637,20690,Mercedes-Benz,GLA-Klasse,GLA 200,Benzin,8,8-9,20_25,2016,155,67666,Gear type automatic,1035
HY96682,22761,Mercedes-Benz,C-Klasse,C 220 d,Diesel,7,6-7,20_25,2017,170,86164,Gear type automatic,1023
