dates,cars_sold,y_lag_1_month,y_lag_2_month,y_lag_3_month,y_lag_4_month,y_lag_5_month,y_lag_6_month,y_lag_7_month,y_lag_8_month,cars_online,avg_buyprice,bookmarks,opportunity,contracts
2021-01-01,600,405,390,310,278,257,284,170,158,1837,11663,13138,52622,3956
2021-02-01,663,600,405,390,310,278,257,284,170,1835,11878,12619,49515,4055
2021-03-01,691,663,600,405,390,310,278,257,284,1895,12879,14885,50267,4471
2021-04-01,563,691,663,600,405,390,310,278,257,1848,14308,14396,43420,4060
2021-05-01,675,563,691,663,600,405,390,310,278,2021,14834,18138,48744,4694
2021-06-01,702,675,563,691,663,600,405,390,310,2302,15533,16488,50763,5199
2021-07-01,799,702,675,563,691,663,600,405,390,2276,16629,19730,50868,5387
2021-08-01,858,799,702,675,563,691,663,600,405,2776,17430,24483,56871,5527
2021-09-01,1094,858,799,702,675,563,691,663,600,3618,17556,25728,63822,6695
2021-10-01,1485,1094,858,799,702,675,563,691,663,4413,17710,40269,67754,7192
2021-11-01,1664,1485,1094,858,799,702,675,563,691,4832,18190,48547,68752,7256
2021-12-01,1371,1664,1485,1094,858,799,702,675,563,4860,18877,51912,70347,6608
2022-01-01,1718,1371,1664,1485,1094,858,799,702,675,4740,19596,69434,90142,7601
2022-02-01,1492,1718,1371,1664,1485,1094,858,799,702,4254,20501,54320,75362,7022
2022-03-01,1390,1492,1718,1371,1664,1485,1094,858,799,4770,20927,50995,78711,7139
2022-04-01,1415,1390,1492,1718,1371,1664,1485,1094,858,5360,20305,52053,82823,7648
2022-05-01,1627,1415,1390,1492,1718,1371,1664,1485,1094,6098,18980,55825,87131,9169
2022-06-01,1678,1627,1415,1390,1492,1718,1371,1664,1485,6503,17482,56432,87474,9406
2022-07-01,1838,1678,1627,1415,1390,1492,1718,1371,1664,6962,16908,55517,89600,9494
2022-08-01,2115,1838,1678,1627,1415,1390,1492,1718,1371,6905,16607,50699,92025,9608
2022-09-01,2088,2115,1838,1678,1627,1415,1390,1492,1718,6207,17091,52013,93569,10188
2022-10-01,1835,2088,2115,1838,1678,1627,1415,1390,1492,5053,18169,61951,92964,9426
2022-11-01,1816,1835,2088,2115,1838,1678,1627,1415,1390,4419,18323,62930,86587,9265
2022-12-01,1726,1816,1835,2088,2115,1838,1678,1627,1415,4126,17708,66095,77099,8514
2023-01-01,2151,1726,1816,1835,2088,2115,1838,1678,1627,3712,17585,79259,99076,10644
2023-02-01,1608,2151,1726,1816,1835,2088,2115,1838,1678,2909,17008,60772,82190,8849
2023-03-01,1383,1608,2151,1726,1816,1835,2088,2115,1838,3082,16185,65634,84361,11807
2023-04-01,1300,1383,1608,2151,1726,1816,1835,2088,2115,3442,15400,64466,73135,11989
2023-05-01,1385,1300,1383,1608,2151,1726,1816,1835,2088,3600,14875,66530,78044,12875
2023-06-01,1302,1385,1300,1383,1608,2151,1726,1816,1835,3956,14184,55739,69120,11607
2023-07-01,1480,1302,1385,1300,1383,1608,2151,1726,1816,4577,14446,63362,71647,11816
2023-08-01,1750,1480,1302,1385,1300,1383,1608,2151,1726,4975,15109,75230,78565,12289
2023-09-01,1855,1750,1480,1302,1385,1300,1383,1608,2151,5425,15812,79729,80203,13072
2023-10-01,1703,1855,1750,1480,1302,1385,1300,1383,1608,5820,15727,82687,79432,12703
2023-11-01,2120,1703,1855,1750,1480,1302,1385,1300,1383,6319,15435,89911,84552,13980
2023-12-01,1573,2120,1703,1855,1750,1480,1302,1385,1300,6030,15038,84982,70684,11937
2024-01-01,2003,1573,2120,1703,1855,1750,1480,1302,1385,6578,14609,93689,83363,14365
2024-02-01,2011,2003,1573,2120,1703,1855,1750,1480,1302,6628,14441,93766,78970,14152
2024-03-01,1876,2011,2003,1573,2120,1703,1855,1750,1480,6677,14351,98087,81003,14860
2024-04-01,2203,1876,2011,2003,1573,2120,1703,1855,1750,6817,14291,95809,81580,15422
