op_id,country,success,time_to_close,views,impressions
OP02345690,IT,1,29,7,0
OP02431050,PL,1,50,4,2
OP02368886,AT,1,5,7,0
OP02291200,IT,0,844,1,2
OP02401525,DE,0,25,8,2
OP02308568,BE,1,16,7,0
OP02399060,DE,0,64,9,0
OP02319102,DE,1,43,1,0
OP02427028,DE,0,48,5,2
OP02385195,IT,0,49,1,2
OP02456766,FR,1,67,8,0
OP02312127,NL,1,17,1,0
OP02286335,PL,1,12,1,0
OP02404351,IT,0,190,2,3
OP02386913,IT,0,238,1,5
OP02369333,AT,0,56,1,0
OP02291825,FR,0,20,3,0
OP02430942,ES,0,5,1,0
OP02299964,DE,0,46,1,0
OP02440865,ES,0,166,4,7
OP02432656,PL,1,16,2,0
OP02351553,IT,0,196,1,4
OP02360434,IT,0,147,3,5
OP02413287,IT,0,143,3,2
OP02414771,IT,1,20,10,0
OP02369388,AT,0,52,3,0
OP02273712,DE,1,88,1,0
OP02359215,SE,0,44,1,0
OP02340779,DE,0,411,2,2
OP02365299,IT,0,77,7,2
OP02410309,DE,0,71,1,2
OP02455762,FR,1,21,2,0
OP02429213,FR,1,55,11,0
OP02338107,ES,0,122,2,1
OP02426800,IT,0,57,3,3
OP02289708,DE,1,19,1,0
OP02340470,PL,0,31,1,2
OP02433873,IT,0,225,7,0
OP02315741,FR,0,1,1,1
OP02432502,FR,0,18,1,1
OP02448823,FR,0,79,1,1
OP02403428,FR,1,30,1,1
OP02425921,FR,0,67,6,1
OP02328032,BE,0,148,1,2
OP02285836,NL,0,140,1,0
OP02286065,FR,0,8,6,0
OP02344506,DE,0,119,3,0
OP02462879,AT,1,4,2,4
OP02297885,IT,0,217,1,0
OP02368806,ES,1,17,4,0
OP02414733,IT,0,66,2,0
OP02361112,FR,0,150,1,0
OP02387446,DE,1,18,8,4
OP02323422,DE,0,70,2,0
OP02284502,DE,0,218,20,0
OP02351355,PL,0,43,5,6
OP02413577,FR,0,27,1,1
OP02349819,DE,1,73,1,0
OP02294638,DE,1,164,10,0
OP02470435,DE,1,28,3,0
OP02372839,FR,0,1,1,1
OP02304719,ES,1,24,9,0
OP02393325,FR,1,248,2,1
OP02415485,FR,0,7,1,0
OP02354521,FR,1,46,2,3
OP02361567,FR,0,249,1,0
OP02358833,IT,0,216,2,1
OP02423159,DE,0,141,6,0
OP02334978,IT,1,27,2,1
