stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
WY17794,DE,5,5- Too high,Skoda,Octavia,0-10k,9726,220,2016,22590.0,Benzin,Gear type manual,Kombi
VA78131,IT,5,5- Too high,Alfa Romeo,Giulietta,0-10k,7486,120,2020,19999.0,Benzin,Gear type manual,Limousine
BD04143,AT,3,3- Appropriate,Skoda,Superb,80-90k,87342,150,2020,27490.0,Diesel,duplex,Kombi
NS37825,DE,3,3- Appropriate,Opel,Insignia,60-70k,62590,140,2016,13250.0,Benzin,Gear type manual,Kombi
JE44858,BE,5,5- Too high,Volkswagen,Golf VII,90-100k,96280,125,2017,15875.0,Benzin,Gear type manual,Limousine
EY64747,BE,5,5- Too high,Volkswagen,Beetle,50-60k,50410,150,2017,24350.0,Benzin,Gear type automatic,Limousine
RZ16601,IT,5,5- Too high,Kia,Sportage,90-100k,93576,135,2014,12799.0,Gas,Gear type manual,SUV
BS23025,BE,1,1- Very Good,MINI,MINI,90-100k,95522,95,2017,14500.0,Diesel,Gear type manual,Limousine
EZ31443,IT,3,3- Appropriate,Alfa Romeo,Alfa 159,80-90k,85625,135,2011,6999.0,Diesel,Gear type manual,Kombi
LU16788,BE,2,2- Good,Mercedes-Benz,CLA-Klasse,80-90k,84934,122,2014,18450.0,Benzin,Gear type automatic,Limousine
UD49374,DE,4,4- A little high,Hyundai,Santa Fe,40-50k,43901,200,2020,36817.0,Diesel,Gear type automatic,SUV
VM59519,IT,4,4- A little high,Toyota,Corolla,0-10k,6421,122,2019,22499.0,Hybrid,Gear type automatic,Limousine
RM72584,DE,4,4- A little high,Ford,Focus,60-70k,62126,150,2019,22590.0,Benzin,Gear type automatic,Kombi
ZA37284,IT,2,2- Good,Fiat,500L,100k+,117022,105,2014,9799.0,Diesel,Gear type manual,Van
ZY93303,IT,5,5- Too high,Volkswagen,Golf VI,90-100k,99175,122,2011,9399.0,Benzin,Gear type automatic,Limousine
JE08188,PL,3,3- Appropriate,Opel,Astra K,100k+,159730,160,2016,11527.0,Diesel,Gear type manual,Kombi
YL45077,AT,5,5- Too high,Ford,Grand Tourneo Connect,70-80k,75073,120,2015,16790.0,Diesel,Gear type manual,Van
GX05316,DE,2,2- Good,Audi,A3,100k+,100516,125,2015,15153.0,Benzin,Gear type automatic,Limousine
XJ20528,PL,5,5- Too high,Nissan,Qashqai,100k+,125984,115,2014,12394.0,Benzin,Gear type manual,SUV
SJ91328,DE,5,5- Too high,Mercedes-Benz,V-Klasse,80-90k,80101,190,2016,42990.0,Diesel,Gear type automatic,Bus
SW67504,DE,4,4- A little high,Seat,Ateca,30-40k,34369,150,2019,25590.0,Benzin,Gear type manual,SUV
WV88102,DE,1,1- Very Good,Jeep,Compass,100k+,109357,140,2018,21580.0,Diesel,Gear type automatic,SUV
PS20318,PL,5,5- Too high,Volkswagen,Golf Plus,100k+,166806,105,2013,8490.0,Diesel,Gear type manual,Limousine
