dates,cars_sold,cars_online,avg_buyprice,bookmarks
2021-01-01,6,1182,11382,400
2021-01-02,14,1160,11351,347
2021-01-03,5,1142,11355,461
2021-01-04,26,1132,11428,422
2021-01-05,26,1134,11499,387
2021-01-06,20,1143,11583,590
2021-01-07,20,1134,11615,362
2021-01-08,26,1124,11608,274
2021-01-09,15,1094,11568,421
2021-01-10,5,1080,11530,518
2021-01-11,28,1100,11526,446
2021-01-12,23,1124,11503,419
2021-01-13,29,1132,11562,268
2021-01-14,22,1146,11681,286
2021-01-15,24,1152,11653,350
2021-01-16,13,1130,11669,393
2021-01-17,6,1118,11689,550
2021-01-18,29,1113,11782,392
2021-01-19,27,1120,11791,459
2021-01-20,26,1132,11789,331
2021-01-21,21,1148,11894,340
2021-01-22,13,1169,11851,393
2021-01-23,17,1143,11820,536
2021-01-24,8,1128,11837,517
2021-01-25,21,1122,11888,491
2021-01-26,14,1100,11797,333
2021-01-27,22,1122,11744,351
2021-01-28,27,1148,11810,395
2021-01-29,39,1141,11816,697
2021-01-30,13,1114,11796,506
2021-01-31,15,1090,11759,503
2021-02-01,31,1088,11728,421
2021-02-02,28,1089,11628,430
2021-02-03,25,1112,11612,431
2021-02-04,28,1114,11662,544
2021-02-05,30,1127,11839,453
2021-02-06,16,1104,11843,587
2021-02-07,6,1085,11823,450
2021-02-08,34,1073,11782,540
2021-02-09,30,1063,11817,426
2021-02-10,21,1079,11797,468
2021-02-11,22,1099,11813,346
2021-02-12,21,1115,11757,360
2021-02-13,23,1085,11808,499
2021-02-14,10,1060,11832,568
2021-02-15,26,1057,11831,489
2021-02-16,17,1065,11819,445
2021-02-17,23,1084,11893,458
2021-02-18,20,1103,11945,398
2021-02-19,42,1116,11956,259
2021-02-20,14,1090,11926,400
2021-02-21,12,1063,11911,458
2021-02-22,30,1084,11942,409
2021-02-23,21,1077,12009,441
2021-02-24,34,1070,11986,431
2021-02-25,27,1119,12093,327
2021-02-26,35,1135,12159,411
2021-02-27,20,1105,12211,579
2021-02-28,17,1076,12209,591
2021-03-01,37,1070,12229,454
2021-03-02,30,1087,12211,327
2021-03-03,32,1089,12318,405
2021-03-04,33,1100,12363,542
2021-03-05,22,1113,12406,356
2021-03-06,23,1081,12429,544
2021-03-07,9,1060,12442,627
2021-03-08,30,1013,12482,455
