dates,cars_sold,cars_online,avg_buyprice,bookmarks,opportunity,contracts,year,quarter,month,week,day
2021-01-01,6,1182,11382,400,1121,30,2021,1,1,1,1
2021-01-02,14,1160,11351,347,1600,93,2021,1,1,1,2
2021-01-03,5,1142,11355,461,1450,40,2021,1,1,1,3
2021-01-04,26,1132,11428,422,1993,155,2021,1,1,1,4
2021-01-05,26,1134,11499,387,1752,174,2021,1,1,1,5
2021-01-06,20,1143,11583,590,1496,101,2021,1,1,1,6
2021-01-07,20,1134,11615,362,1766,147,2021,1,1,1,7
2021-01-08,26,1124,11608,274,1768,150,2021,1,1,2,8
2021-01-09,15,1094,11568,421,1634,132,2021,1,1,2,9
2021-01-10,5,1080,11530,518,1467,44,2021,1,1,2,10
2021-01-11,28,1100,11526,446,1897,177,2021,1,1,2,11
2021-01-12,23,1124,11503,419,1646,144,2021,1,1,2,12
2021-01-13,29,1132,11562,268,1743,148,2021,1,1,2,13
2021-01-14,22,1146,11681,286,1819,160,2021,1,1,2,14
2021-01-15,24,1152,11653,350,1621,149,2021,1,1,3,15
2021-01-16,13,1130,11669,393,1548,120,2021,1,1,3,16
2021-01-17,6,1118,11689,550,1457,37,2021,1,1,3,17
2021-01-18,29,1113,11782,392,1883,162,2021,1,1,3,18
2021-01-19,27,1120,11791,459,1779,148,2021,1,1,3,19
2021-01-20,26,1132,11789,331,1880,156,2021,1,1,3,20
2021-01-21,21,1148,11894,340,1780,144,2021,1,1,3,21
2021-01-22,13,1169,11851,393,1798,151,2021,1,1,4,22
2021-01-23,17,1143,11820,536,1851,128,2021,1,1,4,23
2021-01-24,8,1128,11837,517,1460,39,2021,1,1,4,24
2021-01-25,21,1122,11888,491,2079,201,2021,1,1,4,25
2021-01-26,14,1100,11797,333,1853,170,2021,1,1,4,26
2021-01-27,22,1122,11744,351,1834,162,2021,1,1,4,27
2021-01-28,27,1148,11810,395,1826,129,2021,1,1,4,28
2021-01-29,39,1141,11816,697,1705,198,2021,1,1,5,29
2021-01-30,13,1114,11796,506,1624,119,2021,1,1,5,30
2021-01-31,15,1090,11759,503,1492,48,2021,1,1,5,31
2021-02-01,31,1088,11728,421,2028,156,2021,1,2,5,1
2021-02-02,28,1089,11628,430,1801,178,2021,1,2,5,2
2021-02-03,25,1112,11612,431,1766,173,2021,1,2,5,3
2021-02-04,28,1114,11662,544,1784,153,2021,1,2,5,4
2021-02-05,30,1127,11839,453,1694,145,2021,1,2,6,5
2021-02-06,16,1104,11843,587,1712,124,2021,1,2,6,6
2021-02-07,6,1085,11823,450,1522,56,2021,1,2,6,7
2021-02-08,34,1073,11782,540,1957,194,2021,1,2,6,8
2021-02-09,30,1063,11817,426,1778,148,2021,1,2,6,9
2021-02-10,21,1079,11797,468,1798,155,2021,1,2,6,10
2021-02-11,22,1099,11813,346,1892,137,2021,1,2,6,11
2021-02-12,21,1115,11757,360,1711,144,2021,1,2,7,12
2021-02-13,23,1085,11808,499,1720,130,2021,1,2,7,13
2021-02-14,10,1060,11832,568,1475,58,2021,1,2,7,14
2021-02-15,26,1057,11831,489,2090,186,2021,1,2,7,15
2021-02-16,17,1065,11819,445,1924,159,2021,1,2,7,16
2021-02-17,23,1084,11893,458,1802,166,2021,1,2,7,17
2021-02-18,20,1103,11945,398,1847,147,2021,1,2,7,18
2021-02-19,42,1116,11956,259,1688,158,2021,1,2,8,19
2021-02-20,14,1090,11926,400,1707,119,2021,1,2,8,20
2021-02-21,12,1063,11911,458,1368,58,2021,1,2,8,21
2021-02-22,30,1084,11942,409,2131,195,2021,1,2,8,22
2021-02-23,21,1077,12009,441,1983,182,2021,1,2,8,23
2021-02-24,34,1070,11986,431,1812,204,2021,1,2,8,24
2021-02-25,27,1119,12093,327,1797,169,2021,1,2,8,25
2021-02-26,35,1135,12159,411,1674,167,2021,1,2,9,26
2021-02-27,20,1105,12211,579,1629,129,2021,1,2,9,27
2021-02-28,17,1076,12209,591,1425,65,2021,1,2,9,28
2021-03-01,37,1070,12229,454,1874,182,2021,1,3,9,1
2021-03-02,30,1087,12211,327,1554,170,2021,1,3,9,2
2021-03-03,32,1089,12318,405,1392,181,2021,1,3,9,3
2021-03-04,33,1100,12363,542,1323,144,2021,1,3,9,4
2021-03-05,22,1113,12406,356,1417,162,2021,1,3,10,5
2021-03-06,23,1081,12429,544,1607,135,2021,1,3,10,6
2021-03-07,9,1060,12442,627,1482,68,2021,1,3,10,7
2021-03-08,30,1013,12482,455,1960,192,2021,1,3,10,8
2021-03-09,28,1048,12552,419,1698,163,2021,1,3,10,9
2021-03-10,22,1074,12554,360,1634,153,2021,1,3,10,10
2021-03-11,26,1103,12695,358,1697,162,2021,1,3,10,11
2021-03-12,22,1128,12789,531,1795,143,2021,1,3,11,12
2021-03-13,19,1086,12854,688,1663,131,2021,1,3,11,13
2021-03-14,10,1059,12877,697,1583,73,2021,1,3,11,14
2021-03-15,25,1055,12845,370,2052,192,2021,1,3,11,15
2021-03-16,18,1066,12842,549,1732,152,2021,1,3,11,16
2021-03-17,36,1084,12891,510,1781,171,2021,1,3,11,17
2021-03-18,23,1097,13023,495,1661,165,2021,1,3,11,18
2021-03-19,24,1117,13124,382,1623,153,2021,1,3,12,19
2021-03-20,14,1093,13127,523,1559,115,2021,1,3,12,20
2021-03-21,8,1075,13170,631,1431,51,2021,1,3,12,21
2021-03-22,32,1064,13204,408,2048,181,2021,1,3,12,22
2021-03-23,20,1083,13190,392,1787,157,2021,1,3,12,23
2021-03-24,23,1104,13209,643,1710,175,2021,1,3,12,24
2021-03-25,17,1105,13144,507,1509,144,2021,1,3,12,25
2021-03-26,23,1136,13227,403,1416,136,2021,1,3,13,26
2021-03-27,13,1102,13191,546,1459,106,2021,1,3,13,27
2021-03-28,8,1087,13156,479,1262,48,2021,1,3,13,28
2021-03-29,18,1087,13317,403,1616,172,2021,1,3,13,29
2021-03-30,17,1113,13606,380,1521,131,2021,1,3,13,30
2021-03-31,29,1097,13678,501,1421,163,2021,1,3,13,31
2021-04-01,16,1105,13788,372,1263,148,2021,2,4,13,1
2021-04-02,3,1103,13878,525,1212,81,2021,2,4,14,2
2021-04-03,15,1061,13746,395,1171,107,2021,2,4,14,3
2021-04-04,5,1045,13806,579,1033,50,2021,2,4,14,4
2021-04-05,8,1026,13795,626,1292,78,2021,2,4,14,5
2021-04-06,28,1011,13850,646,1696,163,2021,2,4,14,6
2021-04-07,24,1030,14033,330,1566,179,2021,2,4,14,7
2021-04-08,22,1047,14192,277,1506,171,2021,2,4,14,8
2021-04-09,30,1062,14261,364,1499,177,2021,2,4,15,9
2021-04-10,19,1036,14302,322,1325,123,2021,2,4,15,10
2021-04-11,9,1015,14284,493,1307,54,2021,2,4,15,11
2021-04-12,17,1041,14309,480,1737,190,2021,2,4,15,12
2021-04-13,17,1067,14285,679,1506,133,2021,2,4,15,13
2021-04-14,20,1077,14304,430,1529,163,2021,2,4,15,14
2021-04-15,22,1087,14356,521,1496,142,2021,2,4,15,15
2021-04-16,25,1111,14391,736,1546,150,2021,2,4,16,16
2021-04-17,11,1103,14382,513,1313,102,2021,2,4,16,17
2021-04-18,13,1077,14345,557,1181,63,2021,2,4,16,18
2021-04-19,25,1054,14377,445,1660,162,2021,2,4,16,19
2021-04-20,16,1048,14450,465,1588,154,2021,2,4,16,20
2021-04-21,31,1059,14479,490,1547,178,2021,2,4,16,21
2021-04-22,19,1073,14440,395,1463,149,2021,2,4,16,22
2021-04-23,18,1109,14388,415,1504,158,2021,2,4,17,23
2021-04-24,10,1075,14437,410,1273,118,2021,2,4,17,24
2021-04-25,6,1063,14461,540,1218,52,2021,2,4,17,25
2021-04-26,33,1093,14685,425,1697,179,2021,2,4,17,26
2021-04-27,34,1113,14705,510,1694,154,2021,2,4,17,27
2021-04-28,23,1131,14790,538,1506,166,2021,2,4,17,28
2021-04-29,21,1150,14808,416,1579,173,2021,2,4,17,29
2021-04-30,23,1187,14775,502,1513,143,2021,2,4,18,30
2021-05-01,7,1176,14790,569,1264,59,2021,2,5,18,1
2021-05-02,10,1154,14816,709,1292,50,2021,2,5,18,2
2021-05-03,24,1155,14776,404,1629,156,2021,2,5,18,3
2021-05-04,27,1176,14750,738,1659,180,2021,2,5,18,4
2021-05-05,29,1194,14713,655,1707,168,2021,2,5,18,5
2021-05-06,28,1192,14698,633,1651,189,2021,2,5,18,6
2021-05-07,20,1228,14646,509,1598,151,2021,2,5,19,7
2021-05-08,11,1217,14628,528,1301,116,2021,2,5,19,8
2021-05-09,6,1198,14638,387,1216,58,2021,2,5,19,9
2021-05-10,23,1183,14569,650,1737,202,2021,2,5,19,10
2021-05-11,25,1189,14608,604,1712,171,2021,2,5,19,11
2021-05-12,28,1222,14629,621,1591,173,2021,2,5,19,12
2021-05-13,12,1207,14630,603,1517,127,2021,2,5,19,13
2021-05-14,29,1222,14710,511,1683,188,2021,2,5,20,14
2021-05-15,13,1237,14746,615,1287,101,2021,2,5,20,15
2021-05-16,17,1198,14733,637,1246,82,2021,2,5,20,16
2021-05-17,30,1191,14733,563,1934,191,2021,2,5,20,17
2021-05-18,38,1197,14755,602,1648,202,2021,2,5,20,18
2021-05-19,34,1219,14860,402,1786,201,2021,2,5,20,19
2021-05-20,25,1238,14921,678,1716,164,2021,2,5,20,20
2021-05-21,26,1262,15050,458,1547,202,2021,2,5,21,21
2021-05-22,14,1246,15031,665,1493,126,2021,2,5,21,22
2021-05-23,12,1230,15060,843,1214,66,2021,2,5,21,23
2021-05-24,4,1211,15080,676,1807,153,2021,2,5,21,24
2021-05-25,34,1203,15025,475,1843,210,2021,2,5,21,25
2021-05-26,32,1230,14987,539,1820,208,2021,2,5,21,26
2021-05-27,24,1245,14976,601,1730,195,2021,2,5,21,27
2021-05-28,38,1248,14984,597,1603,207,2021,2,5,22,28
2021-05-29,16,1251,15066,536,1385,98,2021,2,5,22,29
2021-05-30,10,1231,15078,594,1194,59,2021,2,5,22,30
2021-05-31,29,1218,15092,536,1934,241,2021,2,5,22,31
2021-06-01,35,1208,15140,357,1673,198,2021,2,6,22,1
2021-06-02,33,1237,15084,508,1673,193,2021,2,6,22,2
2021-06-03,19,1260,15135,465,1641,151,2021,2,6,22,3
2021-06-04,25,1287,15061,497,1636,182,2021,2,6,23,4
2021-06-05,14,1254,15076,679,1502,124,2021,2,6,23,5
2021-06-06,11,1230,15098,623,1285,78,2021,2,6,23,6
2021-06-07,27,1242,15182,487,1844,212,2021,2,6,23,7
2021-06-08,28,1264,15145,547,1788,197,2021,2,6,23,8
2021-06-09,33,1298,15105,514,1794,204,2021,2,6,23,9
2021-06-10,19,1321,15246,521,1826,171,2021,2,6,23,10
2021-06-11,22,1340,15300,343,1599,163,2021,2,6,24,11
2021-06-12,16,1317,15331,350,1420,113,2021,2,6,24,12
2021-06-13,12,1290,15344,568,1195,70,2021,2,6,24,13
2021-06-14,30,1315,15448,525,2021,231,2021,2,6,24,14
2021-06-15,27,1321,15485,433,1824,212,2021,2,6,24,15
2021-06-16,25,1332,15611,435,1844,200,2021,2,6,24,16
2021-06-17,26,1365,15558,388,1824,186,2021,2,6,24,17
2021-06-18,23,1395,15644,487,1699,193,2021,2,6,25,18
2021-06-19,17,1367,15699,843,1546,149,2021,2,6,25,19
2021-06-20,7,1346,15735,623,1276,72,2021,2,6,25,20
2021-06-21,29,1341,15667,714,1986,218,2021,2,6,25,21
2021-06-22,36,1345,15820,528,1842,217,2021,2,6,25,22
2021-06-23,27,1357,15888,552,1680,216,2021,2,6,25,23
2021-06-24,24,1398,15886,533,1736,177,2021,2,6,25,24
2021-06-25,26,1444,15878,633,1740,185,2021,2,6,26,25
2021-06-26,20,1422,15955,592,1508,131,2021,2,6,26,26
2021-06-27,6,1396,15910,678,1337,96,2021,2,6,26,27
2021-06-28,30,1422,15908,686,2093,224,2021,2,6,26,28
2021-06-29,31,1438,16055,794,1987,216,2021,2,6,26,29
2021-06-30,24,1439,16114,585,1944,220,2021,2,6,26,30
2021-07-01,33,1436,16184,677,1739,216,2021,3,7,26,1
2021-07-02,33,1463,16243,622,1621,194,2021,3,7,27,2
2021-07-03,18,1449,16284,487,1378,152,2021,3,7,27,3
2021-07-04,6,1429,16248,661,1294,69,2021,3,7,27,4
2021-07-05,36,1433,16325,551,1904,228,2021,3,7,27,5
2021-07-06,30,1423,16419,677,1733,201,2021,3,7,27,6
2021-07-07,32,1421,16514,570,1711,202,2021,3,7,27,7
2021-07-08,25,1395,16443,574,1691,205,2021,3,7,27,8
2021-07-09,26,1410,16514,442,1576,194,2021,3,7,28,9
2021-07-10,16,1379,16514,548,1436,145,2021,3,7,28,10
2021-07-11,11,1362,16562,630,1199,72,2021,3,7,28,11
2021-07-12,31,1347,16633,597,1783,210,2021,3,7,28,12
2021-07-13,35,1330,16690,574,1707,206,2021,3,7,28,13
2021-07-14,36,1328,16700,792,1785,208,2021,3,7,28,14
2021-07-15,31,1319,16658,517,1696,202,2021,3,7,28,15
2021-07-16,31,1344,16584,555,1595,183,2021,3,7,29,16
2021-07-17,22,1320,16655,726,1417,135,2021,3,7,29,17
2021-07-18,11,1298,16695,735,1245,71,2021,3,7,29,18
2021-07-19,30,1290,16748,607,1940,224,2021,3,7,29,19
2021-07-20,34,1282,16740,581,1719,209,2021,3,7,29,20
2021-07-21,27,1316,16632,475,1762,198,2021,3,7,29,21
2021-07-22,30,1340,16725,779,1676,192,2021,3,7,29,22
2021-07-23,25,1374,16702,716,1598,167,2021,3,7,30,23
2021-07-24,21,1363,16728,540,1456,147,2021,3,7,30,24
2021-07-25,11,1339,16778,871,1443,65,2021,3,7,30,25
2021-07-26,27,1334,16872,785,1952,204,2021,3,7,30,26
2021-07-27,24,1327,16933,687,1913,186,2021,3,7,30,27
2021-07-28,31,1327,16949,696,1974,190,2021,3,7,30,28
2021-07-29,23,1336,16959,700,1802,195,2021,3,7,30,29
2021-07-30,34,1369,16980,542,1684,178,2021,3,7,31,30
2021-07-31,19,1354,17083,816,1439,139,2021,3,7,31,31
2021-08-01,11,1332,17105,776,1352,55,2021,3,8,31,1
2021-08-02,29,1315,17083,832,2023,224,2021,3,8,31,2
2021-08-03,39,1320,17179,722,1851,205,2021,3,8,31,3
2021-08-04,38,1367,17190,726,1936,238,2021,3,8,31,4
2021-08-05,30,1387,17149,807,1797,178,2021,3,8,31,5
2021-08-06,32,1394,17219,705,1676,194,2021,3,8,32,6
2021-08-07,28,1361,17352,835,1486,150,2021,3,8,32,7
2021-08-08,11,1337,17345,997,1330,57,2021,3,8,32,8
2021-08-09,32,1333,17368,680,1981,215,2021,3,8,32,9
2021-08-10,35,1330,17481,956,1932,191,2021,3,8,32,10
2021-08-11,32,1337,17550,566,1670,205,2021,3,8,32,11
2021-08-12,22,1545,17117,736,1733,183,2021,3,8,32,12
2021-08-13,30,1569,17144,507,1627,166,2021,3,8,33,13
2021-08-14,30,1547,17177,618,1323,122,2021,3,8,33,14
2021-08-15,11,1523,17212,905,1182,64,2021,3,8,33,15
2021-08-16,39,1504,17287,896,2128,206,2021,3,8,33,16
2021-08-17,33,1514,17420,774,2027,209,2021,3,8,33,17
2021-08-18,29,1522,17429,960,2063,211,2021,3,8,33,18
2021-08-19,23,1553,17378,757,2030,202,2021,3,8,33,19
2021-08-20,28,1630,17443,722,1853,201,2021,3,8,34,20
2021-08-21,14,1637,17476,702,1587,118,2021,3,8,34,21
2021-08-22,17,1623,17479,923,1476,69,2021,3,8,34,22
2021-08-23,38,1635,17562,845,2200,226,2021,3,8,34,23
2021-08-24,32,1659,17556,829,2273,249,2021,3,8,34,24
2021-08-25,27,1692,17686,578,2168,236,2021,3,8,34,25
2021-08-26,41,1704,17775,1014,2184,222,2021,3,8,34,26
2021-08-27,29,1731,17707,846,2102,221,2021,3,8,35,27
2021-08-28,18,1729,17776,570,1725,163,2021,3,8,35,28
2021-08-29,5,1721,17790,1096,1596,71,2021,3,8,35,29
2021-08-30,39,1722,17721,812,2316,243,2021,3,8,35,30
2021-08-31,36,1748,17700,791,2244,233,2021,3,8,35,31
2021-09-01,39,1760,17755,695,2116,241,2021,3,9,35,1
2021-09-02,26,1797,17586,671,2223,231,2021,3,9,35,2
2021-09-03,38,1813,17492,609,2011,233,2021,3,9,36,3
2021-09-04,19,1785,17539,674,1833,164,2021,3,9,36,4
2021-09-05,15,1764,17568,820,1459,79,2021,3,9,36,5
2021-09-06,46,1800,17555,776,2401,269,2021,3,9,36,6
2021-09-07,47,1905,17687,951,2312,257,2021,3,9,36,7
2021-09-08,37,1946,17718,737,2215,254,2021,3,9,36,8
2021-09-09,40,2012,17453,833,2224,264,2021,3,9,36,9
2021-09-10,53,2110,17488,906,2157,285,2021,3,9,37,10
2021-09-11,29,2083,17529,981,1795,177,2021,3,9,37,11
2021-09-12,12,2055,17546,1023,1502,95,2021,3,9,37,12
2021-09-13,53,2057,17561,804,2402,279,2021,3,9,37,13
2021-09-14,38,2036,17592,790,2374,268,2021,3,9,37,14
2021-09-15,36,2061,17597,1087,2312,256,2021,3,9,37,15
2021-09-16,37,2114,17549,778,2307,256,2021,3,9,37,16
2021-09-17,47,2171,17477,830,2191,254,2021,3,9,38,17
2021-09-18,31,2145,17562,824,1814,172,2021,3,9,38,18
2021-09-19,15,2117,17596,932,1572,77,2021,3,9,38,19
2021-09-20,51,2128,17571,1023,2492,270,2021,3,9,38,20
2021-09-21,40,2170,17483,909,2356,247,2021,3,9,38,21
2021-09-22,42,2195,17557,902,2245,260,2021,3,9,38,22
2021-09-23,36,2217,17557,821,2296,249,2021,3,9,38,23
2021-09-24,47,2257,17532,777,2102,239,2021,3,9,39,24
2021-09-25,31,2236,17505,917,1915,155,2021,3,9,39,25
2021-09-26,21,2202,17563,1027,1671,94,2021,3,9,39,26
2021-09-27,40,2210,17549,834,2445,226,2021,3,9,39,27
2021-09-28,51,2249,17544,1071,2388,313,2021,3,9,39,28
2021-09-29,41,2287,17500,1004,2392,268,2021,3,9,39,29
2021-09-30,36,2303,17479,722,2300,263,2021,3,9,39,30
2021-10-01,37,2337,17456,870,2127,242,2021,4,10,40,1
2021-10-02,34,2289,17516,704,2030,182,2021,4,10,40,2
2021-10-03,31,2242,17619,1183,1615,128,2021,4,10,40,3
2021-10-04,46,2282,17649,766,2417,291,2021,4,10,40,4
2021-10-05,64,2300,17664,1064,2386,269,2021,4,10,40,5
2021-10-06,47,2333,17755,1134,2394,293,2021,4,10,40,6
2021-10-07,49,2411,17785,1031,2356,251,2021,4,10,40,7
2021-10-08,52,2453,17675,1012,2248,258,2021,4,10,41,8
2021-10-09,40,2402,17626,966,1894,197,2021,4,10,41,9
2021-10-10,29,2359,17702,1468,1576,114,2021,4,10,41,10
2021-10-11,58,2382,17727,1235,2498,268,2021,4,10,41,11
2021-10-12,59,2417,17698,1311,2218,252,2021,4,10,41,12
2021-10-13,55,2422,17694,1372,2399,263,2021,4,10,41,13
2021-10-14,75,2440,17736,1197,2382,283,2021,4,10,41,14
2021-10-15,45,2467,17652,1125,2246,265,2021,4,10,42,15
2021-10-16,41,2417,17684,1649,1968,200,2021,4,10,42,16
2021-10-17,21,2378,17707,1582,1732,98,2021,4,10,42,17
2021-10-18,43,2363,17668,1121,2593,306,2021,4,10,42,18
