dates,cars_sold,y_lag_7,y_lag_14,y_lag_21,y_lag_28,y_lag_49,y_lag_70,y_lag_84,y_lag_357,y_lag_665,y_lag_643,cars_online,avg_buyprice,bookmarks,opportunity,contracts,year,quarter,month,week,day,no_sales
2021-01-01,6,4,11,17,16,14,8,13,24,1,0,1182,11382,400,1121,30,2021,1,1,1,1,0
2021-01-02,14,4,9,14,10,7,4,5,6,2,0,1160,11351,347,1600,93,2021,1,1,1,2,0
2021-01-03,5,3,6,6,5,2,2,4,0,4,2,1142,11355,461,1450,40,2021,1,1,1,3,0
2021-01-04,26,25,19,17,26,18,18,12,24,5,1,1132,11428,422,1993,155,2021,1,1,1,4,0
2021-01-05,26,17,7,11,24,15,14,13,19,3,1,1134,11499,387,1752,174,2021,1,1,1,5,0
2021-01-06,20,29,14,17,16,10,13,20,16,5,4,1142,11576,590,1496,101,2021,1,1,1,6,0
2021-01-07,20,6,5,13,11,11,15,6,15,5,0,1132,11617,362,1766,147,2021,1,1,1,7,0
2021-01-08,26,6,4,11,17,8,4,12,20,6,0,1124,11608,274,1768,150,2021,1,1,2,8,0
2021-01-09,15,14,4,9,14,7,5,4,9,2,0,1094,11568,421,1634,132,2021,1,1,2,9,0
2021-01-10,5,5,3,6,6,2,3,2,1,0,1,1080,11530,518,1467,44,2021,1,1,2,10,0
2021-01-11,28,26,25,19,17,26,14,8,16,7,0,1100,11526,446,1897,177,2021,1,1,2,11,0
2021-01-12,23,26,17,7,11,16,21,15,19,3,6,1124,11503,419,1646,144,2021,1,1,2,12,0
2021-01-13,29,20,29,14,17,23,17,11,14,3,0,1131,11559,268,1743,148,2021,1,1,2,13,0
2021-01-14,22,20,6,5,13,21,13,11,13,4,7,1144,11693,286,1819,160,2021,1,1,2,14,0
2021-01-15,24,26,6,4,11,13,17,8,21,0,2,1151,11656,350,1621,149,2021,1,1,3,15,0
2021-01-16,13,15,14,4,9,10,11,4,9,1,1,1130,11669,393,1548,120,2021,1,1,3,16,0
2021-01-17,6,5,5,3,6,7,1,2,0,0,2,1117,11684,550,1457,37,2021,1,1,3,17,0
2021-01-18,29,28,26,25,19,22,16,18,28,1,3,1113,11782,392,1883,162,2021,1,1,3,18,0
2021-01-19,27,23,26,17,7,13,14,14,17,1,6,1120,11791,459,1779,148,2021,1,1,3,19,0
2021-01-20,26,29,20,29,14,17,16,13,17,1,6,1131,11782,331,1880,156,2021,1,1,3,20,0
2021-01-21,21,22,20,6,5,13,15,15,18,1,1,1148,11894,340,1780,144,2021,1,1,3,21,0
2021-01-22,13,24,26,6,4,16,14,4,8,1,4,1169,11851,393,1798,151,2021,1,1,4,22,0
2021-01-23,17,13,15,14,4,10,7,5,10,0,0,1143,11820,536,1851,128,2021,1,1,4,23,0
2021-01-24,8,6,5,5,3,5,2,3,0,0,0,1128,11837,517,1460,39,2021,1,1,4,24,0
2021-01-25,21,29,28,26,25,26,18,14,16,2,2,1122,11888,491,2079,201,2021,1,1,4,25,0
2021-01-26,14,27,23,26,17,24,15,21,16,1,7,1100,11797,333,1853,170,2021,1,1,4,26,0
2021-01-27,22,26,29,20,29,16,10,17,19,1,10,1122,11744,351,1834,162,2021,1,1,4,27,0
2021-01-28,27,21,22,20,6,11,11,13,15,4,8,1148,11810,395,1826,129,2021,1,1,4,28,0
2021-01-29,39,13,24,26,6,17,8,17,22,0,4,1140,11821,697,1705,198,2021,1,1,5,29,0
2021-01-30,13,17,13,15,14,14,7,11,12,0,0,1114,11796,506,1624,119,2021,1,1,5,30,0
2021-01-31,15,8,6,5,5,6,2,1,0,0,5,1090,11759,503,1492,48,2021,1,1,5,31,0
2021-02-01,31,21,29,28,26,17,26,16,7,1,9,1088,11728,421,2028,156,2021,1,2,5,1,0
2021-02-02,28,14,27,23,26,11,16,14,18,0,2,1089,11628,430,1801,178,2021,1,2,5,2,0
2021-02-03,25,22,26,29,20,17,23,16,22,6,3,1112,11612,431,1766,173,2021,1,2,5,3,0
2021-02-04,28,27,21,22,20,13,21,15,6,0,8,1113,11657,544,1784,153,2021,1,2,5,4,0
2021-02-05,30,39,13,24,26,11,13,14,15,7,4,1127,11839,453,1694,145,2021,1,2,6,5,0
2021-02-06,16,13,17,13,15,9,10,7,6,2,1,1104,11843,587,1712,124,2021,1,2,6,6,0
2021-02-07,6,15,8,6,5,6,7,2,1,1,10,1085,11823,450,1522,56,2021,1,2,6,7,0
2021-02-08,34,31,21,29,28,19,22,18,18,2,6,1073,11782,540,1957,194,2021,1,2,6,8,0
2021-02-09,30,28,14,27,23,7,13,15,21,3,2,1063,11817,426,1778,148,2021,1,2,6,9,0
2021-02-10,21,25,22,26,29,14,17,10,13,6,6,1079,11797,468,1798,155,2021,1,2,6,10,0
2021-02-11,22,28,27,21,22,5,13,11,14,6,8,1099,11813,346,1892,137,2021,1,2,6,11,0
2021-02-12,21,30,39,13,24,4,16,8,17,1,4,1114,11759,360,1711,144,2021,1,2,7,12,0
2021-02-13,23,16,13,17,13,4,10,7,4,4,0,1085,11808,499,1720,130,2021,1,2,7,13,0
2021-02-14,10,6,15,8,6,3,5,2,0,0,4,1060,11832,568,1475,58,2021,1,2,7,14,0
2021-02-15,26,34,31,21,29,25,26,26,10,0,6,1057,11831,489,2090,186,2021,1,2,7,15,0
2021-02-16,17,30,28,14,27,17,24,16,9,2,5,1065,11819,445,1924,159,2021,1,2,7,16,0
2021-02-17,23,21,25,22,26,29,16,23,19,7,4,1083,11881,458,1802,166,2021,1,2,7,17,0
2021-02-18,20,22,28,27,21,6,11,21,14,10,2,1102,11948,398,1847,147,2021,1,2,7,18,0
2021-02-19,42,21,30,39,13,6,17,13,14,8,1,1115,11950,259,1688,158,2021,1,2,8,19,0
2021-02-20,14,23,16,13,17,14,14,10,9,4,0,1087,11896,400,1707,119,2021,1,2,8,20,0
2021-02-21,12,10,6,15,8,5,6,7,0,0,6,1063,11911,458,1368,58,2021,1,2,8,21,0
2021-02-22,30,26,34,31,21,26,17,22,9,5,5,1083,11939,409,2131,195,2021,1,2,8,22,0
2021-02-23,21,17,30,28,14,26,11,13,13,9,14,1077,12009,441,1983,182,2021,1,2,8,23,0
2021-02-24,34,23,21,25,22,20,17,17,19,2,7,1068,11968,431,1812,204,2021,1,2,8,24,0
2021-02-25,27,20,22,28,27,20,13,13,7,3,7,1118,12095,327,1797,169,2021,1,2,8,25,0
2021-02-26,35,42,21,30,39,26,11,16,14,8,0,1134,12165,411,1674,167,2021,1,2,9,26,0
2021-02-27,20,14,23,16,13,15,9,10,4,4,0,1103,12220,579,1629,129,2021,1,2,9,27,0
2021-02-28,17,12,10,6,15,5,6,5,0,1,9,1076,12209,591,1425,65,2021,1,2,9,28,0
