week,cars_reserved_de,bookmarks_de
2019-01,11,55
2019-02,12,54
2019-03,14,35
2019-04,24,19
2019-05,13,55
2019-06,20,28
2019-07,25,37
2019-08,22,20
2019-09,20,37
2019-10,25,43
2019-11,28,67
2019-12,12,86
2019-13,6,44
2019-14,7,12
2019-15,18,47
2019-16,20,53
2019-17,36,74
2019-18,37,88
2019-19,30,67
2019-20,24,71
2019-21,42,76
2019-22,34,89
2019-23,30,61
2019-24,52,274
2019-25,50,96
2019-26,50,82
2019-27,68,142
2019-28,54,150
2019-29,40,108
2019-30,46,36
2019-31,72,78
2019-32,142,153
2019-33,62,161
2019-34,81,90
2019-35,90,115
2019-36,85,117
2019-37,75,85
2019-38,55,120
2019-39,82,106
2019-40,77,151
2019-41,93,75
2019-42,75,103
2019-43,91,146
2019-44,73,105
2019-45,69,171
2019-46,88,98
2019-47,75,106
2019-48,79,106
2019-49,92,130
2019-50,70,172
2019-51,63,137
2019-52,21,109
2019-53,1,3
2020-01,46,125
2020-02,124,120
2020-03,96,351
2020-04,102,190
2020-05,85,213
2020-06,93,141
2020-07,89,159
2020-08,67,183
2020-09,78,148
2020-10,67,189
2020-11,25,89
2020-12,5,71
2020-13,52,128
2020-14,32,174
2020-15,25,102
2020-16,18,44
2020-17,22,67
2020-18,31,69
2020-19,45,97
2020-20,40,107
2020-21,30,77
2020-22,31,66
2020-23,46,105
2020-24,31,94
2020-25,40,38
2020-26,47,186
2020-27,67,104
2020-28,71,96
2020-29,49,109
2020-30,62,154
2020-31,57,135
2020-32,59,88
2020-33,45,182
2020-34,67,92
2020-35,78,166
2020-36,57,154
2020-37,69,134
2020-38,78,76
2020-39,50,158
2020-40,77,158
2020-41,71,114
2020-42,67,188
2020-43,68,291
2020-44,75,752
2020-45,89,2289
2020-46,87,1769
2020-47,80,450
2020-48,109,1829
2020-49,111,2121
2020-50,92,1874
2020-51,82,1915
2020-52,72,3168
2020-53,35,720
2021-01,117,2969
2021-02,148,2632
2021-03,146,2815
2021-04,122,3016
2021-05,179,3532
2021-06,159,3270
2021-07,140,3217
2021-08,180,2725
2021-09,204,3309
2021-10,160,3119
2021-11,153,3840
2021-12,138,3486
2021-13,124,3084
2021-14,105,3378
2021-15,134,3289
2021-16,140,3601
2021-17,145,3254
2021-18,148,4210
2021-19,125,3902
2021-20,186,4008
2021-21,146,4257
2021-22,180,3593
2021-23,157,3868
2021-24,158,3042
2021-25,163,4280
2021-26,170,4645
2021-27,180,4142
2021-28,186,4100
2021-29,185,4458
2021-30,162,4995
2021-31,200,5221
2021-32,192,5475
2021-33,195,5417
2021-34,197,5613
2021-35,192,5481
2021-36,242,5400
2021-37,258,6369
2021-38,262,6241
2021-39,267,6352
2021-40,308,6752
2021-41,368,8561
2021-42,319,9578
2021-43,360,10290
2021-44,395,12323
2021-45,384,10629
2021-46,399,11359
2021-47,363,11690
2021-48,359,10461
2021-49,337,12352
2021-50,359,11700
2021-51,257,10686
2021-52,288,12987
2021-53,24,1360
2022-01,365,16438
2022-02,426,15715
2022-03,392,14938
2022-04,372,15876
2022-05,387,13664
2022-06,386,14225
2022-07,366,13675
2022-08,385,13745
2022-09,363,11726
2022-10,283,11726
2022-11,308,12128
2022-12,300,10898
2022-13,305,11752
2022-14,354,12180
2022-15,307,11857
2022-16,289,12616
2022-17,384,12113
2022-18,355,12713
2022-19,409,12369
2022-20,379,12345
2022-21,328,12332
2022-22,365,13185
2022-23,347,13030
2022-24,391,12357
2022-25,405,13353
2022-26,436,13870
2022-27,437,12912
2022-28,417,13538
2022-29,387,11455
2022-30,446,12132
2022-31,494,12168
2022-32,476,11590
2022-33,477,11089
2022-34,453,11056
2022-35,443,11841
2022-36,461,12012
2022-37,474,12118
2022-38,479,11748
2022-39,531,12803
2022-40,394,12263
2022-41,426,13774
2022-42,450,14548
2022-43,417,15155
2022-44,421,14947
2022-45,452,13816
2022-46,379,15180
2022-47,418,14643
2022-48,408,14918
2022-49,414,14932
2022-50,420,14102
2022-51,368,14586
2022-52,379,16400
2022-53,31,1712
2023-01,516,17848
2023-02,466,17535
2023-03,509,18589
2023-04,461,17429
2023-05,469,17210
2023-06,430,15308
2023-07,390,15360
2023-08,375,14767
2023-09,366,14353
2023-10,269,13937
2023-11,268,14826
2023-12,324,15592
2023-13,320,14818
2023-14,247,13746
2023-15,301,14718
2023-16,373,14555
2023-17,363,17323
2023-18,298,15755
2023-19,345,15411
2023-20,279,14887
2023-21,314,14515
2023-22,263,13501
2023-23,311,12894
2023-24,323,11995
2023-25,295,13435
2023-26,299,14181
2023-27,350,13296
2023-28,323,13905
2023-29,356,14984
2023-30,341,14877
2023-31,337,14381
2023-32,357,15133
2023-33,388,17760
2023-34,400,18592
2023-35,440,18584
2023-36,473,18213
2023-37,460,19400
2023-38,410,18835
2023-39,425,18273
2023-40,360,18418
2023-41,431,17180
2023-42,377,17927
2023-43,402,19838
2023-44,407,21151
2023-45,497,21517
2023-46,498,21185
2023-47,497,20543
2023-48,461,20135
2023-49,483,20058
2023-50,357,19984
2023-51,372,20041
2023-52,263,17667
2023-53,0,1936
2024-01,404,20390
2024-02,475,20364
2024-03,415,22139
2024-04,425,20976
2024-05,480,22955
2024-06,483,21838
2024-07,441,23229
2024-08,543,22410
2024-09,518,22873
2024-10,464,23357
2024-11,367,10850
