day,cars_reserved_de,bookmarks_de
2019-01-01,0,3
2019-01-02,3,1
2019-01-03,1,5
2019-01-04,4,1
2019-01-05,1,22
2019-01-06,0,19
2019-01-07,2,4
2019-01-08,1,30
2019-01-09,3,3
2019-01-10,3,12
2019-01-11,1,0
2019-01-12,1,2
2019-01-13,0,7
2019-01-14,3,0
2019-01-15,4,2
2019-01-16,0,2
2019-01-17,5,0
2019-01-18,2,1
2019-01-19,2,4
2019-01-20,0,3
2019-01-21,1,23
2019-01-22,3,2
2019-01-23,4,2
2019-01-24,5,5
2019-01-25,4,2
2019-01-26,1,5
2019-01-27,1,0
2019-01-28,6,3
2019-01-29,0,3
2019-01-30,3,1
2019-01-31,2,1
2019-02-01,4,0
2019-02-02,0,22
2019-02-03,0,28
2019-02-04,4,0
2019-02-05,3,3
2019-02-06,6,5
2019-02-07,4,13
2019-02-08,2,0
2019-02-09,1,0
2019-02-10,1,5
2019-02-11,3,2
2019-02-12,6,12
2019-02-13,4,4
2019-02-14,1,0
2019-02-15,3,5
2019-02-16,3,1
2019-02-17,2,6
2019-02-18,6,9
2019-02-19,5,3
2019-02-20,4,2
2019-02-21,3,1
2019-02-22,4,11
2019-02-23,0,0
2019-02-24,2,3
2019-02-25,4,0
2019-02-26,5,1
2019-02-27,3,4
2019-02-28,7,4
2019-03-01,1,0
2019-03-02,2,6
2019-03-03,1,18
2019-03-04,1,4
2019-03-05,1,2
2019-03-06,9,5
2019-03-07,3,4
2019-03-08,1,1
2019-03-09,2,8
2019-03-10,4,15
2019-03-11,5,8
2019-03-12,3,7
2019-03-13,5,3
2019-03-14,5,16
2019-03-15,6,5
2019-03-16,2,9
2019-03-17,0,11
2019-03-18,7,16
2019-03-19,3,4
2019-03-20,3,3
2019-03-21,4,33
2019-03-22,0,11
2019-03-23,1,11
2019-03-24,0,4
2019-03-25,1,20
2019-03-26,1,21
2019-03-27,1,1
2019-03-28,1,3
2019-03-29,1,4
2019-03-30,0,4
2019-03-31,0,9
2019-04-01,2,2
2019-04-02,1,0
2019-04-03,1,7
2019-04-04,4,1
2019-04-05,0,0
2019-04-06,0,1
2019-04-07,0,2
2019-04-08,1,1
2019-04-09,0,5
2019-04-10,6,0
2019-04-11,0,7
2019-04-12,7,10
2019-04-13,2,11
2019-04-14,1,8
2019-04-15,2,6
2019-04-16,3,14
2019-04-17,6,10
2019-04-18,6,2
2019-04-19,1,4
2019-04-20,4,10
2019-04-21,0,6
2019-04-22,0,7
2019-04-23,2,12
2019-04-24,7,7
2019-04-25,10,5
2019-04-26,8,16
2019-04-27,4,3
2019-04-28,0,13
2019-04-29,5,18
2019-04-30,9,6
2019-05-01,2,8
2019-05-02,3,14
2019-05-03,8,3
2019-05-04,4,40
2019-05-05,1,8
2019-05-06,10,9
2019-05-07,6,12
2019-05-08,2,5
2019-05-09,6,11
2019-05-10,8,13
2019-05-11,4,9
2019-05-12,0,1
2019-05-13,4,16
2019-05-14,6,2
2019-05-15,5,9
2019-05-16,4,4
2019-05-17,2,30
2019-05-18,1,5
2019-05-19,0,19
2019-05-20,6,2
2019-05-21,5,7
2019-05-22,14,4
2019-05-23,7,1
2019-05-24,7,1
2019-05-25,0,2
2019-05-26,0,40
2019-05-27,9,21
2019-05-28,9,8
2019-05-29,8,36
2019-05-30,1,9
2019-05-31,5,6
2019-06-01,1,6
2019-06-02,0,1
2019-06-03,10,23
2019-06-04,12,8
2019-06-05,9,4
2019-06-06,7,19
2019-06-07,2,12
2019-06-08,0,4
2019-06-09,0,6
2019-06-10,0,8
2019-06-11,9,7
