week,cars_reserved_de,bookmarks_de
2019-01,9,59
2019-02,11,58
2019-03,16,12
2019-04,19,39
2019-05,15,58
2019-06,21,26
2019-07,22,30
2019-08,24,29
2019-09,23,33
2019-10,21,39
2019-11,26,59
2019-12,18,82
2019-13,5,62
2019-14,8,13
2019-15,17,42
2019-16,22,52
2019-17,31,63
2019-18,32,97
2019-19,36,60
2019-20,22,85
2019-21,39,57
2019-22,33,87
2019-23,40,76
2019-24,43,245
2019-25,45,131
2019-26,56,80
2019-27,66,128
2019-28,52,162
2019-29,39,94
2019-30,54,53
2019-31,44,67
2019-32,165,132
2019-33,59,178
2019-34,79,95
2019-35,83,121
2019-36,87,114
2019-37,82,90
2019-38,58,106
2019-39,77,114
2019-40,74,156
2019-41,93,69
2019-42,71,90
2019-43,86,162
2019-44,85,107
2019-45,69,171
2019-46,85,92
2019-47,74,108
2019-48,82,110
2019-49,86,125
2019-50,79,164
2019-51,64,134
2019-52,26,106
2020-01,27,97
2020-02,108,144
2020-03,104,335
2020-04,92,184
2020-05,98,230
2020-06,100,140
2020-07,75,145
2020-08,87,173
2020-09,75,146
2020-10,66,229
2020-11,41,87
2020-12,12,86
2020-13,24,65
2020-14,46,211
2020-15,32,122
2020-16,19,59
2020-17,18,47
2020-18,25,77
2020-19,53,105
2020-20,37,97
2020-21,26,63
2020-22,40,66
2020-23,30,109
2020-24,42,87
2020-25,38,64
2020-26,44,172
2020-27,56,101
2020-28,73,102
2020-29,53,102
2020-30,57,142
2020-31,67,147
2020-32,56,79
2020-33,48,137
2020-34,52,151
2020-35,85,161
2020-36,51,124
2020-37,69,165
2020-38,75,87
2020-39,59,153
2020-40,65,113
2020-41,82,130
2020-42,69,183
2020-43,59,257
2020-44,72,465
2020-45,94,2069
2020-46,84,2242
2020-47,71,349
2020-48,116,1507
2020-49,96,2187
2020-50,114,1964
2020-51,84,1660
2020-52,56,2928
2020-53,102,2811
2021-01,138,2974
2021-02,145,2712
2021-03,141,2968
2021-04,151,3276
2021-05,164,3316
2021-06,161,3207
2021-07,154,2907
2021-08,184,3189
2021-09,186,3255
2021-10,157,3508
2021-11,148,3460
2021-12,136,3378
2021-13,103,3155
2021-14,140,3058
2021-15,125,3916
2021-16,125,3160
2021-17,151,3669
2021-18,145,3854
2021-19,147,4241
2021-20,179,4211
2021-21,158,4018
2021-22,166,3665
2021-23,157,3330
2021-24,155,3734
2021-25,168,4230
2021-26,175,4512
2021-27,176,3992
2021-28,197,4496
2021-29,178,4569
2021-30,169,5002
2021-31,207,5624
2021-32,192,4968
2021-33,183,5734
2021-34,190,5778
2021-35,212,5072
2021-36,264,6207
2021-37,257,6045
2021-38,268,6376
2021-39,270,6388
2021-40,327,7441
2021-41,354,9471
2021-42,323,9432
2021-43,379,11168
2021-44,399,12244
2021-45,384,11102
2021-46,371,10711
2021-47,376,11439
2021-48,356,10947
2021-49,348,12731
2021-50,322,11310
2021-51,224,10146
2021-52,291,14348
2022-01,411,16638
2022-02,431,15836
2022-03,378,15227
2022-04,385,15263
2022-05,365,13807
2022-06,401,13773
2022-07,375,13680
2022-08,365,13455
2022-09,362,11212
2022-10,271,11859
2022-11,309,11669
2022-12,310,10986
2022-13,298,12128
2022-14,366,12333
2022-15,294,11282
2022-16,300,13384
2022-17,380,11974
2022-18,368,12713
2022-19,408,11850
2022-20,357,12878
2022-21,345,12295
2022-22,348,12965
2022-23,367,13002
2022-24,390,12369
2022-25,410,13765
2022-26,440,13599
2022-27,444,13365
2022-28,411,12758
2022-29,380,11481
2022-30,454,12511
2022-31,492,11690
2022-32,467,11446
2022-33,482,11000
2022-34,456,11269
2022-35,448,12004
2022-36,456,12153
2022-37,473,12159
2022-38,503,11798
2022-39,508,12969
2022-40,384,8487
2022-41,433,17980
2022-42,457,15494
2022-43,413,13904
2022-44,424,15265
2022-45,440,13806
2022-46,390,15005
2022-47,393,14666
2022-48,427,15486
2022-49,413,14470
2022-50,424,13963
2022-51,338,14215
2022-52,393,16355
2023-01,520,18500
2023-02,463,17618
2023-03,503,18447
2023-04,475,17710
2023-05,463,16760
2023-06,416,15412
2023-07,403,15098
2023-08,366,14785
2023-09,375,14402
2023-10,234,13920
2023-11,267,14939
2023-12,325,15271
2023-13,319,14918
2023-14,247,13188
2023-15,301,15435
2023-16,373,14463
2023-17,363,17369
2023-18,299,15841
2023-19,345,15238
2023-20,279,14601
2023-21,314,14484
2023-22,263,13560
2023-23,311,12736
2023-24,323,12159
2023-25,295,13488
2023-26,299,14209
2023-27,350,13225
2023-28,324,13760
2023-29,355,15240
2023-30,341,15023
2023-31,337,14294
2023-32,357,15250
2023-33,388,17963
2023-34,400,18698
2023-35,440,18737
2023-36,473,18365
2023-37,464,19434
2023-38,406,18875
2023-39,425,17764
2023-40,360,18620
2023-41,431,16803
2023-42,377,19102
2023-43,402,19825
2023-44,407,21124
2023-45,497,21200
2023-46,498,20963
2023-47,497,20894
2023-48,461,20193
2023-49,483,19828
2023-50,357,19615
2023-51,372,19545
2023-52,263,17514
2024-01,404,20390
2024-02,475,20364
2024-03,415,22139
2024-04,425,20976
2024-05,480,22955
2024-06,483,21838
2024-07,442,23229
2024-08,543,22410
2024-09,518,22873
2024-10,464,23357
2024-11,364,10772
