dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2021-01-01,6,1,3,1,0,0,0,0,1
2021-01-02,14,8,8,5,14,0,0,3,5
2021-01-03,5,2,4,0,1,0,0,0,2
2021-01-04,26,19,16,9,11,1,1,8,16
2021-01-05,25,18,19,18,7,4,7,5,12
2021-01-06,20,3,15,4,3,0,0,5,11
2021-01-07,20,11,16,12,11,3,2,5,4
2021-01-08,26,23,18,15,8,2,5,3,12
2021-01-09,15,21,18,8,16,1,0,5,7
2021-01-10,5,6,4,5,0,0,0,0,1
2021-01-11,27,16,17,25,13,3,9,8,13
2021-01-12,23,18,13,5,10,4,3,5,5
2021-01-13,29,20,20,7,9,1,3,7,10
2021-01-14,22,15,17,12,13,5,0,3,11
2021-01-15,23,18,24,19,9,2,3,2,7
2021-01-16,13,17,20,6,10,0,0,4,6
2021-01-17,6,9,1,0,0,0,0,0,2
2021-01-18,26,16,18,23,13,4,0,3,6
2021-01-19,27,17,15,15,11,3,3,3,7
2021-01-20,26,13,18,18,14,4,3,5,9
2021-01-21,20,13,13,20,12,5,1,1,8
2021-01-22,13,13,22,11,6,3,2,6,6
2021-01-23,17,15,15,4,18,2,0,6,3
2021-01-24,8,6,2,2,1,0,0,0,0
2021-01-25,21,14,25,12,20,4,5,5,13
2021-01-26,14,17,18,18,10,4,4,1,7
2021-01-27,22,12,24,13,11,4,4,5,8
2021-01-28,27,8,17,11,7,2,0,1,12
2021-01-29,39,21,23,17,6,10,1,1,7
2021-01-30,13,16,14,6,13,3,0,5,2
2021-01-31,15,2,4,6,0,0,0,0,4
2021-02-01,31,12,17,15,10,8,3,5,6
2021-02-02,28,13,25,21,11,5,2,5,6
2021-02-03,25,18,18,21,11,3,4,8,9
2021-02-04,28,13,20,17,8,4,7,3,7
2021-02-05,30,12,16,10,8,5,4,1,10
2021-02-06,16,9,13,9,13,5,0,5,4
2021-02-07,6,7,9,4,0,0,0,1,0
2021-02-08,34,20,24,29,8,3,4,6,3
2021-02-09,30,12,22,7,9,5,5,4,5
2021-02-10,21,14,17,15,6,3,2,3,8
2021-02-11,22,14,13,19,5,3,5,4,5
2021-02-12,21,12,20,11,9,4,4,3,4
2021-02-13,23,14,17,11,14,6,0,5,3
2021-02-14,10,2,8,3,1,0,0,0,4
2021-02-15,26,13,29,17,6,9,7,9,7
2021-02-16,17,18,23,18,3,4,1,7,9
2021-02-17,23,10,16,16,14,6,4,7,11
2021-02-18,20,11,16,17,10,3,0,10,12
2021-02-19,42,14,11,17,13,4,3,3,6
2021-02-20,14,7,8,10,9,10,0,3,6
2021-02-21,12,8,6,1,0,0,0,0,3
2021-02-22,30,17,16,19,17,5,0,4,11
2021-02-23,21,15,27,12,11,5,5,7,8
2021-02-24,33,20,22,16,15,12,4,5,9
2021-02-25,27,20,15,16,11,7,1,7,8
2021-02-26,35,19,13,9,11,3,3,4,9
2021-02-27,20,11,14,8,18,6,0,7,5
2021-02-28,17,6,3,5,3,2,0,0,3
2021-03-01,36,15,21,15,13,5,2,9,5
2021-03-02,30,19,12,17,14,5,1,3,10
2021-03-03,32,15,14,25,10,7,3,6,9
2021-03-04,33,11,19,11,11,2,6,4,9
2021-03-05,22,8,23,15,12,4,3,5,11
2021-03-06,23,12,21,10,18,7,0,6,4
2021-03-07,9,10,7,1,2,0,0,0,6
2021-03-08,30,22,20,15,22,4,3,10,6
2021-03-09,28,16,18,15,12,7,4,4,13
2021-03-10,22,18,21,24,6,4,6,7,6
2021-03-11,26,21,14,17,13,4,5,5,6
2021-03-12,22,16,18,9,5,1,4,8,9
2021-03-13,19,9,16,9,12,4,0,4,3
2021-03-14,10,7,4,6,0,2,0,0,4
2021-03-15,25,17,20,17,14,8,4,15,15
2021-03-16,18,15,26,11,7,5,5,9,7
2021-03-17,36,11,25,8,5,7,6,7,10
2021-03-18,22,9,17,16,9,9,2,9,10
2021-03-19,24,11,15,16,9,5,5,4,10
2021-03-20,14,10,22,5,12,7,0,2,7
2021-03-21,8,9,1,2,1,1,0,0,6
2021-03-22,31,12,16,19,13,7,0,5,3
2021-03-23,20,12,19,15,11,9,6,5,10
2021-03-24,23,23,13,18,9,2,5,9,11
2021-03-25,17,18,15,22,9,3,4,3,6
2021-03-26,23,13,15,13,10,5,2,8,5
2021-03-27,13,10,13,7,5,4,0,1,7
2021-03-28,8,2,5,0,1,0,1,1,2
2021-03-29,18,18,17,20,11,5,2,7,11
2021-03-30,17,11,20,12,7,3,3,4,7
2021-03-31,29,12,18,11,6,6,8,7,7
2021-04-01,16,14,12,10,7,6,6,4,7
2021-04-02,3,6,15,5,11,0,2,1,5
2021-04-03,15,7,11,4,6,4,0,2,6
2021-04-04,5,5,5,2,0,1,0,0,6
2021-04-05,8,3,17,12,0,0,0,0,6
2021-04-06,28,13,14,14,14,6,2,8,10
2021-04-07,24,12,27,21,11,4,2,9,8
2021-04-08,22,12,15,23,11,8,4,10,11
2021-04-09,30,13,13,15,15,10,3,9,13
2021-04-10,19,12,21,8,11,7,0,3,5
2021-04-11,9,5,6,1,1,0,0,2,5
2021-04-12,17,14,26,17,19,9,2,11,6
2021-04-13,17,9,21,11,7,8,2,8,6
2021-04-14,20,9,23,22,8,2,4,10,12
2021-04-15,22,8,12,18,13,4,2,4,6
2021-04-16,25,8,14,13,11,3,5,2,12
2021-04-17,11,3,13,16,12,3,0,5,4
2021-04-18,13,3,9,3,1,1,0,0,5
2021-04-19,25,11,20,10,10,2,4,6,5
2021-04-20,16,15,16,27,6,4,5,4,8
2021-04-21,31,14,15,19,10,2,3,9,10
2021-04-22,19,13,7,20,15,8,2,6,7
2021-04-23,18,17,14,13,10,6,4,8,11
2021-04-24,9,11,18,5,8,4,0,5,6
2021-04-25,6,1,1,7,7,1,0,1,0
2021-04-26,33,17,9,10,9,6,7,10,6
2021-04-27,34,10,20,11,11,6,6,4,8
2021-04-28,23,15,16,15,9,8,4,6,6
2021-04-29,21,16,16,20,6,6,2,6,9
2021-04-30,23,6,12,10,7,5,8,10,11
2021-05-01,7,2,8,9,0,0,0,2,6
2021-05-02,10,4,5,5,0,0,0,0,1
2021-05-03,24,12,17,15,0,8,3,7,9
2021-05-04,27,16,21,22,15,3,2,5,9
2021-05-05,28,6,14,18,9,7,7,11,14
2021-05-06,28,15,24,25,6,4,6,4,6
2021-05-07,20,12,17,16,11,6,3,3,5
2021-05-08,11,17,12,10,13,4,0,1,9
2021-05-09,6,6,7,7,1,1,0,0,5
2021-05-10,23,14,17,25,16,14,1,9,13
2021-05-11,25,19,15,17,8,7,2,4,9
2021-05-12,28,17,12,22,12,5,5,5,6
2021-05-13,12,11,11,17,15,1,0,1,4
2021-05-14,29,19,14,18,11,6,1,6,7
2021-05-15,13,12,9,14,10,4,0,2,4
2021-05-16,17,5,5,6,0,2,0,0,10
2021-05-17,30,13,25,7,12,6,11,11,8
2021-05-18,38,14,15,32,13,5,3,9,7
2021-05-19,34,19,27,26,11,2,2,9,10
2021-05-20,25,18,13,19,8,8,2,8,8
2021-05-21,26,19,16,22,15,4,4,4,10
2021-05-22,14,14,14,11,14,6,0,1,5
2021-05-23,12,9,4,12,0,2,0,0,4
2021-05-24,4,20,21,19,11,7,0,3,9
2021-05-25,34,15,24,26,11,3,6,8,11
2021-05-26,32,20,29,25,9,5,1,8,7
2021-05-27,24,18,22,21,12,14,8,7,11
2021-05-28,38,22,23,25,7,3,3,5,12
2021-05-29,16,12,13,4,8,3,0,5,5
2021-05-30,10,5,6,4,0,1,0,0,7
2021-05-31,29,25,28,25,19,6,7,9,7
2021-06-01,35,25,28,23,13,7,8,6,1
2021-06-02,33,3,20,32,12,3,4,9,3
2021-06-03,19,19,22,22,1,6,0,9,8
2021-06-04,25,12,21,22,18,4,3,6,7
2021-06-05,14,13,18,9,11,3,0,6,3
2021-06-06,11,9,9,9,2,0,0,2,8
2021-06-07,27,34,18,20,11,4,7,12,8
2021-06-08,28,27,14,28,13,7,5,10,11
2021-06-09,33,21,26,18,11,4,5,9,4
2021-06-10,19,23,23,17,10,7,4,5,4
2021-06-11,22,25,14,18,7,4,4,6,9
2021-06-12,16,7,24,8,11,1,0,4,3
2021-06-13,12,4,7,9,1,0,0,2,0
2021-06-14,30,27,28,20,15,7,6,10,11
2021-06-15,27,20,31,27,14,2,4,7,10
2021-06-16,25,28,22,25,14,7,2,5,6
2021-06-17,26,20,23,27,7,5,4,3,10
2021-06-18,23,23,22,19,12,9,5,3,10
2021-06-19,17,18,29,6,8,0,0,5,3
2021-06-20,7,6,11,7,0,0,0,2,7
2021-06-21,29,29,30,26,11,11,3,5,6
2021-06-22,36,14,25,23,9,14,10,6,7
2021-06-23,27,22,28,30,5,7,2,8,15
2021-06-24,24,18,19,15,12,4,5,6,7
2021-06-25,26,20,17,22,11,0,5,6,15
2021-06-26,20,11,23,11,10,0,0,4,9
2021-06-27,6,11,8,7,4,4,0,2,5
2021-06-28,30,15,31,22,14,7,5,10,10
2021-06-29,31,23,17,27,10,9,3,4,9
2021-06-30,24,23,30,30,9,9,5,6,7
2021-07-01,33,15,26,16,17,5,9,7,14
2021-07-02,33,9,30,24,7,10,9,6,12
2021-07-03,18,15,18,8,11,4,0,5,6
2021-07-04,6,6,9,5,2,2,0,3,5
2021-07-05,36,16,23,36,18,11,7,4,17
2021-07-06,30,20,27,17,12,7,7,8,9
2021-07-07,32,19,21,26,9,4,3,6,11
2021-07-08,25,22,19,19,11,9,5,11,7
2021-07-09,26,20,17,23,11,7,5,6,12
2021-07-10,16,14,26,12,9,1,0,3,3
2021-07-11,11,11,8,3,2,3,0,5,4
2021-07-12,31,32,20,29,8,6,6,4,13
2021-07-13,35,23,22,24,11,6,4,10,12
2021-07-14,36,22,19,19,12,3,4,8,10
2021-07-15,31,26,33,14,12,7,1,3,8
2021-07-16,31,23,26,7,11,6,2,6,10
2021-07-17,22,18,18,6,6,3,0,3,6
2021-07-18,11,7,7,8,3,1,0,0,4
2021-07-19,30,26,23,20,16,9,5,14,10
2021-07-20,34,21,28,26,9,5,6,8,5
2021-07-21,27,23,23,18,13,8,5,4,9
2021-07-22,30,22,22,11,11,2,4,6,9
2021-07-23,25,23,23,15,10,3,2,10,1
2021-07-24,21,15,18,12,8,3,0,5,8
2021-07-25,11,8,6,5,0,0,1,1,2
2021-07-26,27,18,21,16,13,5,2,8,10
