Days,gold_price,oil_price,unemployement_rate,gross_domestic_product,consumer_price_index,benfica_stock,benfica_trend,porto_stock,porto_trend,sporting_stock,sporting_trend,braga_stock,braga_trend
30/06/2023,1921.100,69.860,6.100,1.900,3.390,3.630,31.00,3.630,28.000,3.630,24.000,3.630,30.000
29/06/2023,1909.200,69.560,6.100,1.900,3.390,3.620,31.00,3.620,28.000,3.620,24.000,3.620,30.000
28/06/2023,1912.300,67.700,6.100,1.900,3.390,3.620,31.00,3.620,28.000,3.620,24.000,3.620,30.000
27/06/2023,1914.000,69.370,6.100,1.900,3.390,3.660,31.00,3.660,28.000,3.660,24.000,3.660,30.000
26/06/2023,1923.700,69.160,6.100,1.900,3.390,3.600,31.00,3.600,28.000,3.600,24.000,3.600,30.000
25/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
24/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
23/06/2023,1919.100,69.510,6.100,1.900,3.390,3.650,31.00,3.650,28.000,3.650,24.000,3.650,30.000
22/06/2023,1912.700,72.530,6.100,1.900,3.390,3.730,31.00,3.730,28.000,3.730,24.000,3.730,30.000
21/06/2023,1933.300,70.500,6.100,1.900,3.390,3.720,31.00,3.720,28.000,3.720,24.000,3.720,30.000
20/06/2023,1935.500,71.780,6.100,1.900,3.390,3.670,31.00,3.670,28.000,3.670,24.000,3.670,30.000
19/06/2023,1935.500,71.780,6.100,1.900,3.390,3.700,31.00,3.700,28.000,3.700,24.000,3.700,30.000
18/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
17/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
16/06/2023,1958.400,70.620,6.100,1.900,3.390,3.720,31.00,3.720,28.000,3.720,24.000,3.720,30.000
15/06/2023,1957.800,68.270,6.100,1.900,3.390,3.740,31.00,3.740,28.000,3.740,24.000,3.740,30.000
14/06/2023,1955.300,69.420,6.100,1.900,3.390,3.740,31.00,3.740,28.000,3.740,24.000,3.740,30.000
13/06/2023,1944.600,67.120,6.100,1.900,3.390,3.690,31.00,3.690,28.000,3.690,24.000,3.690,30.000
12/06/2023,1955.300,70.170,6.100,1.900,3.390,3.690,31.00,3.690,28.000,3.690,24.000,3.690,30.000
11/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
10/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
09/06/2023,1962.200,71.290,6.100,1.900,3.390,3.730,31.00,3.730,28.000,3.730,24.000,3.730,30.000
08/06/2023,1963.600,72.530,6.100,1.900,3.390,3.680,31.00,3.680,28.000,3.680,24.000,3.680,30.000
07/06/2023,1942.700,71.740,6.100,1.900,3.390,3.670,31.00,3.670,28.000,3.670,24.000,3.670,30.000
06/06/2023,1965.500,72.150,6.100,1.900,3.390,3.730,31.00,3.730,28.000,3.730,24.000,3.730,30.000
05/06/2023,1958.000,71.740,6.100,1.900,3.390,3.610,31.00,3.610,28.000,3.610,24.000,3.610,30.000
04/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
03/06/2023,,,6.100,1.900,3.390,,31.00,,28.000,,24.000,,30.000
02/06/2023,1952.400,70.100,6.100,1.900,3.390,3.800,31.00,3.800,28.000,3.800,24.000,3.800,30.000
01/06/2023,1978.000,68.090,6.100,1.900,3.390,3.800,31.00,3.800,28.000,3.800,24.000,3.800,30.000
31/05/2023,1963.900,69.460,6.100,2.600,3.980,3.800,100.00,3.800,91.000,3.800,59.000,3.800,76.000
30/05/2023,1958.000,72.670,6.100,2.600,3.980,3.810,100.00,3.810,91.000,3.810,59.000,3.810,76.000
29/05/2023,1958.000,72.670,6.100,2.600,3.980,3.870,100.00,3.870,91.000,3.870,59.000,3.870,76.000
28/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
27/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
26/05/2023,1944.100,71.830,6.100,2.600,3.980,3.840,100.00,3.840,91.000,3.840,59.000,3.840,76.000
25/05/2023,1943.100,74.340,6.100,2.600,3.980,3.780,100.00,3.780,91.000,3.780,59.000,3.780,76.000
24/05/2023,1962.800,72.910,6.100,2.600,3.980,3.800,100.00,3.800,91.000,3.800,59.000,3.800,76.000
23/05/2023,1972.400,71.990,6.100,2.600,3.980,3.810,100.00,3.810,91.000,3.810,59.000,3.810,76.000
22/05/2023,1974.800,71.550,6.100,2.600,3.980,3.860,100.00,3.860,91.000,3.860,59.000,3.860,76.000
21/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
20/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
19/05/2023,1978.700,71.860,6.100,2.600,3.980,3.850,100.00,3.850,91.000,3.850,59.000,3.850,76.000
18/05/2023,1956.500,72.830,6.100,2.600,3.980,3.780,100.00,3.780,91.000,3.780,59.000,3.780,76.000
17/05/2023,1980.700,70.860,6.100,2.600,3.980,3.790,100.00,3.790,91.000,3.790,59.000,3.790,76.000
16/05/2023,1988.400,71.110,6.100,2.600,3.980,3.770,100.00,3.770,91.000,3.770,59.000,3.770,76.000
15/05/2023,2018.000,70.040,6.100,2.600,3.980,3.950,100.00,3.950,91.000,3.950,59.000,3.950,76.000
14/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
13/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
12/05/2023,2014.500,70.870,6.100,2.600,3.980,3.900,100.00,3.900,91.000,3.900,59.000,3.900,76.000
11/05/2023,2014.700,72.560,6.100,2.600,3.980,3.860,100.00,3.860,91.000,3.860,59.000,3.860,76.000
10/05/2023,2030.500,73.710,6.100,2.600,3.980,3.860,100.00,3.860,91.000,3.860,59.000,3.860,76.000
09/05/2023,2036.200,73.160,6.100,2.600,3.980,3.810,100.00,3.810,91.000,3.810,59.000,3.810,76.000
08/05/2023,2026.300,71.340,6.100,2.600,3.980,3.910,100.00,3.910,91.000,3.910,59.000,3.910,76.000
07/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
06/05/2023,,,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
05/05/2023,2017.400,68.560,6.100,2.600,3.980,3.710,100.00,3.710,91.000,3.710,59.000,3.710,76.000
04/05/2023,2048.000,68.600,6.100,2.600,3.980,3.800,100.00,3.800,91.000,3.800,59.000,3.800,76.000
03/05/2023,2028.600,71.660,6.100,2.600,3.980,3.730,100.00,3.730,91.000,3.730,59.000,3.730,76.000
02/05/2023,2014.300,75.660,6.100,2.600,3.980,3.730,100.00,3.730,91.000,3.730,59.000,3.730,76.000
01/05/2023,1983.400,76.780,6.100,2.600,3.980,,100.00,,91.000,,59.000,,76.000
30/04/2023,,,6.100,2.600,5.710,,92.00,,76.000,,61.000,,49.000
29/04/2023,,,6.100,2.600,5.710,,92.00,,76.000,,61.000,,49.000
28/04/2023,1990.100,74.760,6.100,2.600,5.710,3.830,92.00,3.830,76.000,3.830,61.000,3.830,49.000
27/04/2023,1989.900,74.300,6.100,2.600,5.710,3.640,92.00,3.640,76.000,3.640,61.000,3.640,49.000
26/04/2023,1985.700,77.070,6.100,2.600,5.710,3.680,92.00,3.680,76.000,3.680,61.000,3.680,49.000
25/04/2023,1994.000,78.760,6.100,2.600,5.710,3.640,92.00,3.640,76.000,3.640,61.000,3.640,49.000
24/04/2023,1989.100,77.870,6.100,2.600,5.710,3.660,92.00,3.660,76.000,3.660,61.000,3.660,49.000
23/04/2023,,,6.100,2.600,5.710,,92.00,,76.000,,61.000,,49.000
22/04/2023,,,6.100,2.600,5.710,,92.00,,76.000,,61.000,,49.000
21/04/2023,1979.500,77.290,6.100,2.600,5.710,3.640,92.00,3.640,76.000,3.640,61.000,3.640,49.000
20/04/2023,2007.600,79.160,6.100,2.600,5.710,3.620,92.00,3.620,76.000,3.620,61.000,3.620,49.000
19/04/2023,1995.200,80.860,6.100,2.600,5.710,3.720,92.00,3.720,76.000,3.720,61.000,3.720,49.000
18/04/2023,2007.400,80.830,6.100,2.600,5.710,3.750,92.00,3.750,76.000,3.750,61.000,3.750,49.000
