Days,Benfica - Stock,Benfica - League,Benfica - Home,Benfica - Opponent,Benfica - Spectators,Benfica - Ranking,Benfica - Points,Benfica - Entry Players,Benfica - Entry Values,Benfica - Exit Players,Benfica - Exit Values,Porto - Stock,Porto - League,Porto - Home,Porto - Opponent,Porto - Spectators,Porto - Ranking,Porto - Points,Porto - Entry Players,Porto - Entry Values,Porto - Exit Players,Porto - Exit Values,Sporting - Stock,Sporting - League,Sporting - Home,Sporting - Opponent,Sporting - Spectators,Sporting - Ranking,Sporting - Points,Sporting - Entry Players,Sporting - Entry Values,Sporting - Exit Players,Sporting - Exit Values,Ajax - Stock,Ajax - League,Ajax - Home,Ajax - Opponent,Ajax - Spectators,Ajax - Ranking,Ajax - Points,Ajax - Entry Players,Ajax - Entry Values,Ajax - Exit Players,Ajax - Exit Values,Dortmund - Stock,Dortmund - League,Dortmund - Home,Dortmund - Opponent,Dortmund - Spectators,Dortmund - Ranking,Dortmund - Points,Dortmund - Entry Players,Dortmund - Entry Values,Dortmund - Exit Players,Dortmund - Exit Values,Juventus - Stock,Juventus - League,Juventus - Home,Juventus - Opponent,Juventus - Spectators,Juventus - Ranking,Juventus - Points,Juventus - Entry Players,Juventus - Entry Values,Juventus - Exit Players,Juventus - Exit Values,Manchester United - Stock,Manchester United - League,Manchester United - Home,Manchester United - Opponent,Manchester United - Spectators,Manchester United - Ranking,Manchester United - Points,Manchester United - Entry Players,Manchester United - Entry Values,Manchester United - Exit Players,Manchester United - Exit Values,Lyon - Stock,Lyon - League,Lyon - Home,Lyon - Opponent,Lyon - Spectators,Lyon - Ranking,Lyon - Points,Lyon - Entry Players,Lyon - Entry Values,Lyon - Exit Players,Lyon - Exit Values,Copenhagen - Stock,Copenhagen - League,Copenhagen - Home,Copenhagen - Opponent,Copenhagen - Spectators,Copenhagen - Ranking,Copenhagen - Points,Copenhagen - Entry Players,Copenhagen - Entry Values,Copenhagen - Exit Players,Copenhagen - Exit Values,Braga - Stock,Braga - League,Braga - Home,Braga - Opponent,Braga - Spectators,Braga - Ranking,Braga - Points,Braga - Entry Players,Braga - Entry Values,Braga - Exit Players,Braga - Exit Values,Roma - Stock,Roma - League,Roma - Home,Roma - Opponent,Roma - Spectators,Roma - Ranking,Roma - Points,Roma - Entry Players,Roma - Entry Values,Roma - Exit Players,Roma - Exit Values,Milan - Stock,Milan - League,Milan - Home,Milan - Opponent,Milan - Spectators,Milan - Ranking,Milan - Points,Milan - Entry Players,Milan - Entry Values,Milan - Exit Players,Milan - Exit Values
30/06/2023,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,,3.630,,,,,,,,,,
29/06/2023,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,
28/06/2023,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,,3.620,,,,,,,,,,
27/06/2023,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,,3.660,,,,,,,,,,
26/06/2023,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,,3.600,,,,,,,,,,
25/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2023,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,,3.650,,,,,,,,,,
22/06/2023,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,
21/06/2023,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,
20/06/2023,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,
19/06/2023,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,,3.700,,,,,,,,,,
18/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2023,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,,3.720,,,,,,,,,,
15/06/2023,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,
14/06/2023,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,,3.740,,,,,,,,,,
13/06/2023,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,
12/06/2023,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,,3.690,,,,,,,,,,
11/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2023,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,
08/06/2023,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,,3.680,,,,,,,,,,
07/06/2023,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,,3.670,,,,,,,,,,
06/06/2023,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,
05/06/2023,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,,3.610,,,,,,,,,,
04/06/2023,,,,,,,,,,,,,Final,F,Braga,35000,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.000,F,Udinese Calcio,23266,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.000,C,Randers FC,35820,1,1,,,,,,Final,C,FC Porto,35000,,0,,,,,,38.000,C,Spezia Calcio,62242,6,3,,,,,,38.000,C,Hellas Verona,72102,4,,,,,
03/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final,F,Man. City,83179,,0,,,,,,38.000,F,OGC Nice,25243,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2023,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,
01/06/2023,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,1,"€8,000,000",,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,
31/05/2023,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,Final,F,Sevilha FC,61476,,0,,,,,3.800,,,,,,,,,,
30/05/2023,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,
29/05/2023,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,31.000,F,Viborg FF,9523,1,3,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,,3.870,,,,,,,,,,
28/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.000,F,FC Twente,30000,3,0,,,,,,,,,,,,,,,,,37.000,C,AC Milan,40231,7,0,,,,,,38.000,C,FC Fulham,73465,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.000,F,Juventus,40231,4,,,,,
27/05/2023,,34.000,C,Santa Clara,64012,1,3,,,,,,34.000,C,Vitória SC,42417,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.000,C,Mainz,81365,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.000,C,Stade Reims,56874,7,3,,,,,,,,,,,,,,,,,34.000,C,Paços Ferreira,14481,3,3,,,,,,37.000,F,Fiorentina,32829,6,0,,,,,,,,,,,,,,,
26/05/2023,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,34.000,F,Vizela,3309,4,3,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,,3.840,,,,,,,,,,
25/05/2023,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,32.000,C,Chelsea,73561,4,3,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,
24/05/2023,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,
23/05/2023,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,
22/05/2023,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,36.000,F,FC Empoli,15519,6,0,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,36.000,C,Salernitana,64286,5,1,,,,,3.860,,,,,,,,,,
21/05/2023,,33.000,F,Sporting,39348,1,1,,,,,,,,,,,,,,,,,33.000,C,Benfica,39348,4,1,,,,,,33.000,C,FC Utrecht,54627,3,3,,,,,,33.000,F,Augsburgo,30660,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,C,Aarhus GF,32013,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,,,,,,,,,,,,,33.000,F,Famalicão,4992,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.000,F,Bournemouth,10240,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.000,F,Boavista,9265,3,1,,,,,,,,,,,,,,,,,36.000,C,UC Sampdoria,72105,4,,,,,
19/05/2023,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,36.000,C,Mónaco,53980,7,3,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,,3.850,,,,,,,,,,
18/05/2023,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,Meias-Finais,F,Sevilha FC,,,0,,,,,3.780,,,,,,,,,,,3.780,,,,,,,,,,,3.780,Final,F,Aalborg BK,34937,,3,,,,,3.780,,,,,,,,,,,3.780,Meias-Finais,F,Leverkusen,30210,,1,,,,,3.780,,,,,,,,,,
17/05/2023,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,,3.790,,,,,,,,,,
16/05/2023,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,,,,,,,,,,,3.770,Meias-Finais,F,Inter,75567,,,,,,
15/05/2023,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,,3.950,,,,,,,,,,
14/05/2023,,,,,,,,,,,,,32.000,C,Casa Pia,35203,2,3,,,,,,,,,,,,,,,,,32.000,F,FC Groningen,x,3,3,,,,,,,,,,,,,,,,,35.000,C,Cremonese,39439,,3,,,,,,,,,,,,,,,,,35.000,F,Clermont Foot,13191,7,0,,,,,,29.000,F,Bröndby IF,24478,2,3,,,,,,32.000,C,Santa Clara,16442,3,3,,,,,,35.000,F,Bolonha,23824,6,1,,,,,,,,,,,,,,,
13/05/2023,,32.000,F,Portimonense,4404,1,3,,,,,,,,,,,,,,,,,32.000,C,Marítimo,27130,4,3,,,,,,,,,,,,,,,,,32.000,C,M'gladbach,81365,2,3,,,,,,,,,,,,,,,,,36.000,C,Wolves,73570,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.000,F,Spezia Calcio,11336,4,,,,,
12/05/2023,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,,3.900,,,,,,,,,,
11/05/2023,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,Meias-Finais,C,Sevilha FC,34816,,1,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,Meias-Finais,C,Leverkusen,63123,,3,,,,,3.860,,,,,,,,,,
10/05/2023,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,,,,,,,,,,,3.860,Meias-Finais,C,Inter,75532,,,,,,
09/05/2023,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,,3.810,,,,,,,,,,
08/05/2023,3.910,,,,,,,,,,,3.910,31.000,F,Arouca,4092,2,3,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,28.000,F,Nordsjaelland,9713,1,0,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,,3.910,,,,,,,,,,
07/05/2023,,,,,,,,,,,,,,,,,,,,,,,,31.000,F,Paços Ferreira,4791,4,3,,,,,,,,,,,,,,,,,31.000,C,Wolfsburgo,81365,2,3,,,,,,34.000,F,Atalanta BC,19570,,3,,,,,,35.000,F,West Ham,62477,4,0,,,,,,34.000,C,Montpellier,49531,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,,31.000,C,Braga,60289,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.000,C,AZ Alkmaar,53841,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.000,F,Benfica,60289,3,0,,,,,,34.000,C,Inter,61870,6,0,,,,,,34.000,C,Lázio,72365,5,,,,,
05/05/2023,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,,3.710,,,,,,,,,,
04/05/2023,3.800,,,,,,,,,,,3.800,Meias-Finais,C,Famalicão,28013,,3,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,28.000,F,Brighton,31577,3,0,,,,,3.800,,,,,,,,,,,3.800,Meias-Finais,C,Nordsjaelland,25255,,3,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,,3.800,,,,,,,,,,
03/05/2023,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,33.000,C,Lecce,33757,,3,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,33.000,F,Monza,12388,3,1,,,,,3.730,33.000,C,Cremonese,68136,4,,,,,
02/05/2023,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,,3.730,,,,,,,,,,
01/05/2023,,,,,,,,,,1,"€2,000,000",,,,,,,,,,,,,,,,,,,1,€0,,,,,,,,,,,,2,€0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"€2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,,,,,,,,,,,,,30.000,C,Boavista,47925,2,3,,,,,,30.000,C,Famalicão,29443,4,3,,,,,,Final,C,PSV,40650,,3,,,,,,,,,,,,,,,,,32.000,F,Bolonha,30071,,1,,,,,,34.000,C,Aston Villa,73592,4,3,,,,,,,,,,,,,,,,,27.000,C,Bröndby IF,35057,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
