Days,Gold Price,Oil Price,Unemployement Rate,Gross Domestic Product,Consumer Price Index,Benfica - Stock,Benfica - Probabilidade de Ganhar,Benfica - League,Benfica - Home,Benfica - Opponent,Benfica - Spectators,Benfica - Ranking,Benfica - Points,Benfica - Entry Players,Benfica - Entry Values,Benfica - Exit Players,Benfica - Exit Values,Porto - Stock,Porto - Probabilidade de Ganhar,Porto - League,Porto - Home,Porto - Opponent,Porto - Spectators,Porto - Ranking,Porto - Points,Porto - Entry Players,Porto - Entry Values,Porto - Exit Players,Porto - Exit Values,Sporting - Stock,Sporting - Probabilidade de Ganhar,Sporting - League,Sporting - Home,Sporting - Opponent,Sporting - Spectators,Sporting - Ranking,Sporting - Points,Sporting - Entry Players,Sporting - Entry Values,Sporting - Exit Players,Sporting - Exit Values,Braga - Stock,Braga - Probabilidade de Ganhar,Braga - League,Braga - Home,Braga - Opponent,Braga - Spectators,Braga - Ranking,Braga - Points,Braga - Entry Players,Braga - Entry Values,Braga - Exit Players,Braga - Exit Values
30/06/2023,1921.100,69.860,6.100,1.900,3.390,3.630,,,,,,,,,,,,3.630,,,,,,,,,,,,3.630,,,,,,,,,,,,3.630,,,,,,,,,,,
29/06/2023,1909.200,69.560,6.100,1.900,3.390,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,
28/06/2023,1912.300,67.700,6.100,1.900,3.390,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,,3.620,,,,,,,,,,,
27/06/2023,1914.000,69.370,6.100,1.900,3.390,3.660,,,,,,,,,,,,3.660,,,,,,,,,,,,3.660,,,,,,,,,,,,3.660,,,,,,,,,,,
26/06/2023,1923.700,69.160,6.100,1.900,3.390,3.600,,,,,,,,,,,,3.600,,,,,,,,,,,,3.600,,,,,,,,,,,,3.600,,,,,,,,,,,
25/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2023,1919.100,69.510,6.100,1.900,3.390,3.650,,,,,,,,,,,,3.650,,,,,,,,,,,,3.650,,,,,,,,,,,,3.650,,,,,,,,,,,
22/06/2023,1912.700,72.530,6.100,1.900,3.390,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,
21/06/2023,1933.300,70.500,6.100,1.900,3.390,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,
20/06/2023,1935.500,71.780,6.100,1.900,3.390,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,
19/06/2023,,,6.100,1.900,3.390,3.700,,,,,,,,,,,,3.700,,,,,,,,,,,,3.700,,,,,,,,,,,,3.700,,,,,,,,,,,
18/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2023,1958.400,70.620,6.100,1.900,3.390,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,,3.720,,,,,,,,,,,
15/06/2023,1957.800,68.270,6.100,1.900,3.390,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,
14/06/2023,1955.300,69.420,6.100,1.900,3.390,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,,3.740,,,,,,,,,,,
13/06/2023,1944.600,67.120,6.100,1.900,3.390,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,
12/06/2023,1955.300,70.170,6.100,1.900,3.390,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,,3.690,,,,,,,,,,,
11/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2023,1962.200,71.290,6.100,1.900,3.390,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,
08/06/2023,1963.600,72.530,6.100,1.900,3.390,3.680,,,,,,,,,,,,3.680,,,,,,,,,,,,3.680,,,,,,,,,,,,3.680,,,,,,,,,,,
07/06/2023,1942.700,71.740,6.100,1.900,3.390,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,,3.670,,,,,,,,,,,
06/06/2023,1965.500,72.150,6.100,1.900,3.390,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,,3.730,,,,,,,,,,,
05/06/2023,1958.000,71.740,6.100,1.900,3.390,3.610,,,,,,,,,,,,3.610,,,,,,,,,,,,3.610,,,,,,,,,,,,3.610,,,,,,,,,,,
04/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,0.537,Final,F,Braga,35000,,3,,,,,,,,,,,,,,,,,,0.206,Final,C,FC Porto,35000,,0,,,,
03/06/2023,,,6.100,1.900,3.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2023,1952.400,70.100,6.100,1.900,3.390,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,
01/06/2023,1978.000,68.090,6.100,1.900,3.390,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,
31/05/2023,1963.900,69.460,6.100,2.600,3.980,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,
30/05/2023,1958.000,72.670,6.100,2.600,3.980,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,
29/05/2023,,,6.100,2.600,3.980,3.870,,,,,,,,,,,,3.870,,,,,,,,,,,,3.870,,,,,,,,,,,,3.870,,,,,,,,,,,
28/05/2023,,,6.100,2.600,3.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2023,,,6.100,2.600,3.980,,0.89,34,C,Santa Clara,64012,1,3,,,,,,0.783,34.000,C,Vitória SC,42417,2,3,,,,,,,,,,,,,,,,,,0.778,34.000,C,Paços Ferreira,14481,3,3,,,,
26/05/2023,1944.100,71.830,6.100,2.600,3.980,3.840,,,,,,,,,,,,3.840,,,,,,,,,,,,3.840,0.649,34.000,F,Vizela,3309,4,3,,,,,3.840,,,,,,,,,,,
25/05/2023,1943.100,74.340,6.100,2.600,3.980,3.780,,,,,,,,,,,,3.780,,,,,,,,,,,,3.780,,,,,,,,,,,,3.780,,,,,,,,,,,
24/05/2023,1962.800,72.910,6.100,2.600,3.980,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,,3.800,,,,,,,,,,,
23/05/2023,1972.400,71.990,6.100,2.600,3.980,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,,3.810,,,,,,,,,,,
