Days,gold_price,oil_price,unemployement_rate,gross_domestic_product,consumer_price_index,benfica_stock,benfica_prob_winning,benfica_trend,benfica_league,benfica_home,benfica_spectators,benfinca_ranking,benfica_points,benfica_money_payed,benfica_money_received,porto_stock,porto_prob_winning,porto_trend,porto_league,porto_home,porto_spectators,porto_ranking,porto_points,porto_money_payed,porto_money_received,sporting_stock,sporting_prob_winning,sporting_trend,sporting_league,sporting_home,sporting_spectators,sporting_ranking,sporting_points,sporting_money_payed,sporting_money_received,braga_stock,braga_prob_winning,braga_trend,braga_league,braga_home,braga_spectators,braga_ranking,braga_points,braga_money_payed,braga_money_received
30/06/2023,1921.100,69.860,6.100,1.900,3.390,3.630,,31.00,,,,,,,,3.630,28.000,,,,,,,,,3.630,24.000,,,,,,,,,3.630,30.000,,,,,,,,
29/06/2023,1909.200,69.560,6.100,1.900,3.390,3.620,,31.00,,,,,,,,3.620,28.000,,,,,,,,,3.620,24.000,,,,,,,,,3.620,30.000,,,,,,,,
28/06/2023,1912.300,67.700,6.100,1.900,3.390,3.620,,31.00,,,,,,,,3.620,28.000,,,,,,,,,3.620,24.000,,,,,,,,,3.620,30.000,,,,,,,,
27/06/2023,1914.000,69.370,6.100,1.900,3.390,3.660,,31.00,,,,,,,,3.660,28.000,,,,,,,,,3.660,24.000,,,,,,,,,3.660,30.000,,,,,,,,
26/06/2023,1923.700,69.160,6.100,1.900,3.390,3.600,,31.00,,,,,,,,3.600,28.000,,,,,,,,,3.600,24.000,,,,,,,,,3.600,30.000,,,,,,,,
25/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
24/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
23/06/2023,1919.100,69.510,6.100,1.900,3.390,3.650,,31.00,,,,,,,,3.650,28.000,,,,,,,,,3.650,24.000,,,,,,,,,3.650,30.000,,,,,,,,
22/06/2023,1912.700,72.530,6.100,1.900,3.390,3.730,,31.00,,,,,,,,3.730,28.000,,,,,,,,,3.730,24.000,,,,,,,,,3.730,30.000,,,,,,,,
21/06/2023,1933.300,70.500,6.100,1.900,3.390,3.720,,31.00,,,,,,,,3.720,28.000,,,,,,,,,3.720,24.000,,,,,,,,,3.720,30.000,,,,,,,,
20/06/2023,1935.500,71.780,6.100,1.900,3.390,3.670,,31.00,,,,,,,,3.670,28.000,,,,,,,,,3.670,24.000,,,,,,,,,3.670,30.000,,,,,,,,
19/06/2023,1935.500,71.780,6.100,1.900,3.390,3.700,,31.00,,,,,,,,3.700,28.000,,,,,,,,,3.700,24.000,,,,,,,,,3.700,30.000,,,,,,,,
18/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
17/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
16/06/2023,1958.400,70.620,6.100,1.900,3.390,3.720,,31.00,,,,,,,,3.720,28.000,,,,,,,,,3.720,24.000,,,,,,,,,3.720,30.000,,,,,,,,
15/06/2023,1957.800,68.270,6.100,1.900,3.390,3.740,,31.00,,,,,,,,3.740,28.000,,,,,,,,,3.740,24.000,,,,,,,,,3.740,30.000,,,,,,,,
14/06/2023,1955.300,69.420,6.100,1.900,3.390,3.740,,31.00,,,,,,,,3.740,28.000,,,,,,,,,3.740,24.000,,,,,,,,,3.740,30.000,,,,,,,,
13/06/2023,1944.600,67.120,6.100,1.900,3.390,3.690,,31.00,,,,,,,,3.690,28.000,,,,,,,,,3.690,24.000,,,,,,,,,3.690,30.000,,,,,,,,
12/06/2023,1955.300,70.170,6.100,1.900,3.390,3.690,,31.00,,,,,,,,3.690,28.000,,,,,,,,,3.690,24.000,,,,,,,,,3.690,30.000,,,,,,,,
11/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
10/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
09/06/2023,1962.200,71.290,6.100,1.900,3.390,3.730,,31.00,,,,,,,,3.730,28.000,,,,,,,,,3.730,24.000,,,,,,,,,3.730,30.000,,,,,,,,
08/06/2023,1963.600,72.530,6.100,1.900,3.390,3.680,,31.00,,,,,,,,3.680,28.000,,,,,,,,,3.680,24.000,,,,,,,,,3.680,30.000,,,,,,,,
07/06/2023,1942.700,71.740,6.100,1.900,3.390,3.670,,31.00,,,,,,,,3.670,28.000,,,,,,,,,3.670,24.000,,,,,,,,,3.670,30.000,,,,,,,,
06/06/2023,1965.500,72.150,6.100,1.900,3.390,3.730,,31.00,,,,,,,,3.730,28.000,,,,,,,,,3.730,24.000,,,,,,,,,3.730,30.000,,,,,,,,
05/06/2023,1958.000,71.740,6.100,1.900,3.390,3.610,,31.00,,,,,,,,3.610,28.000,,,,,,,,,3.610,24.000,,,,,,,,,3.610,30.000,,,,,,,,
04/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,0.537,1,0,35000,,3,,,,24.000,,,,,,,,,,30.000,0.206,1,1.0,35000,,0,,
03/06/2023,,,6.100,1.900,3.390,,,31.00,,,,,,,,,28.000,,,,,,,,,,24.000,,,,,,,,,,30.000,,,,,,,,
02/06/2023,1952.400,70.100,6.100,1.900,3.390,3.800,,31.00,,,,,,,,3.800,28.000,,,,,,,,,3.800,24.000,,,,,,,,,3.800,30.000,,,,,,,,
01/06/2023,1978.000,68.090,6.100,1.900,3.390,3.800,,31.00,,,,,,,,3.800,28.000,,,,,,,,,3.800,24.000,,,,,,,,,3.800,30.000,,,,,,,,
31/05/2023,1963.900,69.460,6.100,2.600,3.980,3.800,,100.00,,,,,,,,3.800,91.000,,,,,,,,,3.800,59.000,,,,,,,,,3.800,76.000,,,,,,,,
30/05/2023,1958.000,72.670,6.100,2.600,3.980,3.810,,100.00,,,,,,,,3.810,91.000,,,,,,,,,3.810,59.000,,,,,,,,,3.810,76.000,,,,,,,,
29/05/2023,1958.000,72.670,6.100,2.600,3.980,3.870,,100.00,,,,,,,,3.870,91.000,,,,,,,,,3.870,59.000,,,,,,,,,3.870,76.000,,,,,,,,
28/05/2023,,,6.100,2.600,3.980,,,100.00,,,,,,,,,91.000,,,,,,,,,,59.000,,,,,,,,,,76.000,,,,,,,,
27/05/2023,,,6.100,2.600,3.980,,0.89,100.00,1,1,64012,1,3,,,,91.000,0.783,1,1,42417,2,3,,,,59.000,,,,,,,,,,76.000,0.778,1,1.0,14481,3,3,,
26/05/2023,1944.100,71.830,6.100,2.600,3.980,3.840,,100.00,,,,,,,,3.840,91.000,,,,,,,,,3.840,59.000,0.649,1,0,3309,4,3,,,3.840,76.000,,,,,,,,
25/05/2023,1943.100,74.340,6.100,2.600,3.980,3.780,,100.00,,,,,,,,3.780,91.000,,,,,,,,,3.780,59.000,,,,,,,,,3.780,76.000,,,,,,,,
24/05/2023,1962.800,72.910,6.100,2.600,3.980,3.800,,100.00,,,,,,,,3.800,91.000,,,,,,,,,3.800,59.000,,,,,,,,,3.800,76.000,,,,,,,,
23/05/2023,1972.400,71.990,6.100,2.600,3.980,3.810,,100.00,,,,,,,,3.810,91.000,,,,,,,,,3.810,59.000,,,,,,,,,3.810,76.000,,,,,,,,
22/05/2023,1974.800,71.550,6.100,2.600,3.980,3.860,,100.00,,,,,,,,3.860,91.000,,,,,,,,,3.860,59.000,,,,,,,,,3.860,76.000,,,,,,,,
21/05/2023,,,6.100,2.600,3.980,,0.37,100.00,1,0,39348,1,1,,,,91.000,,,,,,,,,,59.000,0.359,1,1,39348,4,1,,,,76.000,,,,,,,,
20/05/2023,,,6.100,2.600,3.980,,,100.00,,,,,,,,,91.000,0.653,1,0,4992,2,3,,,,59.000,,,,,,,,,,76.000,0.607,1,0.0,9265,3,1,,
19/05/2023,1978.700,71.860,6.100,2.600,3.980,3.850,,100.00,,,,,,,,3.850,91.000,,,,,,,,,3.850,59.000,,,,,,,,,3.850,76.000,,,,,,,,
