Week,BENFICA_trend,SPORTING_trend,PORTO_trend
2019-05-26,11,11,9
2019-06-02,9,8,8
2019-06-09,11,11,7
2019-06-16,10,9,7
2019-06-23,8,7,8
2019-06-30,8,8,10
2019-07-07,18,10,10
2019-07-14,12,9,11
2019-07-21,12,10,16
2019-07-28,14,12,9
2019-08-04,31,18,18
2019-08-11,21,14,31
2019-08-18,35,14,37
2019-08-25,14,24,13
2019-09-01,21,14,13
2019-09-08,15,8,6
2019-09-15,26,18,20
2019-09-22,25,28,16
2019-09-29,18,22,16
2019-10-06,7,6,4
2019-10-13,13,14,7
2019-10-20,16,12,11
2019-10-27,29,15,18
2019-11-03,21,15,15
2019-11-10,7,10,13
2019-11-17,13,5,6
2019-11-24,21,10,15
2019-12-01,21,14,14
2019-12-08,22,14,20
2019-12-15,20,14,15
2019-12-22,9,6,9
2019-12-29,19,8,8
2020-01-05,22,28,29
2020-01-12,42,31,17
2020-01-19,11,13,24
2020-01-26,25,14,21
2020-02-02,45,12,39
2020-02-09,34,16,21
2020-02-16,20,13,28
2020-02-23,30,18,27
2020-03-01,30,14,27
2020-03-08,8,12,7
2020-03-15,3,3,3
2020-03-22,3,3,3
2020-03-29,4,3,5
2020-04-05,5,4,5
2020-04-12,4,4,5
2020-04-19,5,4,4
2020-04-26,4,4,5
2020-05-03,4,3,4
2020-05-10,4,4,4
2020-05-17,5,4,4
2020-05-24,5,4,4
2020-05-31,22,11,19
2020-06-07,17,10,19
2020-06-14,23,9,14
2020-06-21,20,10,14
2020-06-28,27,11,14
2020-07-05,23,12,26
2020-07-12,25,20,40
2020-07-19,23,16,19
2020-07-26,24,7,22
2020-08-02,13,5,9
2020-08-09,17,6,7
2020-08-16,16,8,7
2020-08-23,16,8,8
2020-08-30,21,9,8
2020-09-06,9,6,8
2020-09-13,23,8,14
2020-09-20,13,10,11
2020-09-27,10,14,13
2020-10-04,17,12,12
2020-10-11,7,14,16
2020-10-18,23,9,17
2020-10-25,28,11,19
2020-11-01,26,15,10
2020-11-08,18,8,11
2020-11-15,9,5,7
2020-11-22,13,14,11
2020-11-29,20,12,15
2020-12-06,22,10,10
2020-12-13,22,13,14
2020-12-20,26,8,25
2020-12-27,15,18,13
2021-01-03,28,17,16
2021-01-10,28,19,31
2021-01-17,13,21,14
2021-01-24,19,16,14
2021-01-31,31,38,18
2021-02-07,23,23,32
2021-02-14,23,24,17
2021-02-21,24,25,32
2021-02-28,23,20,21
2021-03-07,19,16,20
2021-03-14,8,17,16
2021-03-21,14,9,6
2021-03-28,7,8,10
2021-04-04,17,17,17
2021-04-11,14,31,14
2021-04-18,13,24,19
2021-04-25,18,38,31
2021-05-02,29,35,26
2021-05-09,36,85,27
2021-05-16,14,22,11
2021-05-23,16,8,8
2021-05-30,6,10,7
2021-06-06,7,9,5
2021-06-13,5,7,4
2021-06-20,5,8,6
2021-06-27,7,10,6
2021-07-04,10,8,6
2021-07-11,9,11,6
2021-07-18,12,9,7
2021-07-25,11,14,11
2021-08-01,28,18,8
2021-08-08,29,14,11
2021-08-15,25,14,12
2021-08-22,25,18,15
2021-08-29,22,11,8
2021-09-05,16,25,17
2021-09-12,26,29,16
2021-09-19,25,25,14
2021-09-26,34,27,16
2021-10-03,23,9,6
2021-10-10,17,11,7
2021-10-17,25,24,16
2021-10-24,30,23,14
2021-10-31,24,20,13
2021-11-07,19,15,9
2021-11-14,14,13,9
2021-11-21,30,25,15
2021-11-28,37,39,15
2021-12-05,25,26,17
2021-12-12,26,22,18
2021-12-19,34,16,29
2021-12-26,33,20,35
2022-01-02,10,17,16
2022-01-09,24,14,15
2022-01-16,13,22,15
2022-01-23,28,30,14
2022-01-30,20,23,14
2022-02-06,22,43,35
2022-02-13,22,28,18
2022-02-20,25,22,22
2022-02-27,22,31,30
2022-03-06,17,22,22
2022-03-13,24,21,21
2022-03-20,16,8,13
2022-03-27,16,8,8
2022-04-03,28,21,15
2022-04-10,23,12,22
2022-04-17,36,41,26
2022-04-24,17,19,29
2022-05-01,32,23,37
2022-05-08,14,12,21
2022-05-15,7,7,9
2022-05-22,7,7,13
2022-05-29,7,5,6
2022-06-05,9,8,6
2022-06-12,9,9,7
2022-06-19,11,9,7
2022-06-26,9,7,7
2022-07-03,11,7,7
2022-07-10,12,10,7
2022-07-17,18,12,12
2022-07-24,17,16,13
